arcana_age_ka,arcana_age_years,mapped_external_age_bp,left_record_age_bp,right_record_age_bp,left_co2_ppm,right_co2_ppm,method,result_co2_ppm,bracket_width_years,distance_to_left_years,distance_to_right_years,source_dataset,authority_status
200.0,200000.0,200200.0,198938.0,201752.0,242.6,250.9,INTERPOLATED_WITHIN_BRACKET,246.32231698649608,2814.0,1262.0,1552.0,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
125.0,125000.0,125200.0,124817.45,125292.63,275.52,276.81,INTERPOLATED_WITHIN_BRACKET,276.5585317142977,475.18000000000757,382.5500000000029,92.63000000000466,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
120.0,120000.0,120200.0,120144.12,120542.91,268.73,276.82,INTERPOLATED_WITHIN_BRACKET,269.86360214649324,398.79000000000815,55.88000000000466,342.9100000000035,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
20.0,20000.0,20200.0,20018.7,20213.31,193.72,190.47,INTERPOLATED_WITHIN_BRACKET,190.69227788911158,194.61000000000058,181.29999999999927,13.31000000000131,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
15.0,15000.0,15200.0,15181.11,15218.88,227.84,230.18,INTERPOLATED_WITHIN_BRACKET,229.01030976965848,37.76999999999862,18.889999999999418,18.8799999999992,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
14.0,14000.0,14200.0,14179.55,14205.56,239.36,238.36,INTERPOLATED_WITHIN_BRACKET,238.57376393694733,26.01000000000022,20.450000000000728,5.559999999999491,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
13.0,13000.0,13200.0,13172.67,13216.2,236.91,239.41,INTERPOLATED_WITHIN_BRACKET,238.47960716747068,43.530000000000655,27.329999999999927,16.200000000000728,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
12.0,12000.0,12200.0,12190.41,12211.34,250.97,249.65,INTERPOLATED_WITHIN_BRACKET,250.3651839464883,20.93000000000029,9.590000000000146,11.340000000000146,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
11.0,11000.0,11200.0,11185.87,11200.58,265.0,265.3,INTERPOLATED_WITHIN_BRACKET,265.28817131203266,14.709999999999127,14.1299999999992,0.5799999999999272,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
10.0,10000.0,10200.0,10192.95,10299.55,263.4,265.7,INTERPOLATED_WITHIN_BRACKET,263.55211069418385,106.59999999999854,7.049999999999272,99.54999999999927,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
5.0,5000.0,5200.0,5086.79,5218.57,268.6,269.8,INTERPOLATED_WITHIN_BRACKET,269.6308999848232,131.77999999999975,113.21000000000004,18.56999999999971,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
0.0,0.0,200.0,198.07,200.88,276.46,277.6,INTERPOLATED_WITHIN_BRACKET,277.2429893238434,2.8100000000000023,1.9300000000000068,0.8799999999999955,noaa-icecore-17975,VALIDATED_EXTERNAL_PHYSICAL_AUTHORITY
