age_ka,source_authorities,climate_readiness,shoreline_readiness,hydrology_readiness,plant_resource_state,human_replay_relevance,BIOME4_prerequisite_readiness,Madingley_prerequisite_readiness,soil_semantics,CO2_semantics
200.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
125.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
120.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,R3.19_ENVIRONMENTAL_ENDPOINT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
20.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
15.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
14.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
13.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
12.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
11.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
10.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
5.0,R3.27/R3.28 human replay; R3.18/R3.19/R3.20 environmental authority as applicable,PARTIAL_GOVERNED_REPLAY_OR_PROXY,PARTIAL_SOURCE_SPECIFIC,DIRECT_ONLY_15_TO_11KA_R3.20; OTHERWISE_SOURCE_SPECIFIC,RECENT_OR_PROXY_ONLY; NOT_PHYSICAL_NPP,EXPLICIT_R3.28_SHARED_SNAPSHOT,NOT_READY_PHYSICAL_CO2_SOIL_CLIMATE_INPUTS_INCOMPLETE,NOT_READY_PHYSICAL_NPP_AND_RANGE_INPUTS_INCOMPLETE,P7S_DECIDES_STATIC_TIME_VARYING_OR_MIXED,P7C_BINDS_VALUES_LATER; PHYSICAL_RECORD_COVERAGE_CHECK_ONLY
