CB,Z_H_lower_threshold,J_lower_W,ceiling_band_probability
1,-inf,0.0,0.001
2,-3.090232306167813,50.0,0.009
3,-2.3263478740408408,250.0,0.08
4,-1.3407550336902165,1250.0,0.56
5,0.3853204664075676,12330.0,0.34
6,2.3263478740408408,231013.0,0.00920388
7,3.1573245898778857,6353753.0,0.00069612
8,3.7190164854557084,174752857.0,8.3493e-05
9,4.151613129810533,4806381272.0,1.3221e-05
10,4.507098918357788,132194124140.0,2.5346e-06
11,4.810863003026236,3635851062651.0,7.076e-07
12,5.350730285616381,100000000000000.0,4.398e-08
