CB,lower_W,upper_W,hard_ceiling_probability,Z_H_entry_threshold
CB1,0,50,0.001,
CB2,50,250,0.009,-3.090232306
CB3,250,1250,0.080,-2.326347874
CB4,1250,12330,0.560,-1.340755034
CB5,12330,231013,0.340,0.385320466
CB6,231013,6353753,0.00920388,2.326347874
CB7,6353753,174752857,0.00069612,3.157324590
CB8,174752857,4806381272,0.000083493,3.719016485
CB9,4806381272,132194124140,0.000013221,4.151613130
CB10,132194124140,3635851062651,0.0000025346,4.507098918
CB11,3635851062651,100000000000000,0.0000007076,4.810863003
CB12,100000000000000,,0.00000004398,5.350730286
