patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.16970669750889522
0	P000	0	0	1	0.17491658098851165
0	P000	0	0	2	0.18025177134386208
0	P000	0	0	3	0.18571315155179272
0	P000	0	0	4	0.19130147432503786
0	P000	0	0	5	0.19701735429062861
0	P000	0	0	6	0.20286126020458997
0	P000	0	0	7	0.20883350724280192
0	P000	0	0	8	0.21493424941031963
0	P000	0	0	9	0.22116347211371282
0	P000	0	0	10	0.22752098494305173
0	P000	0	0	11	0.23400641471200112
0	P000	0	0	12	0.24061919880604338
0	P000	0	0	13	0.24735857889009347
0	P000	0	0	14	0.25422359502765862
0	P000	0	0	15	0.26121308026418943
0	P000	0	0	16	0.26832565572733325
0	P000	0	0	17	0.27555972629639963
0	P000	0	0	18	0.28291347689245111
0	P000	0	0	19	0.29038486943901382
0	P000	0	0	20	0.29797164054144076
0	P000	0	0	21	0.30567129993043801
0	P000	0	0	22	0.31348112971217784
0	P000	0	0	23	0.32139818446376245
0	P000	0	0	24	0.3294192922085839
0	P000	0	0	25	0.33754105630135584
0	P000	0	0	26	0.34575985824730338
0	P000	0	0	27	0.35407186147421377
0	P000	0	0	28	0.36247301606981963
0	P000	0	0	29	0.37095906449035593
0	P000	0	0	30	0.37952554823916751
0	P000	0	0	31	0.38816781550699958
0	P000	0	0	32	0.39688102975817124
0	P000	0	0	33	0.40566017923928094
0	P000	0	0	34	0.41450008737951161
0	P000	0	0	35	0.42339542404408453
0	P000	0	0	36	0.43234071759504922
0	P000	0	0	37	0.44133036770648082
0	P000	0	0	38	0.45035865887438015
0	P000	0	0	39	0.45941977455523497
0	P000	0	0	40	0.46850781186137735
0	P000	0	0	41	0.47761679673605434
0	P000	0	0	42	0.48674069952658239
0	P000	0	0	43	0.49587345087015516
0	P000	0	0	44	0.50500895780386312
0	P000	0	0	45	0.51414112000831858
0	P000	0	0	46	0.52326384609297938
0	P000	0	0	47	0.53237106983086424
0	P000	0	0	48	0.54145676625083949
0	P000	0	0	49	0.55051496749704321
0	P000	0	0	50	0.55953977836725899
0	P000	0	0	51	0.56852539144514203
0	P000	0	0	52	0.57746610174507806
0	P000	0	0	53	0.58635632079306443
0	P000	0	0	54	0.59519059007228903
0	P000	0	0	55	0.60396359376795461
0	P000	0	0	56	0.6126701707522797
0	P000	0	0	57	0.62130532575742725
0	P000	0	0	58	0.62986423969124117
0	P000	0	0	59	0.63834227905806706
0	P000	0	0	60	0.6467350044544562
0	P000	0	0	61	0.65503817811712994
0	P000	0	0	62	0.66324777050813111
0	P000	0	0	63	0.67135996592950542
0	P000	1	1	0	0.30563291971977768
0	P000	1	1	1	0.31327495964915791
0	P000	1	1	2	0.32101978866988723
0	P000	1	1	3	0.32886444075241061
0	P000	1	1	4	0.33680574360690468
0	P000	1	1	5	0.34484032116566837
0	P000	1	1	6	0.35296459690213944
0	P000	1	1	7	0.36117479799771046
0	P000	1	1	8	0.36946696036196097
0	P000	1	1	9	0.37783693450608608
0	P000	1	1	10	0.38628039226322997
0	P000	1	1	11	0.39479283434319551
0	P000	1	1	12	0.4033695987026521
0	P000	1	1	13	0.41200586970557829
0	P000	1	1	14	0.42069668804233146
0	P000	1	1	15	0.42943696136949205
0	P000	1	1	16	0.43822147562657932
0	P000	1	1	17	0.44704490697994081
0	P000	1	1	18	0.45590183433866049
0	P000	1	1	19	0.46478675238227962
0	P000	1	1	20	0.47369408503554539
0	P000	1	1	21	0.48261819932136024
0	P000	1	1	22	0.49155341951965453
0	P000	1	1	23	0.50049404155709276
0	P000	1	1	24	0.5094343475503873
0	P000	1	1	25	0.5183686204245711
0	P000	1	1	26	0.52729115852687947
0	P000	1	1	27	0.53619629015693526
0	P000	1	1	28	0.54507838793470886
0	P000	1	1	29	0.55393188292922968
0	P000	1	1	30	0.56275127847323692
0	P000	1	1	31	0.57153116359184264
0	P000	1	1	32	0.58026622597679878
0	P000	1	1	33	0.58895126444206536
0	P000	1	1	34	0.59758120080100774
0	P000	1	1	35	0.60615109111065313
0	P000	1	1	36	0.61465613623393467
0	P000	1	1	37	0.62309169167667633
0	P000	1	1	38	0.63145327666214823
0	P000	1	1	39	0.63973658241228204
0	P000	1	1	40	0.64793747961098846
0	P000	1	1	41	0.65605202503140447
0	P000	1	1	42	0.66407646731523429
0	P000	1	1	43	0.67200725189857724
0	P000	1	1	44	0.67984102508467559
0	P000	1	1	45	0.68757463726983259
0	P000	1	1	46	0.69520514533426458
0	P000	1	1	47	0.70272981421483638
0	P000	1	1	48	0.71014611768143765
0	P000	1	1	49	0.71745173834315346
0	P000	1	1	50	0.7246445669143452
0	P000	1	1	51	0.73172270077427171
0	P000	1	1	52	0.73868444185692139
0	P000	1	1	53	0.74552829391031039
0	P000	1	1	54	0.75225295916660073
0	P000	1	1	55	0.75885733446605297
0	P000	1	1	56	0.76534050687901811
0	P000	1	1	57	0.77170174887095244
0	P000	1	1	58	0.77794051305579026
0	P000	1	1	59	0.78405642658299335
0	P000	1	1	60	0.79004928520321005
0	P000	1	1	61	0.79591904705676397
0	P000	1	1	62	0.8016658262281916
0	P000	1	1	63	0.80728988610877073
1	P001	0	0	0	0.32864003407049464
1	P001	0	0	1	0.33675222949186895
1	P001	0	0	2	0.34496182188287011
1	P001	0	0	3	0.3532649955455438
1	P001	0	0	4	0.36165772094193294
