trait_local_index	arcana_trait_axis	locus	additive_effect_a
0	0	0	0.04205251843398472
0	0	1	0.04205251843398472
0	0	2	0.04205251843398472
0	0	3	0.04205251843398472
0	0	4	0.04205251843398472
0	0	5	0.04205251843398472
0	0	6	0.04205251843398472
0	0	7	0.04205251843398472
0	0	8	0.04205251843398472
0	0	9	0.04205251843398472
0	0	10	0.04205251843398472
0	0	11	0.04205251843398472
0	0	12	0.04205251843398472
0	0	13	0.04205251843398472
0	0	14	0.04205251843398472
0	0	15	0.04205251843398472
0	0	16	0.04205251843398472
0	0	17	0.04205251843398472
0	0	18	0.04205251843398472
0	0	19	0.04205251843398472
0	0	20	0.04205251843398472
0	0	21	0.04205251843398472
0	0	22	0.04205251843398472
0	0	23	0.04205251843398472
0	0	24	0.04205251843398472
0	0	25	0.04205251843398472
0	0	26	0.04205251843398472
0	0	27	0.04205251843398472
0	0	28	0.04205251843398472
0	0	29	0.04205251843398472
0	0	30	0.04205251843398472
0	0	31	0.04205251843398472
0	0	32	0.04205251843398472
0	0	33	0.04205251843398472
0	0	34	0.04205251843398472
0	0	35	0.04205251843398472
0	0	36	0.04205251843398472
0	0	37	0.04205251843398472
0	0	38	0.04205251843398472
0	0	39	0.04205251843398472
0	0	40	0.04205251843398472
0	0	41	0.04205251843398472
0	0	42	0.04205251843398472
0	0	43	0.04205251843398472
0	0	44	0.04205251843398472
0	0	45	0.04205251843398472
0	0	46	0.04205251843398472
0	0	47	0.04205251843398472
0	0	48	0.04205251843398472
0	0	49	0.04205251843398472
0	0	50	0.04205251843398472
0	0	51	0.04205251843398472
0	0	52	0.04205251843398472
0	0	53	0.04205251843398472
0	0	54	0.04205251843398472
0	0	55	0.04205251843398472
0	0	56	0.04205251843398472
0	0	57	0.04205251843398472
0	0	58	0.04205251843398472
0	0	59	0.04205251843398472
0	0	60	0.04205251843398472
0	0	61	0.04205251843398472
0	0	62	0.04205251843398472
0	0	63	0.04205251843398472
1	1	0	0.041015625
1	1	1	0.041015625
1	1	2	0.041015625
1	1	3	0.041015625
1	1	4	0.041015625
1	1	5	0.041015625
1	1	6	0.041015625
1	1	7	0.041015625
1	1	8	0.041015625
1	1	9	0.041015625
1	1	10	0.041015625
1	1	11	0.041015625
1	1	12	0.041015625
1	1	13	0.041015625
1	1	14	0.041015625
1	1	15	0.041015625
1	1	16	0.041015625
1	1	17	0.041015625
1	1	18	0.041015625
1	1	19	0.041015625
1	1	20	0.041015625
1	1	21	0.041015625
1	1	22	0.041015625
1	1	23	0.041015625
1	1	24	0.041015625
1	1	25	0.041015625
1	1	26	0.041015625
1	1	27	0.041015625
1	1	28	0.041015625
1	1	29	0.041015625
1	1	30	0.041015625
1	1	31	0.041015625
1	1	32	0.041015625
1	1	33	0.041015625
1	1	34	0.041015625
1	1	35	0.041015625
1	1	36	0.041015625
1	1	37	0.041015625
1	1	38	0.041015625
1	1	39	0.041015625
1	1	40	0.041015625
1	1	41	0.041015625
1	1	42	0.041015625
1	1	43	0.041015625
1	1	44	0.041015625
1	1	45	0.041015625
1	1	46	0.041015625
1	1	47	0.041015625
1	1	48	0.041015625
1	1	49	0.041015625
1	1	50	0.041015625
1	1	51	0.041015625
1	1	52	0.041015625
1	1	53	0.041015625
1	1	54	0.041015625
1	1	55	0.041015625
1	1	56	0.041015625
1	1	57	0.041015625
1	1	58	0.041015625
1	1	59	0.041015625
1	1	60	0.041015625
1	1	61	0.041015625
1	1	62	0.041015625
1	1	63	0.041015625
