patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.24916275387050588
0	P000	0	0	1	0.25577083357563191
0	P000	0	0	2	0.26249295924146981
0	P000	0	0	3	0.26932787918988649
0	P000	0	0	4	0.27627415873993716
0	P000	0	0	5	0.28333017729282822
0	P000	0	0	6	0.29049412594165502
0	P000	0	0	7	0.29776400564137739
0	P000	0	0	8	0.30513762597266536
0	P000	0	0	9	0.31261260453102591
0	P000	0	0	10	0.32018636697001468
0	P000	0	0	11	0.32785614772434418
0	P000	0	0	12	0.33561899143533502
0	P000	0	0	13	0.34347175509743116
0	P000	0	0	14	0.35141111094043836
0	P000	0	0	15	0.35943355005777072
0	P000	0	0	16	0.36753538678633424
0	P000	0	0	17	0.37571276383878471
0	P000	0	0	18	0.38396165818379741
0	P000	0	0	19	0.39227788766474175
0	P000	0	0	20	0.40065711834180712
0	P000	0	0	21	0.40909487253723065
0	P000	0	0	22	0.41758653755790232
0	P000	0	0	23	0.42612737506431303
0	P000	0	0	24	0.43471253104964092
0	P000	0	0	25	0.44333704638779375
0	P000	0	0	26	0.45199586790450574
0	P000	0	0	27	0.46068385992118177
0	P000	0	0	28	0.46939581621714599
0	P000	0	0	29	0.47812647235234096
0	P000	0	0	30	0.4868705182893826
0	P000	0	0	31	0.49562261125124352
0	P000	0	0	32	0.50437738874875648
0	P000	0	0	33	0.51312948171061745
0	P000	0	0	34	0.52187352764765904
0	P000	0	0	35	0.53060418378285412
0	P000	0	0	36	0.53931614007881834
0	P000	0	0	37	0.54800413209549437
0	P000	0	0	38	0.5566629536122063
0	P000	0	0	39	0.56528746895035908
0	P000	0	0	40	0.5738726249356868
0	P000	0	0	41	0.58241346244209757
0	P000	0	0	42	0.59090512746276935
0	P000	0	0	43	0.59934288165819283
0	P000	0	0	44	0.60772211233525819
0	P000	0	0	45	0.61603834181620265
0	P000	0	0	46	0.62428723616121529
0	P000	0	0	47	0.63246461321366576
0	P000	0	0	48	0.64056644994222933
0	P000	0	0	49	0.64858888905956158
0	P000	0	0	50	0.65652824490256889
0	P000	0	0	51	0.66438100856466487
0	P000	0	0	52	0.67214385227565576
0	P000	0	0	53	0.67981363302998532
0	P000	0	0	54	0.68738739546897398
