patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.11476451985648858
0	P000	0	0	1	0.11888619422208778
0	P000	0	0	2	0.12313543035807041
0	P000	0	0	3	0.12751468747301906
0	P000	0	0	4	0.13202636338855278
0	P000	0	0	5	0.13667278507096273
0	P000	0	0	6	0.14145619875087365
0	P000	0	0	7	0.14637875964821651
0	P000	0	0	8	0.15144252132417571
0	P000	0	0	9	0.15664942468641727
0	P000	0	0	10	0.16200128667879501
0	P000	0	0	11	0.16749978869183413
0	P000	0	0	12	0.17314646473557671
0	P000	0	0	13	0.17894268942180036
0	P000	0	0	14	0.18488966580813082
0	P000	0	0	15	0.19098841316212223
0	P000	0	0	16	0.19723975470889024
0	P000	0	0	17	0.20364430543130466
0	P000	0	0	18	0.21020245999697945
0	P000	0	0	19	0.21691438089127674
0	P000	0	0	20	0.22377998684016029
0	P000	0	0	21	0.23079894161091119
0	P000	0	0	22	0.23797064328235149
0	P000	0	0	23	0.24529421407921523
0	P000	0	0	24	0.25276849086755571
0	P000	0	0	25	0.26039201640949822
0	P000	0	0	26	0.26816303147612913
0	P000	0	0	27	0.27607946791678845
0	P000	0	0	28	0.28413894278140378
0	P000	0	0	29	0.29233875358972583
0	P000	0	0	30	0.30067587483732072
0	P000	0	0	31	0.30914695582292639
0	P000	0	0	32	0.31774831987525282
0	P000	0	0	33	0.32647596504950971
0	P000	0	0	34	0.3353255663548928
0	P000	0	0	35	0.34429247956400366
0	P000	0	0	36	0.35337174664378218
0	P000	0	0	37	0.36255810283508527
0	P000	0	0	38	0.37184598539467489
0	P000	0	0	39	0.38122954399921316
0	P000	0	0	40	0.3907026527960753
0	P000	0	0	41	0.40025892407055147
0	P000	0	0	42	0.40989172348352659
0	P000	0	0	43	0.41959418681820976
0	P000	0	0	44	0.42935923815915761
0	P000	0	0	45	0.43917960941192347
0	P000	0	0	46	0.44904786105740369
0	P000	0	0	47	0.4589564040215629
0	P000	0	0	48	0.46889752252892658
0	P000	0	0	49	0.47886339779722642
0	P000	0	0	50	0.48884613242107022
0	P000	0	0	51	0.49883777528463513
0	P000	0	0	52	0.508830346837294
0	P000	0	0	53	0.51881586456188711
0	P000	0	0	54	0.52878636846311045
0	P000	0	0	55	0.53873394640326311
0	P000	0	0	56	0.54865075911436678
0	P000	0	0	57	0.55852906471941643
0	P000	0	0	58	0.56836124260118503
0	P000	0	0	59	0.57813981646446666
0	P000	0	0	60	0.58785747644679576
0	P000	0	0	61	0.59750710014334518
0	P000	0	0	62	0.60708177242372285
0	P000	0	0	63	0.6165748039315363
0	P000	1	1	0	0.35740088860172903
0	P000	1	1	1	0.36617669346736004
0	P000	1	1	2	0.37504225844115929
0	P000	1	1	3	0.38399246565027123
0	P000	1	1	4	0.39302197562965646
0	P000	1	1	5	0.40212523833838443
0	P000	1	1	6	0.41129650532489409
0	P000	1	1	7	0.42052984299513729
0	P000	1	1	8	0.42981914692732515
