patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.15500920811343102
0	P000	0	0	1	0.15994470266321728
0	P000	0	0	2	0.16500675307353066
0	P000	0	0	3	0.17019664787508787
0	P000	0	0	4	0.17551555994033155
0	P000	0	0	5	0.18096453802314952
0	P000	0	0	6	0.18654449822628871
0	P000	0	0	7	0.19225621543316077
0	P000	0	0	8	0.19810031474383452
0	P000	0	0	9	0.20407726295803766
0	P000	0	0	10	0.21018736015091219
0	P000	0	0	11	0.21643073139004115
0	P000	0	0	12	0.22280731864484227
0	P000	0	0	13	0.22931687294176634
0	P000	0	0	14	0.23595894682078986
0	P000	0	0	15	0.24273288715041183
0	P000	0	0	16	0.24963782835969794
0	P000	0	0	17	0.25667268614682281
0	P000	0	0	18	0.26383615172398595
0	P000	0	0	19	0.27112668665848744
0	P000	0	0	20	0.27854251836909533
0	P000	0	0	21	0.28608163633559047
0	P000	0	0	22	0.29374178907750254
0	P000	0	0	23	0.30152048195553027
0	P000	0	0	24	0.30941497584595556
0	P000	0	0	25	0.31742228673450806
0	P000	0	0	26	0.32553918627161271
0	P000	0	0	27	0.33376220332577783
0	P000	0	0	28	0.34208762656606728
0	P000	0	0	29	0.35051150809819237
0	P000	0	0	30	0.35902966817179366
0	P000	0	0	31	0.36763770096902143
0	P000	0	0	32	0.37633098147662541
0	P000	0	0	33	0.38510467343551874
0	P000	0	0	34	0.39395373835325814
0	P000	0	0	35	0.40287294555619069
0	P000	0	0	36	0.41185688324924935
0	P000	0	0	37	0.42089997054264605
0	P000	0	0	38	0.42999647039612049
0	P000	0	0	39	0.43914050342307159
0	P000	0	0	40	0.44832606248893325
0	P000	0	0	41	0.45754702803067188
0	P000	0	0	42	0.46679718401738368
0	P000	0	0	43	0.47607023446575469
0	P000	0	0	44	0.48535982041870945
0	P000	0	0	45	0.49465953729098755
0	P000	0	0	46	0.5039629524817375
0	P000	0	0	47	0.5132636231515344
0	P000	0	0	48	0.52255511405957911
0	P000	0	0	49	0.53183101535622901
0	P000	0	0	50	0.54108496022646135
0	P000	0	0	51	0.5503106422813645
0	P000	0	0	52	0.55950183259729014
0	P000	0	0	53	0.56865239630580144
0	P000	0	0	54	0.57775630864201111
0	P000	0	0	55	0.58680767036421344
0	P000	0	0	56	0.59580072246382476
0	P000	0	0	57	0.60472986009144825
0	P000	0	0	58	0.61358964563228313
0	P000	0	0	59	0.62237482087199925
0	P000	0	0	60	0.63108031820248511
0	P000	0	0	61	0.63970127082543116
0	P000	0	0	62	0.64823302192043519
0	P000	0	0	63	0.65667113275308175
0	P000	1	1	0	0.21658613211782515
0	P000	1	1	1	0.22262815016887674
0	P000	1	1	2	0.22878956621528684
0	P000	1	1	3	0.23507000892311666
0	P000	1	1	4	0.24146894159744187
0	P000	1	1	5	0.24798565697522582
0	P000	1	1	6	0.25461927235736026
0	P000	1	1	7	0.26136872512093073
0	P000	1	1	8	0.26823276865276735
0	P000	1	1	9	0.27520996874500947
0	P000	1	1	10	0.28229870049271549
0	P000	1	1	11	0.28949714573247498
0	P000	1	1	12	0.29680329105950953
0	P000	1	1	13	0.30421492645887543
0	P000	1	1	14	0.31172964458409197
0	P000	1	1	15	0.31934484071382174
0	P000	1	1	16	0.32705771341411888
0	P000	1	1	17	0.33486526593025168
0	P000	1	1	18	0.34276430832821414
0	P000	1	1	19	0.35075146040178401
0	P000	1	1	20	0.35882315535639564
0	P000	1	1	21	0.36697564427620138
0	P000	1	1	22	0.37520500137554558
0	P000	1	1	23	0.38350713003070214
0	P000	1	1	24	0.39187776958219372
0	P000	1	1	25	0.40031250289236198
0	P000	1	1	26	0.40880676463716403
0	P000	1	1	27	0.41735585030547656
0	P000	1	1	28	0.42595492587358208
0	P000	1	1	29	0.43459903811703149
0	P000	1	1	30	0.44328312551681648
0	P000	1	1	31	0.45200202971178072
0	P000	1	1	32	0.46075050744454132
0	P000	1	1	33	0.46952324294392034
0	P000	1	1	34	0.47831486068306339
0	P000	1	1	35	0.48711993844910678
0	P000	1	1	36	0.49593302065747485
0	P000	1	1	37	0.50474863184169816
0	P000	1	1	38	0.51356129024805974
0	P000	1	1	39	0.52236552146343307
0	P000	1	1	40	0.53115587200436964
0	P000	1	1	41	0.53992692279585019
0	P000	1	1	42	0.54867330246910684
0	P000	1	1	43	0.55738970040955238
0	P000	1	1	44	0.56607087948809942
0	P000	1	1	45	0.57471168841195974
0	P000	1	1	46	0.58330707363438572
0	P000	1	1	47	0.59185209076666623
0	P000	1	1	48	0.6003419154399946
0	P000	1	1	49	0.60877185356951646
0	P000	1	1	50	0.61713735097788358
0	P000	1	1	51	0.62543400234093238
0	P000	1	1	52	0.63365755942358304
0	P000	1	1	53	0.64180393857968721
0	P000	1	1	54	0.64986922749523302
0	P000	1	1	55	0.65784969116002112
0	P000	1	1	56	0.66574177705855975
0	P000	1	1	57	0.6735421195764536
0	P000	1	1	58	0.68124754362391582
0	P000	1	1	59	0.68885506748316516
0	P000	1	1	60	0.69636190489134431
0	P000	1	1	61	0.7037654663751568
0	P000	1	1	62	0.71106335985765101
0	P000	1	1	63	0.71825339056144544
1	P001	0	0	0	0.16932616859816491
1	P001	0	0	1	0.17571723632691258
1	P001	0	0	2	0.1822967248135465
1	P001	0	0	3	0.18906619659392979
1	P001	0	0	4	0.1960269136564137
1	P001	0	0	5	0.20317981586185471
1	P001	0	0	6	0.21052549956809588
1	P001	0	0	7	0.21806419663168475
1	P001	0	0	8	0.2257957539712403
1	P001	0	0	9	0.23371961388731885
1	P001	0	0	10	0.24183479534255525
1	P001	0	0	11	0.25013987641297136
1	P001	0	0	12	0.25863297812634095
1	P001	0	0	13	0.2673117499060757
1	P001	0	0	14	0.27617335683897776
