patch_index	patch_id	trait_local_index	arcana_trait_axis	locus	allele1_frequency
0	P000	0	0	0	0.1232886327124972
0	P000	0	0	1	0.13206509435294883
0	P000	0	0	2	0.14136606446566952
0	P000	0	0	3	0.15120842897808057
0	P000	0	0	4	0.16160753397870337
0	P000	0	0	5	0.1725768530980421
0	P000	0	0	6	0.18412763854089953
0	P000	0	0	7	0.19626856089728928
0	P000	0	0	8	0.20900534411161609
0	P000	0	0	9	0.22234040324233942
0	P000	0	0	10	0.23627249383455948
0	P000	0	0	11	0.25079638278239252
0	P000	0	0	12	0.26590255139475905
0	P000	0	0	13	0.28157694191113364
0	P000	0	0	14	0.29780075885814938
0	P000	0	0	15	0.31455033631731993
0	P000	0	0	16	0.33179708132835284
0	P000	0	0	17	0.34950750224568911
0	P000	0	0	18	0.36764332889394657
0	P000	0	0	19	0.38616172886450584
0	P000	0	0	20	0.40501562133529279
0	P000	0	0	21	0.42415408649462594
0	P000	0	0	22	0.44352286516044637
0	P000	0	0	23	0.4630649396896096
0	P000	0	0	24	0.48272118396596186
0	P000	0	0	25	0.50243106733996457
0	P000	0	0	26	0.52213339505103773
0	P000	0	0	27	0.54176706604983216
0	P000	0	0	28	0.56127182835944323
0	P000	0	0	29	0.58058901222497583
0	P000	0	0	30	0.59966222229233412
0	P000	0	0	31	0.61843797186250149
0	P000	1	1	0	0.20614567327070743
0	P000	1	1	1	0.21801102426732794
0	P000	1	1	2	0.23036144034614381
0	P000	1	1	3	0.2431942063962374
0	P000	1	1	4	0.25650386476852671
0	P000	1	1	5	0.27028205182802084
0	P000	1	1	6	0.28451736064152261
0	P000	1	1	7	0.29919523525480723
0	P000	1	1	8	0.31429790179146749
0	P000	1	1	9	0.32980434117226909
0	P000	1	1	10	0.34569030759911396
0	P000	1	1	11	0.36192839607226868
0	P000	1	1	12	0.3784881611263044
0	P000	1	1	13	0.3953362877052633
0	P000	1	1	14	0.41243681369007734
0	P000	1	1	15	0.42975140209250084
0	P000	1	1	16	0.44723965940103849
0	P000	1	1	17	0.46485949507363988
0	P000	1	1	18	0.48256751579021501
0	P000	1	1	19	0.50031944687445384
0	P000	1	1	20	0.51807057233164355
0	P000	1	1	21	0.53577618427870755
0	P000	1	1	22	0.5533920322011896
0	P000	1	1	23	0.57087476247820934
0	P000	1	1	24	0.58818233897020866
0	P000	1	1	25	0.60527443614601084
0	P000	1	1	26	0.62211279719815349
0	P000	1	1	27	0.63866155080656484
0	P000	1	1	28	0.65488748159752319
0	P000	1	1	29	0.67076025083813939
0	P000	1	1	30	0.68625256543545299
0	P000	1	1	31	0.70134029480572901
1	P001	0	0	0	0.1294649345969052
1	P001	0	0	1	0.14189773749986775
1	P001	0	0	2	0.15531234813144754
1	P001	0	0	3	0.16974510987056424
1	P001	0	0	4	0.18522576617428313
1	P001	0	0	5	0.20177589352054745
1	P001	0	0	6	0.21940729681541324
1	P001	0	0	7	0.23812042735012684
1	P001	0	0	8	0.25790289587533904
1	P001	0	0	9	0.27872816353971491
1	P001	0	0	10	0.30055449970733633
1	P001	0	0	11	0.3233242963997156
1	P001	0	0	12	0.34696382290029293
1	P001	0	0	13	0.37138348999734788
1	P001	0	0	14	0.39647867126621444
1	P001	0	0	15	0.42213109950736111
1	P001	0	0	16	0.44821082181848393
1	P001	0	0	17	0.47457865961378343
1	P001	0	0	18	0.50108908374464911
1	P001	0	0	19	0.52759338352455387
1	P001	0	0	20	0.55394298544645848
1	P001	0	0	21	0.57999276541247136
1	P001	0	0	22	0.60560419881758976
1	P001	0	0	23	0.63064820577857861
1	P001	0	0	24	0.65500757261449738
1	P001	0	0	25	0.67857886257185374
1	P001	0	0	26	0.7012737651718407
1	P001	0	0	27	0.72301987064062245
1	P001	0	0	28	0.74376089017706648
1	P001	0	0	29	0.76345637156041757
1	P001	0	0	30	0.78208098103384627
1	P001	0	0	31	0.79962343579911632
1	P001	1	1	0	0.29865970519427104
1	P001	1	1	1	0.31374743456454718
1	P001	1	1	2	0.32923974916186066
1	P001	1	1	3	0.34511251840247686
1	P001	1	1	4	0.36133844919343538
1	P001	1	1	5	0.37788720280184651
1	P001	1	1	6	0.39472556385398916
1	P001	1	1	7	0.41181766102979139
1	P001	1	1	8	0.4291252375217906
1	P001	1	1	9	0.44660796779881046
1	P001	1	1	10	0.46422381572129245
1	P001	1	1	11	0.48192942766835661
1	P001	1	1	12	0.49968055312554616
1	P001	1	1	13	0.51743248420978494
1	P001	1	1	14	0.53514050492636001
1	P001	1	1	15	0.55276034059896151
1	P001	1	1	16	0.57024859790749916
1	P001	1	1	17	0.58756318630992255
1	P001	1	1	18	0.60466371229473659
1	P001	1	1	19	0.62151183887369554
1	P001	1	1	20	0.63807160392773121
1	P001	1	1	21	0.65430969240088588
1	P001	1	1	22	0.67019565882773091
1	P001	1	1	23	0.68570209820853245
1	P001	1	1	24	0.7008047647451926
1	P001	1	1	25	0.71548263935847733
1	P001	1	1	26	0.72971794817197899
1	P001	1	1	27	0.74349613523147329
1	P001	1	1	28	0.75680579360376254
1	P001	1	1	29	0.76963855965385597
1	P001	1	1	30	0.78198897573267201
1	P001	1	1	31	0.79385432672929257
2	P002	0	0	0	0.20037656420088359
2	P002	0	0	1	0.21791901896615373
2	P002	0	0	2	0.23654362843958238
2	P002	0	0	3	0.25623910982293341
2	P002	0	0	4	0.27698012935937749
2	P002	0	0	5	0.2987262348281593
2	P002	0	0	6	0.32142113742814615
2	P002	0	0	7	0.34499242738550268
2	P002	0	0	8	0.36935179422142139
2	P002	0	0	9	0.39439580118241019
2	P002	0	0	10	0.42000723458752864
2	P002	0	0	11	0.44605701455354152
2	P002	0	0	12	0.47240661647544613
2	P002	0	0	13	0.49891091625535072
2	P002	0	0	14	0.52542134038621646
2	P002	0	0	15	0.55178917818151607
2	P002	0	0	16	0.57786890049263884
2	P002	0	0	17	0.6035213287337855
2	P002	0	0	18	0.62861651000265195
2	P002	0	0	19	0.65303617709970718
2	P002	0	0	20	0.6766757036002844
2	P002	0	0	21	0.69944550029266384
2	P002	0	0	22	0.72127183646028514
2	P002	0	0	23	0.74209710412466101
2	P002	0	0	24	0.76187957264987316
2	P002	0	0	25	0.78059270318458684
2	P002	0	0	26	0.79822410647945252
2	P002	0	0	27	0.81477423382571701
2	P002	0	0	28	0.83025489012943576
2	P002	0	0	29	0.84468765186855255
2	P002	0	0	30	0.85810226250013233
2	P002	0	0	31	0.87053506540309489
2	P002	1	1	0	0.20614567327070743
2	P002	1	1	1	0.21801102426732794
2	P002	1	1	2	0.23036144034614381
2	P002	1	1	3	0.2431942063962374
2	P002	1	1	4	0.25650386476852671
2	P002	1	1	5	0.27028205182802084
2	P002	1	1	6	0.28451736064152261
2	P002	1	1	7	0.29919523525480723
2	P002	1	1	8	0.31429790179146749
2	P002	1	1	9	0.32980434117226909
2	P002	1	1	10	0.34569030759911396
2	P002	1	1	11	0.36192839607226868
2	P002	1	1	12	0.3784881611263044
2	P002	1	1	13	0.3953362877052633
2	P002	1	1	14	0.41243681369007734
2	P002	1	1	15	0.42975140209250084
2	P002	1	1	16	0.44723965940103849
2	P002	1	1	17	0.46485949507363988
2	P002	1	1	18	0.48256751579021501
2	P002	1	1	19	0.50031944687445384
2	P002	1	1	20	0.51807057233164355
2	P002	1	1	21	0.53577618427870755
2	P002	1	1	22	0.5533920322011896
2	P002	1	1	23	0.57087476247820934
2	P002	1	1	24	0.58818233897020866
2	P002	1	1	25	0.60527443614601084
2	P002	1	1	26	0.62211279719815349
2	P002	1	1	27	0.63866155080656484
2	P002	1	1	28	0.65488748159752319
2	P002	1	1	29	0.67076025083813939
2	P002	1	1	30	0.68625256543545299
2	P002	1	1	31	0.70134029480572901
3	P003	0	0	0	0.38156202813749845
3	P003	0	0	1	0.40033777770766582
3	P003	0	0	2	0.41941098777502406
3	P003	0	0	3	0.43872817164055677
3	P003	0	0	4	0.45823293395016779
3	P003	0	0	5	0.4778666049489621
3	P003	0	0	6	0.49756893266003543
3	P003	0	0	7	0.51727881603403825
3	P003	0	0	8	0.5369350603103904
3	P003	0	0	9	0.55647713483955363
3	P003	0	0	10	0.57584591350537395
3	P003	0	0	11	0.59498437866470721
3	P003	0	0	12	0.61383827113549416
3	P003	0	0	13	0.63235667110605331
3	P003	0	0	14	0.65049249775431084
3	P003	0	0	15	0.66820291867164705
3	P003	0	0	16	0.68544966368268012
3	P003	0	0	17	0.70219924114185062
3	P003	0	0	18	0.7184230580888662
3	P003	0	0	19	0.73409744860524095
3	P003	0	0	20	0.74920361721760742
3	P003	0	0	21	0.76372750616544038
3	P003	0	0	22	0.77765959675766061
3	P003	0	0	23	0.79099465588838391
3	P003	0	0	24	0.80373143910271072
3	P003	0	0	25	0.81587236145910047
3	P003	0	0	26	0.82742314690195773
3	P003	0	0	27	0.83839246602129658
3	P003	0	0	28	0.84879157102191949
3	P003	0	0	29	0.85863393553433043
3	P003	0	0	30	0.86793490564705111
3	P003	0	0	31	0.87671136728750287
3	P003	1	1	0	0.29865970519427104
3	P003	1	1	1	0.31374743456454718
3	P003	1	1	2	0.32923974916186066
3	P003	1	1	3	0.34511251840247686
3	P003	1	1	4	0.36133844919343538
3	P003	1	1	5	0.37788720280184651
3	P003	1	1	6	0.39472556385398916
3	P003	1	1	7	0.41181766102979139
3	P003	1	1	8	0.4291252375217906
3	P003	1	1	9	0.44660796779881046
3	P003	1	1	10	0.46422381572129245
3	P003	1	1	11	0.48192942766835661
3	P003	1	1	12	0.49968055312554616
3	P003	1	1	13	0.51743248420978494
3	P003	1	1	14	0.53514050492636001
3	P003	1	1	15	0.55276034059896151
3	P003	1	1	16	0.57024859790749916
3	P003	1	1	17	0.58756318630992255
3	P003	1	1	18	0.60466371229473659
3	P003	1	1	19	0.62151183887369554
3	P003	1	1	20	0.63807160392773121
3	P003	1	1	21	0.65430969240088588
3	P003	1	1	22	0.67019565882773091
3	P003	1	1	23	0.68570209820853245
3	P003	1	1	24	0.7008047647451926
3	P003	1	1	25	0.71548263935847733
3	P003	1	1	26	0.72971794817197899
3	P003	1	1	27	0.74349613523147329
3	P003	1	1	28	0.75680579360376254
3	P003	1	1	29	0.76963855965385597
3	P003	1	1	30	0.78198897573267201
3	P003	1	1	31	0.79385432672929257
