FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,6.98362e+06,1.91271e+06
0,0.1,1,4.32722e+06,2.39975e+06
0,1,10,4.1954e+07,2.19067e+08
0,10,100,6.16559e+06,1.14767e+08
0,100,1000,314889,1.89506e+07
0,1000,10000,115991,2.41629e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,273624,1.39492e+07
1,10,100,4.00122e+07,5.48458e+08
1,100,1000,4.64643e+06,3.17166e+08
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.56833e+06,868644
2,1,10,2.31448e+07,6.05746e+07
2,10,100,1.42823e+07,7.76783e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,7.37703e+09,8.29397e+07
3,0.01,0.1,2.93733e+06,282649
3,0.1,1,213987,172278
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.85597e+07,4.3418e+06
4,0.1,1,134943,83888.8
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.07953e+08,1.7119e+07
5,0.01,0.1,4.6343e+06,330414
5,0.1,1,352668,221845
5,1,10,1.12676e+07,1.69947e+07
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.65012e+06,231242
6,0.1,1,1.75092e+06,530708
6,1,10,3.67777e+07,9.88159e+07
6,10,100,1.91596e+07,8.89611e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,625808,329228
7,1,10,2.16574e+07,6.2316e+07
7,10,100,1.94003e+06,5.5027e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,188645,64499.4
8,0.1,1,222968,116435
8,1,10,4.96051e+07,1.14151e+08
8,10,100,5.22938e+06,1.61021e+07
8,100,1000,0,0
8,1000,10000,0,0
