GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,70402.9,99054.8,-2.35147,0,0.5,2,0,4294967295,0,9,9,0
0,0,3464.99,406028,34219.9,130967,-2.34468,0,0.5,2,0,4294967295,0,9,9,0
0,0,47894.7,1.45505e+06,173076,101238,-2.30426,0,0.5,2,0,4294967295,0,9,9,0
0,0,1630.56,25792.9,23273.4,836528,-2.30151,0,0.5,2,0,4294967295,0,9,9,0
0,0,3261.26,64826.3,33283.9,123267,-2.19737,0,0.5,2,0,4294967295,0,9,9,0
0,0,7614.41,162643,53382.5,101542,-2.17287,0,0.5,2,0,4294967295,0,9,9,0
0,0,8.40157,234.925,234.925,18998.7,-2.2328,0,0.5,2,635.892,3,1,9,4,5
0,0,82891.9,2.89863e+06,255876,18313.3,-2.40027,0,0.5,2,0,4294967295,0,9,9,0
0,0,58.3504,1352.97,1352.97,2.11421e+07,-2.32502,0,0.5,2,2565.28,5,1,9,6,3
0,0,617.181,18975.5,13477.2,9.22918e+06,-2.10968,0,0.5,2,0,4294967295,0,9,9,0
0,0,138.097,2659.46,2659.46,4.75944e+07,-2.39627,0,0.5,2,1960.47,6,1,9,7,2
0,0,25.3073,436.667,436.667,958604,-2.48758,0,0.5,2,978.514,3,1,9,4,5
0,0,4.29314,135.314,135.314,162851,-3.69659,3,0.5,2,266.796,7,1,5,4,1
0,0,3.92407,62.3956,62.3956,39068.8,-2.53087,3,0.5,2,222.725,6,1,5,3,2
0,0,4.07884,59.2067,59.2067,7.99371e+06,-2.53087,4,0.5,2,140.827,7,1,4,3,1
0,0,25.3073,436.667,436.667,395631,-2.48758,4,0.5,2,150.182,8,1,4,4,0
0,0,8.22545,234.173,234.173,54329,-2.2328,4,0.5,2,109.918,8,1,4,4,0
0,0,3.59165,65.8013,65.8013,668044,-2.53087,5,0.5,2,46.1389,8,1,3,3,0
0,0,3.93403,134.576,117.15,3.00393e+06,-3.69659,5,0.5,2,0,4294967295,0,3,3,0
0,0,25.3073,436.667,319.831,410938,-2.48758,5,0.5,2,0,4294967295,0,3,3,0
0,0,8.54356,221.049,176.431,1.09719e+06,-2.2328,5,0.5,2,0,4294967295,0,3,3,0
0,1,1549.67,133550,48725.7,5.08293e+06,0.00609166,0,0.5,3.46768,0,4294967295,0,9,9,0
0,1,392.113,6891,6891,603941,-2.35496,0,0.5,3.25996,32511.8,2,1,9,3,6
0,1,382.962,21263.8,21263.8,189127,-0.00892403,0,0.5,3.31062,48822.9,4,1,9,5,4
