Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
133550,1,10000,H,Endo,1.26517e+09
133550,1,100000,H,Endo,1.51104e+10
133550,1,1e+06,H,Endo,2.03045e+07
133550,1,10000,O,Endo,6.51962e+09
133550,1,10000,C,Ecto,1.4817e+08
133550,1,1000,C,Endo,1.8311e+08
133550,1,10000,C,Endo,1.94221e+11
6891,1,100,H,Ecto,26466.1
6891,1,1000,H,Ecto,6.06059e+09
6891,1,10000,H,Ecto,1.07711e+09
6891,1,100,H,Endo,6.00798e+08
6891,1,1000,H,Endo,7.5785e+09
6891,1,10000,H,Endo,512831
6891,1,100,O,Ecto,9648.49
6891,1,1000,O,Ecto,1.38109e+10
6891,1,10000,O,Ecto,2.90998e+07
6891,1,100,O,Endo,2.03435e+06
6891,1,1000,O,Endo,1.43788e+10
6891,1,10000,O,Endo,8.57972e+07
6891,1,100,C,Ecto,8.46944
6891,1,1000,C,Ecto,7.8804e+08
6891,1,10000,C,Ecto,229706
21263.8,1,10000,H,Ecto,6.30061e+08
21263.8,1,10000,H,Endo,1.94163e+10
21263.8,1,100000,H,Endo,5.90777e+09
21263.8,1,1e+06,H,Endo,49276.2
21263.8,1,10000,O,Endo,1.01137e+10
21263.8,1,10000,C,Ecto,4.42315e+09
21263.8,1,1000,C,Endo,1.00882e+09
21263.8,1,10000,C,Endo,5.03704e+06
21263.8,1,100000,C,Endo,5.66286e+10
48710.5,1,10000,H,Endo,1.02049e+07
48710.5,1,100000,H,Endo,9.86334e+07
48710.5,1,1e+06,H,Endo,86076.3
48710.5,1,10000,O,Endo,4.39435e+07
48710.5,1,10000,C,Ecto,8.71215e+06
48710.5,1,1000,C,Endo,1.05196e+06
48710.5,1,10000,C,Endo,2.15688e+08
48710.5,1,100000,C,Endo,6.19229e+09
1486.88,2,10,H,Ecto,542.362
1486.88,2,100,H,Ecto,43890.1
1486.88,2,1000,H,Ecto,1.15085e+08
1486.88,2,10000,H,Ecto,728463
1486.88,2,10,H,Endo,15.1731
1486.88,2,100,H,Endo,7.74786e+07
1486.88,2,10,O,Ecto,1807.09
1486.88,2,100,O,Ecto,164119
1486.88,2,1000,O,Ecto,5.22939e+07
1486.88,2,100,O,Endo,851528
1486.88,2,1000,O,Endo,1.09846e+08
1486.88,2,10,C,Ecto,1.66652
1486.88,2,100,C,Ecto,7390.35
1486.88,2,1000,C,Ecto,9.08212e+06
1486.88,2,1000,C,Endo,1.37141e+09
1240.63,2,10,H,Ecto,2514.82
1240.63,2,100,H,Ecto,4378.93
1240.63,2,10,H,Endo,81.3179
1240.63,2,100,H,Endo,353573
1240.63,2,10,O,Ecto,9492.22
1240.63,2,100,O,Ecto,16978.7
1240.63,2,1000,O,Ecto,110278
1240.63,2,100,O,Endo,7643.97
1240.63,2,1000,O,Endo,8482.34
1240.63,2,10,C,Ecto,565.912
1240.63,2,100,C,Ecto,10778.5
1240.63,2,1000,C,Ecto,453260
1240.63,2,1000,C,Endo,8.15782e+06
48055,2,100,H,Ecto,324.463
48055,2,1000,H,Ecto,3.15631e+08
48055,2,10000,H,Ecto,2.81472e+08
48055,2,100,H,Endo,3.14844e+06
48055,2,1000,H,Endo,3.70956e+09
48055,2,10000,H,Endo,1.91279e+06
48055,2,100,O,Ecto,9.41282
48055,2,1000,O,Ecto,5.1587e+08
48055,2,10000,O,Ecto,4.61848e+06
48055,2,100,O,Endo,14215.8
48055,2,1000,O,Endo,6.89483e+08
48055,2,10000,O,Endo,8.74477e+07
48055,2,1000,C,Ecto,3.4999e+08
48055,2,10000,C,Ecto,135295
48055,2,1000,C,Endo,3553.27
519.353,2,10,H,Ecto,9.35136
519.353,2,100,H,Ecto,9.38209e-06
519.353,2,10,H,Endo,0.868065
519.353,2,100,H,Endo,31.8219
519.353,2,1,O,Ecto,220.301
519.353,2,10,O,Ecto,0.194398
519.353,2,100,O,Ecto,0.000709593
519.353,2,10,C,Ecto,19.9336
519.353,2,100,C,Ecto,10.9991
385.163,2,10,H,Ecto,0.155561
385.163,2,100,H,Ecto,0.000598528
385.163,2,10,H,Endo,0.0496212
385.163,2,100,H,Endo,20.6022
385.163,2,1,O,Ecto,2.18124
385.163,2,10,O,Ecto,0.669096
385.163,2,100,O,Ecto,0.0029966
385.163,2,10,C,Ecto,19.4029
385.163,2,100,C,Ecto,20.4042
1005.87,2,10,H,Ecto,39.5972
1005.87,2,100,H,Ecto,6.08015
1005.87,2,10,H,Endo,0.960847
1005.87,2,100,H,Endo,24016
1005.87,2,10,O,Ecto,141.352
1005.87,2,100,O,Ecto,18.2064
1005.87,2,1000,O,Ecto,0.475134
1005.87,2,100,O,Endo,0.328916
1005.87,2,10,C,Ecto,92.8266
1005.87,2,100,C,Ecto,292.023
1005.87,2,1000,C,Ecto,252.474
11259.1,2,10,H,Ecto,31.4117
11259.1,2,100,H,Ecto,24286.6
11259.1,2,1000,H,Ecto,9.67024e+08
11259.1,2,10000,H,Ecto,2.56163e+07
11259.1,2,10,H,Endo,0.301457
