Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.02064e+08,1.32635e+09,9.72158e+08,8.67221e+07,2.18927e+08,2.38366e+08,3.98456e+08,6.15863e+08,5.04482e+08
2, 1,4.3765e+08,1.36625e+09,6.72955e+08,4.2874e+06,160206,1.75689e+07,2.86526e+08,3.29152e+08,3.20019e+08
3, 1,4.94029e+08,1.03072e+09,4.35129e+08,442957,53194.8,1.79004e+07,2.39345e+08,1.99758e+08,2.36421e+08
4, 1,5.69335e+08,7.22928e+08,3.89771e+08,1.37433e+06,65713.7,2.03312e+07,2.7264e+08,1.90199e+08,2.38644e+08
5, 1,7.08559e+08,4.99554e+08,3.92359e+08,4.13258e+06,110728,2.394e+07,3.10699e+08,2.44032e+08,2.55382e+08
6, 1,7.97891e+08,4.09368e+08,3.76622e+08,1.06253e+07,146349,2.80334e+07,3.70673e+08,2.78995e+08,2.76236e+08
7, 1,8.44858e+08,3.36827e+08,3.02919e+08,3.10766e+07,508189,2.65405e+07,3.94472e+08,3.34837e+08,2.7986e+08
8, 1,7.58484e+08,4.85464e+08,2.65909e+08,5.14154e+07,1.39167e+06,2.97768e+07,4.04696e+08,2.99298e+08,2.30567e+08
9, 1,4.93813e+08,7.90133e+08,2.3705e+08,7.71542e+07,2.51287e+06,3.25497e+07,3.29134e+08,1.78008e+08,1.87541e+08
10, 1,3.8126e+08,8.79574e+08,1.39121e+08,8.33946e+07,4.42569e+06,3.46659e+07,1.88539e+08,1.17672e+08,1.30434e+08
11, 1,3.1242e+08,8.2398e+08,1.12167e+08,9.51562e+07,7.28344e+06,3.86839e+07,1.03812e+08,8.94129e+07,9.77536e+07
