PatchID,XCOORD,YCOORD,ID,MID,FID,sex,age,size,mature,newmature,layeggs,capture,recapture,state,CDist,Hindex,Species,ClassFile,SubPatchID,L0A0,L0A1,L1A0,L1A1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO0,R1_F1_m1f1_P1_Y0_UO658,R1_F1_m1f1_P1_Y0_UO431,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.375,1,P0_CV0,1,2,0,0,2
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO1,R1_F1_m1f1_P1_Y0_UO658,R1_F1_m1f1_P1_Y0_UO431,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.375,1,P0_CV0,1,2,0,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO21,R1_F1_m1f1_P1_Y1_UO293,R1_F1_m1f1_P1_Y0_UO567,FXX,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.25,1,P0_CV0,1,1,1,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO44,R1_F1_m1f1_P1_Y1_UO10,R1_F1_m-1f-1_P1_Y-1_U54,FXX,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.375,1,P0_CV0,1,0,2,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO45,R1_F1_m1f1_P1_Y1_UO10,R1_F1_m-1f-1_P1_Y-1_U54,FXX,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.375,1,P0_CV0,1,1,1,2,0
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO47,R1_F1_m1f1_P1_Y0_UO609,R1_F1_m1f1_P1_Y1_UO356,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.25,1,P0_CV0,1,0,2,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO48,R1_F1_m1f1_P1_Y0_UO609,R1_F1_m1f1_P1_Y1_UO356,FXX,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.25,1,P0_CV0,1,1,1,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO52,R1_F1_m1f1_P1_Y0_UO269,R1_F1_m1f1_P1_Y1_UO242,FXX,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.375,1,P0_CV0,1,1,1,2,0
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO57,R1_F1_m1f1_P1_Y0_UO517,R1_F1_m1f1_P1_Y0_UO659,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.125,1,P0_CV0,1,1,1,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO70,R1_F1_m1f1_P1_Y0_UO335,R1_F1_m1f1_P1_Y1_UO387,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.25,1,P0_CV0,1,0,2,1,1
1,2540470.832,712452.2021,R1_F1_m1f1_P1_Y3_UO73,R1_F1_m1f1_P1_Y1_UO10,R1_F1_m1f1_P1_Y0_UO431,MXY,1,53.62613020747331,0,0,0.0,0,0,0,-9999.0,0.625,1,P0_CV0,1,1,1,1,1
