Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
88683.6,1,1000,H,Ecto,6414.77
88683.6,1,10000,H,Ecto,5.10578e+07
88683.6,1,1000,H,Endo,8.24539e+07
88683.6,1,10000,H,Endo,1.35486e+09
88683.6,1,1000,O,Ecto,5.32252e+06
88683.6,1,10000,O,Ecto,6.75106e+07
88683.6,1,1000,O,Endo,1.82605e+07
88683.6,1,10000,O,Endo,1.2289e+09
88683.6,1,1000,C,Ecto,425123
88683.6,1,10000,C,Ecto,1.06112e+08
2556.96,2,10,H,Ecto,68.4345
2556.96,2,100,H,Ecto,2.42522e+06
2556.96,2,1000,H,Ecto,15441
2556.96,2,100,H,Endo,6.91592e+08
2556.96,2,1000,H,Endo,8.06986e+07
2556.96,2,10,O,Ecto,4.05711
2556.96,2,100,O,Ecto,1.12669e+06
2556.96,2,1000,O,Ecto,8.59036e+06
2556.96,2,100,O,Endo,3.08209e+06
2556.96,2,1000,O,Endo,1.22396e+09
2556.96,2,100,C,Ecto,2.26396e+07
2556.96,2,1000,C,Ecto,1.23141e+06
2556.96,2,10000,C,Ecto,7.44628e+06
81987.1,2,1000,H,Ecto,2.22726e+06
81987.1,2,10000,H,Ecto,496131
81987.1,2,1000,H,Endo,1.46471e+07
81987.1,2,10000,H,Endo,2.73541e+06
81987.1,2,1000,O,Ecto,18202.2
81987.1,2,10000,O,Ecto,1094.09
81987.1,2,1000,O,Endo,233040
81987.1,2,10000,O,Endo,507251
81987.1,2,1000,C,Ecto,1.60996e+07
81987.1,2,10000,C,Ecto,1.04959e+07
81987.1,2,10000,C,Endo,13853.9
8727.34,2,100,H,Ecto,331911
8727.34,2,1000,H,Ecto,64422.6
8727.34,2,10000,H,Ecto,320.454
8727.34,2,100,H,Endo,4.2613e+07
8727.34,2,1000,H,Endo,4.67814e+08
8727.34,2,10000,H,Endo,52426.8
8727.34,2,100,O,Ecto,23775.3
8727.34,2,1000,O,Ecto,1.00183e+06
8727.34,2,100,O,Endo,458002
8727.34,2,1000,O,Endo,4.44385e+07
8727.34,2,10000,O,Endo,12.1628
8727.34,2,100,C,Ecto,732896
8727.34,2,1000,C,Ecto,2.02955e+06
8727.34,2,10000,C,Ecto,8.76816e+06
