GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.12778e+10,0,0,0
0,0,1.45505e+06,1.26031e+10,0,0,0
0,0,288821,2.79048e+09,0,0,0
0,0,471.743,4.34015e+09,0,0,0
0,0,1176.54,1.21345e+11,0,0,0
0,0,28682.4,3.29629e+09,0,0,0
0,0,3912.39,6.34501e+10,0,0,0
0,0,26601.1,1.72055e+10,0,0,0
0,0,4246.34,1.04016e+11,0,0,0
0,0,2189.77,96468.2,0,0,0
0,0,10878.2,5.31495e+09,0,0,0
0,0,288821,1.18875e+10,0,0,0
0,0,2189.77,33336.1,0,0,0
0,0,467.859,2.26312e+10,0,0,0
0,0,1142.66,6.37906e+10,0,0,0
0,0,458.824,5.72131e+09,0,0,0
0,1,93898.5,0,1.05558e+07,1.27737e+07,2.41997e+07
0,2,26501.5,7.29062e+09,3.6708e+09,1.03057e+09,7.97329e+08
0,2,81987.1,1.81034e+09,1.12638e+08,1.70948e+08,7.24339e+08
0,2,4895.17,4.38953e+08,8.09158e+07,3.15782e+06,7.30567e+06
0,2,8727.34,7.00309e+07,2.61406e+07,579433,2.6395e+06
0,2,2790.33,8.98979e+07,9.45483e+06,1.35084e+06,204713
0,2,593.35,1.75633e+09,4.59215e+08,1.09127e+09,1.14571e+07
0,2,8727.34,7.86667e+10,3.34415e+09,8.43755e+08,2.84244e+08
0,2,2790.33,2.60033e+09,8.23639e+09,1.68284e+08,2.61479e+06
0,2,593.35,6.15405e+07,2.35172e+06,2.51479e+06,61817.4
0,2,469.869,1.18577e+09,4.23362e+09,4.34957e+08,4.28062e+06
0,2,4895.17,2.65766e+09,3.76762e+09,8.11769e+07,1.69598e+06
0,2,2736.26,3.08531e+09,5.2513e+08,1.22271e+09,9.3217e+06
0,2,593.35,9.67382e+09,3.78754e+07,1.00877e+08,237956
0,2,4895.17,1.78187e+09,2.47128e+09,8.77491e+08,8.40047e+06
0,2,8456.43,5.43133e+08,3.63585e+09,3.95663e+07,558624
0,2,26501.5,1.96801e+10,1.84356e+10,3.92155e+08,2.21566e+07
0,2,599.551,4.55527e+10,59265.9,1.48948e+08,0
0,3,275.193,5.91761e+08,0,0,0
0,3,141.7,3.82232e+07,0,0,0
0,3,365.309,7.18132e+08,0,0,0
0,3,11.8621,2.58869e+08,0,0,0
0,3,21.5657,542515,0,0,0
0,3,66.4614,1.02652e+09,0,0,0
0,3,37.0848,1.56181e+09,0,0,0
0,3,21.5657,2.10538e+09,0,0,0
0,3,155.16,9.83384e+08,0,0,0
0,4,36.2707,0,45.9984,767796,0
0,4,612.448,0,12601.3,8.3785e+06,0
0,4,231.394,0,2.29228e+08,9.54445e+08,2.17717e+07
0,4,1316.6,0,4.91756e+09,1.3484e+08,1.70583e+06
0,5,714.454,5.8663e+08,1.34276e+09,1.18408e+08,1.54123e+06
0,5,2.30827,1.43091e+08,0,0,0
0,5,10.017,51.6235,0,0.343003,0
0,5,2.24613,2.93153e+08,0,0,0
0,5,3.45112,1.19813e+07,0,186.702,0
0,5,10.0812,307767,0,4.30292,0
0,5,67.9944,1.26773e+09,0,3.29086e+06,0
0,6,16165.1,7.05083e+07,0,0,0
0,6,8001.09,4.30554e+06,0,0,0
0,6,2843.29,1.88517e+08,0,0,0
0,6,59102.4,1.04848e+09,0,0,0
0,6,2636.85,3.00598e+07,0,0,0
0,6,8224.74,2.61818e+08,0,0,0
0,6,2459.61,1.49123e+06,0,0,0
0,6,866.046,2.45498e+09,0,0,0
0,6,456.261,4.38076e+08,0,0,0
0,6,2947.66,3.70163e+09,0,0,0
0,6,68.602,2.7162e+08,0,0,0
0,6,839.639,9.20733e+08,0,0,0
0,6,7987.64,5.27386e+07,0,0,0
0,6,428.741,2.51382e+08,0,0,0
0,6,16165.1,2.82127e+09,0,0,0
0,6,2888.89,7.84943e+08,0,0,0
0,6,64.3179,8.11672e+08,0,0,0
0,7,15238.4,0,2.27068e+10,2.30593e+09,4.15131e+09
0,7,7498.23,0,8.77618e+07,2.64318e+06,1.21587e+07
0,7,10582.5,0,3.44016e+08,2.09993e+07,9.95836e+07
0,7,42193.6,0,1.08177e+09,8.00992e+08,7.20163e+08
0,7,258.154,0,2.79776e+06,4.31407e+06,39415.1
0,7,972.278,0,1.02452e+08,9.15552e+06,196142
0,7,1773.49,0,5.96841e+07,2.5159e+06,160179
0,7,10290,0,7.24019e+10,2.53751e+09,1.21913e+10
0,7,428.093,0,4.39543e+06,2.41325e+06,13715
0,7,45882.2,0,4.29879e+10,1.96836e+09,3.20331e+09
0,7,1773.49,0,7.69114e+09,2.01757e+08,3.64684e+06
0,7,14985.5,0,8.877e+08,1.21473e+07,263616
0,7,258.154,0,3.80098e+07,2.97514e+08,74601.9
0,7,10170,0,3.83027e+08,3.15586e+09,3.77886e+07
0,7,7468.63,0,1.96476e+10,1.41129e+09,3.75431e+07
0,7,44004.6,0,8.6317e+09,5.20431e+08,2.58404e+07
0,7,988.804,0,40681.4,5.44877e+08,0
0,7,1773.49,0,3.51789e+08,2.52416e+08,3.40249e+06
0,8,3645,1.15194e+07,1.26359e+06,100650,51420.3
0,8,33305.8,5.83569e+08,1.68531e+08,1.43731e+08,2.03034e+08
0,8,6847.92,5.92243e+07,5.23071e+06,529436,324744
0,8,1039.22,1.75174e+08,4.35685e+08,6.70789e+06,129077
0,8,6967.94,2.5882e+09,2.24089e+09,5.24659e+07,2.23541e+06
0,8,6813.49,7.75782e+08,7.53373e+07,1.13314e+07,2.20683e+06
0,8,6621.71,8.09627e+07,1.99346e+08,2.09026e+06,64009
0,8,1051.88,6.88624e+08,6.51942e+07,3.14148e+08,5.47476e+06
0,8,6847.92,2.70178e+08,1.87579e+09,9.22762e+07,787842
0,8,3645,6.32244e+08,1.383e+08,2.4745e+08,1.88884e+06
0,8,1039.22,1.41713e+09,1.21916e+07,8.92044e+06,54332.7
