Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
94761,1,10000,H,Ecto,643017
94761,1,10000,H,Endo,1.43855e+07
94761,1,100000,H,Endo,5971.25
94761,1,10000,O,Ecto,130019
94761,1,10000,O,Endo,907263
94761,1,10000,C,Ecto,2.28582e+07
81987.1,2,1000,H,Ecto,731439
81987.1,2,10000,H,Ecto,973688
81987.1,2,1000,H,Endo,7.37101e+08
81987.1,2,10000,H,Endo,2.31967e+08
81987.1,2,1000,O,Ecto,5423.55
81987.1,2,10000,O,Ecto,36882.5
81987.1,2,1000,O,Endo,793887
81987.1,2,10000,O,Endo,419517
81987.1,2,1000,C,Ecto,291607
81987.1,2,10000,C,Ecto,3.43921e+08
527.331,2,10,H,Ecto,18772.6
527.331,2,100,H,Ecto,85.7402
527.331,2,10,O,Ecto,10296.3
527.331,2,100,O,Ecto,9.36734
527.331,2,1000,O,Ecto,138.776
527.331,2,100,O,Endo,17.0047
527.331,2,1000,O,Endo,52.6934
527.331,2,100,C,Ecto,2367.78
527.331,2,1000,C,Ecto,189.323
527.331,2,10000,C,Ecto,8.47044
2682.37,2,10,H,Ecto,26.6765
2682.37,2,100,H,Ecto,50495.8
2682.37,2,1000,H,Ecto,14945.3
2682.37,2,100,H,Endo,18760.5
2682.37,2,1000,H,Endo,3367.1
2682.37,2,10000,H,Endo,2343.84
2682.37,2,100,O,Ecto,14310.8
2682.37,2,1000,O,Ecto,14688.8
2682.37,2,100,O,Endo,1012.31
2682.37,2,1000,O,Endo,59395.6
2682.37,2,100,C,Ecto,28781.8
2682.37,2,1000,C,Ecto,92644
2682.37,2,10000,C,Ecto,11953.2
4903.94,2,100,H,Ecto,5.52271e+06
4903.94,2,1000,H,Ecto,1.24097e+06
4903.94,2,10000,H,Ecto,157855
4903.94,2,100,H,Endo,475777
4903.94,2,1000,H,Endo,2.0979e+07
4903.94,2,10000,H,Endo,1.21005e+07
4903.94,2,100,O,Ecto,3.39741e+06
4903.94,2,1000,O,Ecto,502471
4903.94,2,10000,O,Ecto,2797.88
4903.94,2,100,O,Endo,117710
4903.94,2,1000,O,Endo,7.61951e+07
4903.94,2,100,C,Ecto,1.0511e+06
4903.94,2,1000,C,Ecto,2.76166e+06
4903.94,2,10000,C,Ecto,663032
917.062,2,10,H,Ecto,4179.45
917.062,2,100,H,Ecto,11662.8
917.062,2,1000,H,Ecto,67.3466
917.062,2,100,H,Endo,623.113
917.062,2,1000,H,Endo,0.288898
917.062,2,10,O,Ecto,32500.5
917.062,2,100,O,Ecto,1528.67
917.062,2,1000,O,Ecto,6277.13
917.062,2,100,O,Endo,1412.2
917.062,2,1000,O,Endo,3161.85
917.062,2,100,C,Ecto,6982.91
917.062,2,1000,C,Ecto,10145.3
917.062,2,10000,C,Ecto,1151.78
2677.71,2,10,H,Ecto,82647.7
2677.71,2,100,H,Ecto,3.27484e+06
2677.71,2,1000,H,Ecto,366341
2677.71,2,100,H,Endo,799898
2677.71,2,1000,H,Endo,172.944
2677.71,2,10,O,Ecto,305281
2677.71,2,100,O,Ecto,450821
2677.71,2,1000,O,Ecto,941665
2677.71,2,100,O,Endo,244398
2677.71,2,1000,O,Endo,537829
2677.71,2,100,C,Ecto,841953
2677.71,2,1000,C,Ecto,2.22818e+06
2677.71,2,10000,C,Ecto,761963
26501.5,2,100,H,Ecto,600447
26501.5,2,1000,H,Ecto,4.92603e+07
26501.5,2,10000,H,Ecto,5.31114e+07
26501.5,2,100,H,Endo,1483.89
26501.5,2,1000,H,Endo,1.26953e+10
26501.5,2,10000,H,Endo,5.98377e+09
26501.5,2,100,O,Ecto,504256
26501.5,2,1000,O,Ecto,49776.7
26501.5,2,10000,O,Ecto,1.11196e+06
26501.5,2,100,O,Endo,18746.9
26501.5,2,1000,O,Endo,3.33119e+08
26501.5,2,10000,O,Endo,346021
26501.5,2,100,C,Ecto,24331.1
26501.5,2,1000,C,Ecto,582714
26501.5,2,10000,C,Ecto,2.31006e+09
4909.98,2,10,H,Ecto,148718
4909.98,2,100,H,Ecto,5.95455e+06
4909.98,2,1000,H,Ecto,186279
4909.98,2,100,H,Endo,1.46005e+06
4909.98,2,1000,H,Endo,317.177
4909.98,2,10,O,Ecto,535535
4909.98,2,100,O,Ecto,821958
4909.98,2,1000,O,Ecto,1.71102e+06
4909.98,2,100,O,Endo,443833
4909.98,2,1000,O,Endo,977525
4909.98,2,100,C,Ecto,1.53533e+06
4909.98,2,1000,C,Ecto,4.04554e+06
4909.98,2,10000,C,Ecto,1.16549e+06
8968.23,2,10,H,Ecto,18072.6
8968.23,2,100,H,Ecto,1.64073e+06
8968.23,2,1000,H,Ecto,165228
8968.23,2,100,H,Endo,246484
8968.23,2,1000,H,Endo,10060.3
8968.23,2,10,O,Ecto,8957.45
8968.23,2,100,O,Ecto,235990
8968.23,2,1000,O,Ecto,374421
8968.23,2,100,O,Endo,200163
8968.23,2,1000,O,Endo,292209
8968.23,2,100,C,Ecto,383468
8968.23,2,1000,C,Ecto,1.09811e+06
8968.23,2,10000,C,Ecto,294107
2826.53,2,10,H,Ecto,34391.9
2826.53,2,100,H,Ecto,10.8597
2826.53,2,10,O,Ecto,11901.7
2826.53,2,100,O,Ecto,1.13615
2826.53,2,1000,O,Ecto,23.4028
2826.53,2,100,O,Endo,0.657454
2826.53,2,1000,O,Endo,6.01534
2826.53,2,100,C,Ecto,1409.54
2826.53,2,1000,C,Ecto,14.0235
2826.53,2,10000,C,Ecto,0.723335
24355.1,2,10,H,Ecto,13.4789
24355.1,2,100,H,Ecto,6.83872e+06
24355.1,2,1000,H,Ecto,1.70731e+06
24355.1,2,10000,H,Ecto,18726.1
24355.1,2,100,H,Endo,1.24195e+06
24355.1,2,1000,H,Endo,2.26538e+06
24355.1,2,10000,H,Endo,4.74308e+06
24355.1,2,100,O,Ecto,5.16346e+06
24355.1,2,1000,O,Ecto,1.46307e+06
24355.1,2,10000,O,Ecto,242.113
24355.1,2,100,O,Endo,37848.8
24355.1,2,1000,O,Endo,5.94963e+07
24355.1,2,100,C,Ecto,5.02573e+06
24355.1,2,1000,C,Ecto,2.61943e+07
24355.1,2,10000,C,Ecto,1.91762e+06
528.61,2,10,H,Ecto,1.34303e+06
528.61,2,1,O,Ecto,0.0679307
528.61,2,10,O,Ecto,6360.01
528.61,2,1000,O,Ecto,0.160965
528.61,2,100,C,Ecto,499.134
528.61,2,1000,C,Ecto,0.207464
545.34,2,10,H,Ecto,3.92967e+06
545.34,2,1,O,Ecto,0.11553
545.34,2,10,O,Ecto,68797.8
545.34,2,1000,O,Ecto,8.45542
545.34,2,100,C,Ecto,3580.83
545.34,2,1000,C,Ecto,3.80994
4903.94,2,10,H,Ecto,437942
4903.94,2,100,H,Ecto,189.319
4903.94,2,10,O,Ecto,181952
4903.94,2,100,O,Ecto,21.6709
4903.94,2,1000,O,Ecto,472.937
4903.94,2,100,O,Endo,10.4461
4903.94,2,1000,O,Endo,124.864
4903.94,2,100,C,Ecto,20662.7
4903.94,2,1000,C,Ecto,282.852
4903.94,2,10000,C,Ecto,3.34352
2594.41,2,10,H,Ecto,5.02921e+06
2594.41,2,1,O,Ecto,0.293089
2594.41,2,10,O,Ecto,15335.5
2594.41,2,100,C,Ecto,1162.11
2594.41,2,1000,C,Ecto,0.293695
596.746,4,10,H,Ecto,9.01642e+06
596.746,4,1,O,Ecto,1.38199e+06
596.746,4,10,O,Ecto,2118.84
596.746,4,100,C,Ecto,20.4672
970.02,4,10,H,Ecto,2.31743e+07
970.02,4,100,H,Ecto,268065
970.02,4,10,O,Ecto,4.66687e+07
970.02,4,100,O,Ecto,29174.2
970.02,4,1000,O,Ecto,386957
970.02,4,100,O,Endo,51249.1
970.02,4,1000,O,Endo,153814
970.02,4,100,C,Ecto,4.26106e+06
970.02,4,1000,C,Ecto,573945
970.02,4,10000,C,Ecto,52499.3
1135.96,4,10,H,Ecto,6.8644e+06
1135.96,4,1,O,Ecto,258812
1135.96,4,10,O,Ecto,1502.28
