Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	695	139	1	0	2500	0	2500
0	1	0	732	139	1	0	2500	0	2500
0	2	0	670	134	0.964029	0	2500	0	2500
0	3	0	678	132	0.94964	0	2500	0	2500
0	4	0	637	126	0.906475	0	2500	0	2500
0	5	0	608	120	0.863309	0	2500	0	2500
0	6	0	613	117	0.841727	0	2500	0	2500
0	7	0	581	114	0.820144	0	2500	0	2500
0	8	0	594	114	0.820144	0	2500	0	2500
0	9	0	542	112	0.805755	0	2500	0	2500
0	10	0	537	111	0.798561	0	2500	0	2500
0	11	0	587	110	0.791367	0	2500	0	2500
