FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,5.55604e+07,1.98933e+07
0,1,10,5.14226e+08,6.12228e+08
0,10,100,4.50399e+07,7.16202e+07
0,100,1000,191548,1.1318e+08
0,1000,10000,67963.8,7.6488e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,7126.75,315387
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,4.84214e+07,1.13149e+07
2,1,10,2.12421e+08,1.60032e+08
2,10,100,2.93062e+06,7.501e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,2.54337e+08,1.91949e+06
3,0.1,1,2.8482e+08,8.33586e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,326078,1719.16
4,0.1,1,9.30042e+06,615038
4,1,10,3.08968e+07,3.40104e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.30982e+09,1.13382e+06
5,0.01,0.1,3.64705e+07,990336
5,0.1,1,1.59407e+07,4.98029e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,8.3913e+07,616035
6,0.1,1,2.46804e+07,9.39206e+06
6,1,10,7.85382e+07,5.73722e+07
6,10,100,2.77655e+06,2.22106e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,6.1445e+07,2.5135e+06
7,1,10,2.35599e+08,1.49672e+08
7,10,100,9.47676e+07,2.41741e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.76482e+07,5.32321e+06
8,1,10,4.15666e+07,2.96778e+07
8,10,100,2.31042e+06,1.37414e+07
8,100,1000,0,0
8,1000,10000,0,0
