Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
108725,1,1000,H,Ecto,5.02126
108725,1,10000,H,Ecto,2.48612e+06
108725,1,10000,H,Endo,3.05823e+06
108725,1,1000,O,Ecto,2099.23
108725,1,10000,O,Ecto,1.56366e+06
108725,1,1000,O,Endo,1.05693e+08
108725,1,10000,O,Endo,1.40596e+07
108725,1,1000,C,Ecto,102817
108725,1,10000,C,Ecto,2.27778e+07
26501.5,2,100,H,Ecto,3.51492e+06
26501.5,2,1000,H,Ecto,1.10635e+08
26501.5,2,10000,H,Ecto,2.19076e+07
26501.5,2,100,H,Endo,29038.9
26501.5,2,1000,H,Endo,1.26432e+09
26501.5,2,10000,H,Endo,9.38108e+07
26501.5,2,100,O,Ecto,87136.5
26501.5,2,1000,O,Ecto,4.73812e+06
26501.5,2,10000,O,Ecto,172423
26501.5,2,100,O,Endo,45.2553
26501.5,2,1000,O,Endo,4.3376e+09
26501.5,2,10000,O,Endo,1.51138e+08
26501.5,2,100,C,Ecto,82602.1
26501.5,2,1000,C,Ecto,7.95134e+08
26501.5,2,10000,C,Ecto,5.85176e+07
81987.1,2,1000,H,Ecto,372861
81987.1,2,10000,H,Ecto,346.132
81987.1,2,1000,H,Endo,1211.34
81987.1,2,10000,H,Endo,2.27555e+06
81987.1,2,1000,O,Ecto,61393.3
81987.1,2,10000,O,Ecto,2200.38
81987.1,2,1000,O,Endo,3.18737e+08
81987.1,2,10000,O,Endo,205041
81987.1,2,1000,C,Ecto,1.11022e+07
81987.1,2,10000,C,Ecto,1.61341e+07
81987.1,2,100000,C,Endo,5.55215
620.21,2,10,H,Ecto,84364.9
620.21,2,100,H,Ecto,24762.7
620.21,2,100,H,Endo,1.06145e+06
620.21,2,1000,H,Endo,1.19678e+07
620.21,2,10,O,Ecto,18.3836
620.21,2,100,O,Ecto,58008.6
620.21,2,1000,O,Ecto,354.403
620.21,2,100,O,Endo,79850.3
620.21,2,100,C,Ecto,1.91824e+06
620.21,2,1000,C,Ecto,4956.23
620.21,2,10000,C,Ecto,48.3351
2243.23,2,10,H,Ecto,330822
2243.23,2,100,H,Ecto,1.86354e+08
2243.23,2,1000,H,Ecto,34167.1
2243.23,2,10000,H,Ecto,72117
2243.23,2,100,H,Endo,1.71504e+08
2243.23,2,1000,H,Endo,1.39263e+08
2243.23,2,10000,H,Endo,2.42945e+07
2243.23,2,100,O,Ecto,2.12448e+08
2243.23,2,1000,O,Ecto,2.75794e+06
2243.23,2,10000,O,Ecto,32490.7
2243.23,2,100,O,Endo,4.29631e+07
2243.23,2,1000,O,Endo,2.43997e+07
2243.23,2,100,C,Ecto,6.88684e+07
2243.23,2,1000,C,Ecto,2.07374e+08
2243.23,2,10000,C,Ecto,7.06026e+07
9150.36,2,100,H,Ecto,2.60436e+08
9150.36,2,1000,H,Ecto,1.35958e+08
9150.36,2,10000,H,Ecto,2.82838e+07
9150.36,2,100,H,Endo,2.07845e+07
9150.36,2,1000,H,Endo,8.70183e+09
9150.36,2,10000,H,Endo,1.91335e+09
9150.36,2,100,O,Ecto,3.30331e+07
9150.36,2,1000,O,Ecto,2.93181e+07
9150.36,2,10000,O,Ecto,4.9729e+06
9150.36,2,100,O,Endo,134361
9150.36,2,1000,O,Endo,3.28713e+09
9150.36,2,10000,O,Endo,3.25443e+08
9150.36,2,100,C,Ecto,1.0831e+06
9150.36,2,1000,C,Ecto,5.59386e+09
9150.36,2,10000,C,Ecto,1.47276e+08
4562.89,2,100,H,Ecto,1.40367e+09
4562.89,2,1000,H,Ecto,8.2686e+07
4562.89,2,10000,H,Ecto,1.34291e+07
4562.89,2,100,H,Endo,1.05441e+09
4562.89,2,1000,H,Endo,3.84436e+09
4562.89,2,10000,H,Endo,1.4025e+09
4562.89,2,100,O,Ecto,3.44346e+08
4562.89,2,1000,O,Ecto,4.36809e+07
4562.89,2,10000,O,Ecto,1.01097e+06
4562.89,2,100,O,Endo,4.04182e+07
4562.89,2,1000,O,Endo,9.32846e+08
4562.89,2,10000,O,Endo,8.23075e+07
4562.89,2,100,C,Ecto,9.37457e+07
4562.89,2,1000,C,Ecto,7.7018e+09
4562.89,2,10000,C,Ecto,4.74235e+08
2625.25,2,10,H,Ecto,1.56989e+06
2625.25,2,100,H,Ecto,22013.8
2625.25,2,100,H,Endo,8.21945e+06
2625.25,2,1000,H,Endo,2.8799e+07
2625.25,2,10,O,Ecto,52902.2
2625.25,2,100,O,Ecto,12818.9
2625.25,2,1000,O,Ecto,659.006
2625.25,2,100,O,Endo,143790
2625.25,2,10,C,Ecto,4.15638e-12
2625.25,2,100,C,Ecto,8.02822e+06
2625.25,2,1000,C,Ecto,224.956
490.546,2,10,H,Ecto,3.05521e+06
490.546,2,100,H,Ecto,769.93
490.546,2,100,H,Endo,12027.3
490.546,2,1000,H,Endo,16613.4
490.546,2,10,O,Ecto,185563
490.546,2,100,O,Ecto,2956.19
490.546,2,1000,O,Ecto,593.566
