FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.85139e+06,1.7911e+06
0,1,10,6.00946e+07,1.17219e+08
0,10,100,1.77854e+07,8.52439e+07
0,100,1000,1.98226e+06,9.78394e+07
0,1000,10000,62034,8.51847e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,2739.37,162447
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,9.01938e+06,8.33777e+06
2,1,10,1.07061e+08,2.34673e+08
2,10,100,1.9454e+06,5.34824e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,1.71498e+08,4.03816e+06
3,0.1,1,9.6273e+06,1.81839e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,6.31769,0.032982
4,0.1,1,4.53498e+06,3.47041e+06
4,1,10,2.39366e+06,473410
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.00051e+09,7.95457e+06
5,0.01,0.1,6.2395e+07,1.6418e+06
5,0.1,1,2.14811e+06,1.65624e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,7.04161e+06,680700
6,0.1,1,7.19115e+06,6.2564e+06
6,1,10,1.1016e+07,3.14745e+07
6,10,100,4.31063e+06,2.43823e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,4.48869e+06,1.3777e+06
7,1,10,4.81613e+07,2.7032e+08
7,10,100,4.80508e+07,3.97166e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.42165e+06,491620
8,1,10,1.01086e+07,1.03627e+07
8,10,100,272376,1.05218e+07
8,100,1000,0,0
8,1000,10000,0,0
