GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,650091,61605.5,-2.35147,0,0.5,2,243254,29,1,34,30,4
0,0,3464.99,406028,406028,52489.6,-2.34468,0,0.5,2,227389,28,1,34,29,5
0,0,47894.7,1.45505e+06,1.45223e+06,60267.7,-2.30426,0,0.5,2,0,4294967295,0,34,34,0
0,0,312.62,10878.2,10878.2,4952.58,-2.50065,0,0.5,2,12355.7,9,1,34,10,24
0,0,36.9596,1135.19,1135.19,2.99963e+06,-2.20756,14,0.5,2,2862.43,20,1,19,6,13
0,0,1630.56,25792.9,25792.9,610762,-2.30151,17,0.5,2,22013.5,27,1,16,10,6
0,0,46.1427,2197.15,2197.15,106911,-2.24328,22,0.5,2,4626.03,29,1,11,7,4
0,0,302.162,4373.5,4373.5,5.6202e+07,-2.46243,22,0.5,2,1515.1,31,1,11,9,2
0,0,312.299,10533.7,7417.87,1.09853e+07,-2.50065,25,0.5,2,0,4294967295,0,8,8,0
0,0,38.8771,472.373,472.373,248412,-2.20265,26,0.5,2,1242.48,30,1,7,4,3
0,0,305.093,4686.9,4686.9,1.30336e+07,-2.46243,26,0.5,2,148.809,33,1,7,7,0
0,0,307.447,10674.1,4522.95,2.57348e+06,-2.50065,27,0.5,2,0,4294967295,0,6,6,0
0,0,36.9596,1135.19,1106.33,1.36004e+06,-2.20756,28,0.5,2,0,4294967295,0,5,5,0
0,0,1667.79,24535.2,6377.83,7.71172e+06,-2.30151,29,0.5,2,0,4294967295,0,4,4,0
0,0,303.946,11761.2,2209.54,1.86952e+06,-2.50065,29,0.5,2,0,4294967295,0,4,4,0
0,2,1673.33,26501.5,26501.5,837204,-2.46243,0,0.5,2.81429,43816.7,18,1,34,19,15
0,2,1012.88,81987.1,81987.1,51028.7,-2.24328,0,0.5,3.00623,76878.1,28,1,34,29,5
0,2,133.895,4895.17,4895.17,168471,-2.20756,0,0.5,2.04269,3661.99,12,1,34,13,21
0,2,37.744,2447.65,2447.65,15904.9,-2.34468,13,0.5,2.00335,2958.88,19,1,20,6,14
0,2,47.7898,538.689,538.689,19871.4,-2.30426,22,0.5,2.00383,895.562,24,1,11,2,9
0,2,27.927,935.858,935.858,3.49114e+06,-2.18799,22,0.5,2.00071,889.423,26,1,11,4,7
0,2,133.895,4895.17,2302.21,1.4254e+07,-2.20756,23,0.5,2.00322,0,4294967295,0,10,10,0
0,2,19.4944,660.392,660.392,365359,-2.71651,23,0.5,2.00961,190.372,32,1,10,9,1
0,2,257.878,8727.34,7760.72,3.09812e+07,-2.50065,23,0.5,2.16874,0,4294967295,0,10,10,0
0,2,38.5885,2433.09,2054.85,734617,-2.34468,24,0.5,2.00069,0,4294967295,0,9,9,0
0,2,37.1392,2441.79,535.439,917705,-2.34468,26,0.5,2.00708,0,4294967295,0,7,7,0
0,2,126.015,5387.36,1164.94,2.32672e+06,-2.20756,26,0.5,2.00074,0,4294967295,0,7,7,0
0,2,253.416,8847.58,1523.33,487620,-2.50065,27,0.5,2.00099,0,4294967295,0,6,6,0
0,2,27.927,935.858,330.554,452245,-2.18799,27,0.5,2.01182,0,4294967295,0,6,6,0
0,2,47.0714,531.157,341.006,246034,-2.30426,28,0.5,2.01074,0,4294967295,0,5,5,0
0,2,1782.36,26659.6,3978.78,1.47807e+07,-2.46243,28,0.5,2.0094,0,4294967295,0,5,5,0
