Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377638,170861,268870,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62745e+08,1.10116e+09,9.09115e+07,616985,129675,513340,2.54798e+07,3.74868e+07,3.80757e+07
6, 1,1.38396e+08,7.04755e+08,6.89669e+07,918085,54301.6,876544,2.96099e+07,4.86159e+07,4.18699e+07
7, 1,8.73896e+07,5.36117e+08,4.98722e+07,1.58931e+06,40135,2.82727e+06,3.39777e+07,4.71802e+07,4.61378e+07
8, 1,7.67129e+07,3.92698e+08,2.76199e+07,2.34004e+06,63727.8,6.71841e+06,3.21408e+07,3.6711e+07,4.63436e+07
9, 1,7.43885e+07,1.61643e+08,2.66855e+07,2.99189e+06,94196.3,1.20733e+07,2.6695e+07,2.71819e+07,4.04616e+07
10, 1,7.62309e+07,1.04451e+08,2.83276e+07,3.39964e+06,97675.7,1.65484e+07,2.80807e+07,2.4391e+07,4.21585e+07
11, 1,8.09835e+07,8.16728e+07,3.17533e+07,3.76964e+06,88408.3,2.03337e+07,3.06153e+07,2.24761e+07,4.55545e+07
12, 1,8.52803e+07,6.26082e+07,2.83432e+07,9.97453e+06,149828,6.59357e+07,2.56833e+07,1.64343e+07,3.35154e+07
13, 2,9.80583e+07,4.91449e+07,2.67912e+07,2.19023e+07,329685,1.63636e+08,2.10833e+07,1.25704e+07,2.35955e+07
14, 2,1.2118e+08,3.53366e+07,2.61667e+07,3.89616e+07,741746,2.45835e+08,2.0203e+07,1.24166e+07,1.68197e+07
15, 2,1.43143e+08,9.19573e+06,2.74944e+07,5.83344e+07,1.36817e+06,6.7823e+08,2.11087e+07,1.28912e+07,1.57403e+07
16, 2,1.74176e+08,207.448,3.06662e+07,1.3604e+08,4.30935e+06,1.32369e+09,2.32072e+07,1.61043e+07,1.64492e+07
17, 2,2.25308e+08,0,4.24576e+07,2.95819e+08,1.28729e+07,1.98843e+09,2.62091e+07,2.16184e+07,1.81132e+07
18, 2,3.04793e+08,0,6.16941e+07,5.47976e+08,4.50134e+07,2.38967e+09,3.09667e+07,3.14488e+07,2.06763e+07
19, 2,4.34593e+08,0,1.01057e+08,7.9425e+08,1.45118e+08,2.23857e+09,3.47629e+07,5.07132e+07,2.52437e+07
20, 2,5.93021e+08,0,1.3995e+08,1.15337e+09,2.36087e+08,1.60636e+09,3.7636e+07,7.0564e+07,2.99317e+07
21, 2,7.46686e+08,0,1.70714e+08,1.3414e+09,2.86605e+08,1.49686e+09,4.03258e+07,8.61575e+07,3.57129e+07
22, 2,8.42627e+08,0,1.95773e+08,1.3146e+09,3.43463e+08,1.22984e+09,4.31557e+07,1.0176e+08,4.2942e+07
23, 2,9.43814e+08,0,2.23261e+08,1.37281e+09,3.58167e+08,1.11453e+09,4.67262e+07,1.24173e+08,4.75595e+07
24, 2,9.98241e+08,0,5.5764e+08,1.22812e+09,7.06198e+08,6.90128e+08,5.36685e+07,2.36604e+08,7.06982e+07
25, 3,1.0333e+09,0,9.41244e+08,8.03447e+07,3.73307e+08,1.55393e+08,5.78027e+07,4.30877e+08,1.08176e+08
26, 3,7.74299e+08,0,9.76919e+08,3.72664e+06,1.27427e+08,2.54722e+07,6.1751e+07,3.81852e+08,1.09489e+08
27, 3,8.95335e+08,0,8.11467e+08,2.35888e+06,3.78834e+07,9.84384e+06,6.38198e+07,2.18815e+08,1.20111e+08
28, 3,7.21779e+08,0,4.29375e+08,2.6314e+06,3.07621e+07,8.25545e+06,6.97286e+07,2.66832e+08,1.02292e+08
29, 3,7.3126e+08,0,4.10201e+08,3.04195e+06,2.32846e+07,6.10147e+06,7.16328e+07,3.25616e+08,6.11649e+07
30, 3,7.21988e+08,0,4.28012e+08,4.15898e+06,6.62285e+06,5.17265e+06,7.36798e+07,3.71412e+08,6.25591e+07
31, 3,7.51088e+08,0,4.10353e+08,3.30763e+06,5.58746e+06,5.99781e+06,7.96774e+07,3.8826e+08,6.51362e+07
32, 3,7.56373e+08,0,4.1532e+08,3.35901e+06,4.10151e+06,5.93795e+06,7.94467e+07,3.65952e+08,6.32523e+07
33, 3,7.61984e+08,0,4.1489e+08,3.47641e+06,3.31769e+06,5.60241e+06,7.81561e+07,3.25893e+08,6.04322e+07
34, 3,7.6019e+08,0,4.14544e+08,3.36429e+06,2.59762e+06,5.22892e+06,7.40705e+07,2.96255e+08,5.62729e+07
35, 3,7.88962e+08,0,4.20203e+08,3.43112e+06,2.00403e+06,4.51803e+06,6.83527e+07,2.85287e+08,5.32542e+07
