GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.37062e+10,0,0,0
0,0,406028,1.16904e+10,0,0,0
0,0,1.45505e+06,1.18479e+10,0,0,0
0,0,463.538,1.95879e+10,0,0,0
0,0,1152.19,3.6431e+09,0,0,0
0,0,10878.2,5.72224e+09,0,0,0
0,0,2154,2.95202e+09,0,0,0
0,0,27394.2,1.01836e+10,0,0,0
0,0,4044.72,1.88531e+10,0,0,0
0,0,4318.27,5.01765e+09,0,0,0
0,0,10878.2,1.07869e+10,0,0,0
0,0,1195.79,9.85251e+09,0,0,0
0,0,436.089,8.01762e+10,0,0,0
0,0,2465.85,4.54297e+09,0,0,0
0,0,10878.2,0,0,0,0
0,0,447.797,0,0,0,0
0,0,1146.96,0,0,0,0
0,1,97164.5,0,9.11987e+08,9.25079e+09,1.43675e+08
0,2,26501.5,8.08781e+08,5.89812e+07,2.47318e+08,2.41893e+07
0,2,81987.1,1.09487e+09,3.40639e+06,2.80952e+08,8.14257e+06
0,2,621.8,9.43554e+08,5.99846e+08,1.57792e+08,2.99046e+07
0,2,431.909,5.70493e+08,1.41121e+08,3.59178e+07,3.99358e+06
0,2,4913.48,1.18341e+11,4.03418e+10,3.1037e+09,5.25196e+10
0,2,8820.62,1.52654e+10,1.18145e+10,7.49238e+08,9.90306e+09
0,2,2781.35,4.97664e+10,3.83006e+10,1.38248e+10,9.05072e+09
0,2,2486.07,5.36694e+09,1.15253e+09,6.30769e+07,3.21764e+07
0,2,26501.5,4.22485e+09,2.21266e+09,3.5203e+08,1.8622e+09
0,2,4895.17,7.55204e+09,4.15225e+09,7.57064e+08,1.43985e+08
0,2,8727.34,9.35567e+08,3.08306e+08,5.96892e+07,8.46978e+06
0,2,617.399,2.04969e+09,190.51,6822.5,5.24219e-09
0,2,436.294,2.46371e+10,588085,284879,372361
0,2,2427.37,9.96341e+08,5.13098e+07,287413,152291
0,2,664.278,0,0,0,0
0,2,28031.3,0,0,0,0
0,3,135.258,1.50493e+09,0,0,0
0,3,448.896,3.50468e+09,0,0,0
0,3,261.691,4.35728e+09,0,0,0
0,3,130.87,6.76105e+06,0,0,0
0,3,19.4176,1144.05,0,0,0
0,3,68.0618,6.24683e+09,0,0,0
0,3,11.398,2.19232e+06,0,0,0
0,3,46.3795,0,0,0,0
0,3,31.212,0,0,0,0
0,4,107.139,0,0.00501695,0.0103872,0
0,4,1526.28,0,1.84808e+09,1.79851e+09,8.06195e+09
0,4,633.564,0,214.334,114730,1.41553e-07
0,4,274.869,0,292180,295261,1701.73
0,5,700.229,6.61645e+09,2.45652e+06,2.19322e+06,4.41085e+06
0,5,40.8358,1.95855e+07,1.11295,41.7689,5.26714e-11
0,5,80.4913,2.26838e+06,24.141,0.674169,10.7046
0,5,3.67465,40.0564,0,0,0
0,5,2.2543,340.385,0,0,0
0,5,9.75998,1.87638e+07,0,4.68255e-14,0
0,6,16165.1,1.64976e+08,0,0,0
0,6,8001.09,8.21822e+06,0,0,0
0,6,59564.8,1.01643e+09,0,0,0
0,6,3071.58,2.1127e+09,0,0,0
0,6,422.662,1.56685e+07,0,0,0
0,6,2459.61,2.52014e+07,0,0,0
0,6,866.046,4.2076e+07,0,0,0
0,6,8079.87,1.13634e+08,0,0,0
0,6,2581.25,1.22766e+06,0,0,0
0,6,2856.84,5.71451e+08,0,0,0
0,6,16165.1,9.36015e+08,0,0,0
0,6,422.662,5.52354e+08,0,0,0
0,6,61.9008,2.89732e+08,0,0,0
0,6,423.417,4.19876e+07,0,0,0
0,6,69.0674,5.46172e+07,0,0,0
0,6,8694.46,1.9866e+07,0,0,0
0,6,2840.11,3.2571e+09,0,0,0
0,6,868.91,6.79425e+09,0,0,0
0,6,16526.3,0,0,0,0
0,6,468.982,0,0,0,0
0,7,15238.4,0,1.77762e+08,1.11283e+08,2.93147e+07
0,7,10582.5,0,3.84782e+08,7.79696e+07,8.65623e+07
0,7,1779.77,0,2.1472e+08,4.83914e+07,3.5291e+08
0,7,42193.6,0,7.24236e+07,6.16427e+09,1.92137e+08
0,7,392.443,0,5.24376e+07,4.12694e+07,3.53537e+06
0,7,256.061,0,1.38043e+10,6.8989e+08,6.90589e+08
0,7,10582.5,0,1.0767e+10,2.26492e+09,4.63238e+09
0,7,812.641,0,4.44471e+10,1.64821e+10,2.69574e+09
0,7,7426.22,0,4.33523e+09,5.17369e+09,9.7842e+09
0,7,240.211,0,1047.12,28541.1,4.23008e-08
0,7,426.72,0,1.12069e+06,30223.7,499116
0,7,10335.6,0,2.01163e+08,3.87108e+08,1.22895e+08
0,7,860.056,0,37674.6,438955,591.62
0,7,7498.23,0,7.18912e+08,9.38624e+07,1.90995e+07
0,7,41636.1,0,0,0,0
0,7,1813.49,0,0,0,0
0,8,3645,1.77722e+07,6.98435e+06,538476,1.16349e+07
0,8,21648.8,3.6732e+08,1.99633e+07,1.25522e+08,1.34953e+07
0,8,33305.8,1.9646e+08,1.87897e+06,6.28247e+07,5.31965e+06
0,8,1039.22,5.95072e+08,7.47311e+07,7.39184e+07,9.87919e+07
0,8,6847.92,7.74534e+07,5.99025e+07,4.38509e+06,4.61119e+07
0,8,6990.83,7.33785e+08,6.70445e+08,1.06281e+08,1.40924e+08
0,8,6959.58,3.08618e+08,8.11575e+07,2.81335e+07,9.03663e+07
0,8,3608.89,5.36461e+08,6.88868e+07,6.7665e+07,6.53233e+06
0,8,7450.77,2.40274e+08,5.00309e+06,1.12172e+07,2.17146e+06
0,8,1111.4,4.08501e+09,57752.8,23877.6,33483.8
0,8,3645,8.39686e+07,18983,19931.8,27358
