GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,650091,102736,-2.35147,0,0.5,2,34582.1,29,1,30,30,0
0,0,47894.7,1.45505e+06,1.12449e+06,67962.5,-2.30426,0,0.5,2,0,4294967295,0,30,30,0
0,0,4668.9,288821,288821,45673.9,-2.18799,0,0.5,2,30789.7,23,1,30,24,6
0,0,323.879,4648.35,4648.35,1.94673e+06,-2.46243,14,0.5,2,1689.83,21,1,15,7,8
0,0,312.62,10878.2,10878.2,1.22971e+06,-2.50065,16,0.5,2,0,25,1,13,9,4
0,0,1517.16,25511.7,25511.7,318094,-2.30151,17,0.5,2,0,27,1,12,10,2
0,0,35.8775,2522.39,1118.13,2.53325e+06,-2.24328,24,0.5,2,174.367,4294967295,0,5,5,0
0,0,37.4757,1173.74,704.489,1.65718e+06,-2.20756,25,0.5,2,0,4294967295,0,4,4,0
0,0,322.943,4532.81,1394.5,9.29739e+07,-2.46243,26,0.5,2,0,4294967295,0,3,3,0
0,0,40.464,455.774,416.2,1.33299e+07,-2.20265,26,0.5,2,9.12773e-15,4294967295,0,3,3,0
0,0,312.62,10878.2,946.255,1.21944e+07,-2.50065,27,0.5,2,0,4294967295,0,2,2,0
0,0,40.464,455.774,217.38,7.89624e+06,-2.20265,27,0.5,2,0,4294967295,0,2,2,0
0,0,4782.34,299906,6511.88,2.01881e+06,-2.18799,28,0.5,2,0,4294967295,0,1,1,0
0,0,37.403,2527.36,95.1839,2.75753e+06,-2.24328,28,0.5,2,0,4294967295,0,1,1,0
0,0,323.879,4648.35,581.772,1.93459e+07,-2.46243,28,0.5,2,0,4294967295,0,1,1,0
0,0,39.5883,500.419,39.5883,1.92263e+08,-2.20265,29,0.5,2,0,4294967295,0,0,0,0
0,0,306.506,10539,306.506,2.89512e+07,-2.50065,29,0.5,2,0,4294967295,0,0,0,0
0,0,1480.48,26287.4,1480.48,3.26996e+06,-2.30151,29,0.5,2,0,4294967295,0,0,0,0
