FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,3.51347e+06,2.91449e+06
0,1,10,3.02821e+07,2.00826e+08
0,10,100,2.23464e+07,9.8365e+07
0,100,1000,1.90504e+06,9.68672e+07
0,1000,10000,62110.6,8.52485e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,425333,2.06262e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,1.04943e+07,2.76062e+06
2,1,10,1.58021e+07,1.08025e+08
2,10,100,1.74352e+06,3.75734e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.38237e+08,3.33228e+06
3,0.01,0.1,5.44242e+06,395771
3,0.1,1,1.28037e+07,3.56756e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,32.9159,3.674
4,0.1,1,3.35254e+06,882978
4,1,10,2.71616e+06,523308
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.5507e+09,9.75178e+06
5,0.01,0.1,4.16198e+06,212302
5,0.1,1,2.39265e+06,1.36382e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.37641e+06,501074
6,0.1,1,5.15939e+06,3.33413e+06
6,1,10,1.70022e+07,5.71937e+07
6,10,100,2.3601e+06,2.38624e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,9.06951e+06,2.03083e+06
7,1,10,8.33918e+06,1.46027e+07
7,10,100,4.5983e+07,3.7411e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,669492,191888
8,1,10,1.30436e+07,3.43729e+07
8,10,100,184683,6.80126e+06
8,100,1000,0,0
8,1000,10000,0,0
