Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377757,170860,269018,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62658e+08,1.10126e+09,9.085e+07,618496,129348,514325,2.53797e+07,3.74912e+07,3.79426e+07
6, 1,1.38303e+08,7.04617e+08,6.89205e+07,920403,54432.2,879156,2.95041e+07,4.86536e+07,4.17428e+07
7, 1,8.74351e+07,5.36082e+08,4.98153e+07,1.57668e+06,40772.7,2.77083e+06,3.38607e+07,4.71462e+07,4.60004e+07
8, 1,7.66571e+07,3.92542e+08,2.75599e+07,2.3366e+06,66035.4,6.45789e+06,3.20414e+07,3.66284e+07,4.6211e+07
9, 1,7.44508e+07,1.6137e+08,2.6627e+07,3.0102e+06,101038,1.14416e+07,2.66283e+07,2.70773e+07,4.03508e+07
10, 1,7.62826e+07,1.0422e+08,2.8286e+07,3.42396e+06,106114,1.57324e+07,2.80276e+07,2.42937e+07,4.20584e+07
11, 1,8.09714e+07,8.13482e+07,3.1706e+07,3.80079e+06,96941.2,1.92681e+07,3.05554e+07,2.23739e+07,4.54465e+07
12, 1,8.88181e+07,5.21074e+07,2.40387e+07,1.02104e+07,163655,6.25261e+07,2.95178e+07,1.66387e+07,3.55208e+07
13, 2,1.0767e+08,4.81511e+07,2.47524e+07,2.26917e+07,359898,1.57398e+08,2.23333e+07,1.25594e+07,2.51207e+07
14, 2,1.34472e+08,3.27174e+07,2.63567e+07,3.52881e+07,797388,2.88927e+08,2.01331e+07,1.23071e+07,1.99797e+07
15, 2,1.49251e+08,3.54148e+07,2.96231e+07,8.45359e+07,1.44704e+06,4.07515e+08,2.18382e+07,1.38204e+07,1.8685e+07
16, 2,1.9457e+08,2.48275e+07,3.82605e+07,1.64678e+08,4.74669e+06,9.30764e+08,2.36076e+07,1.61417e+07,1.68016e+07
17, 2,2.43963e+08,2.50241e+07,4.44457e+07,3.05673e+08,1.29781e+07,1.61573e+09,2.61847e+07,2.03679e+07,1.77246e+07
18, 2,3.36921e+08,2.1396e+07,5.48516e+07,6.34553e+08,4.35209e+07,2.04861e+09,3.02306e+07,2.75265e+07,1.94818e+07
19, 2,4.42642e+08,9.3595e+06,1.49867e+08,1.34083e+09,1.1631e+08,1.93424e+09,3.61092e+07,4.08265e+07,2.2594e+07
20, 2,5.34239e+08,1.73308e+07,4.21443e+08,1.53885e+09,1.80156e+08,1.35752e+09,4.13006e+07,6.16713e+07,2.65786e+07
21, 2,5.9573e+08,2.467e+07,7.7724e+08,5.85839e+08,2.02367e+08,7.99916e+08,4.62371e+07,9.16602e+07,3.07027e+07
22, 2,6.18979e+08,2.74922e+07,9.40978e+08,1.18011e+08,1.10929e+08,2.88624e+08,5.12281e+07,1.24479e+08,3.43922e+07
23, 2,6.83752e+08,3.10333e+07,9.78602e+08,1.2237e+08,1.15237e+08,1.3207e+08,5.70439e+07,1.4975e+08,3.56594e+07
24, 2,6.54865e+08,1.61215e+07,3.76436e+08,2.00444e+07,4.81209e+06,1.06789e+07,6.40745e+07,1.91648e+08,4.36667e+07
25, 3,5.23596e+08,8.19386e+06,3.52588e+08,2.16961e+07,4.25698e+06,8.9563e+06,6.98576e+07,2.21091e+08,3.76734e+07
26, 3,4.68785e+08,8.30148e+06,3.88187e+08,2.0822e+07,6.31686e+06,9.0268e+06,7.45002e+07,2.47857e+08,4.01473e+07
27, 3,4.45754e+08,1.00918e+07,2.81116e+08,1.31007e+07,8.631e+06,1.00477e+07,7.75063e+07,2.64002e+08,3.92713e+07
28, 3,4.54932e+08,1.50009e+07,2.59597e+08,1.50108e+07,9.01234e+06,1.00812e+07,8.10959e+07,2.96602e+08,3.73883e+07
29, 3,4.8837e+08,1.80627e+07,1.98304e+08,1.14146e+07,4.95705e+06,6.14615e+06,8.34682e+07,3.54902e+08,4.00612e+07
30, 3,4.79573e+08,1.76892e+07,1.85025e+08,5.53435e+06,1.4408e+06,3.10101e+06,8.31241e+07,3.93444e+08,4.08106e+07
31, 3,4.99072e+08,1.72894e+07,1.7504e+08,5.87011e+06,1.09568e+06,5.04897e+06,8.93729e+07,3.75735e+08,4.23148e+07
32, 3,4.97611e+08,1.93952e+07,1.63348e+08,6.82014e+06,1.38275e+06,8.67175e+06,9.48495e+07,3.69864e+08,4.38215e+07
33, 3,4.84221e+08,2.06262e+07,1.48359e+08,7.29561e+06,1.40629e+06,1.13279e+07,8.48913e+07,3.90743e+08,4.13661e+07
34, 3,4.76731e+08,2.00531e+07,1.30927e+08,7.02903e+06,1.44317e+06,1.46715e+07,6.68962e+07,3.86692e+08,3.79654e+07
35, 3,5.03408e+08,2.30754e+07,1.2372e+08,7.36445e+06,1.29736e+06,1.75408e+07,6.03497e+07,3.61828e+08,3.60556e+07
