Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
81987.1,2,1000,H,Ecto,1.44374e+06
81987.1,2,10000,H,Ecto,421430
81987.1,2,1000,H,Endo,4.95039e+06
81987.1,2,10000,H,Endo,1.19209e+07
81987.1,2,100000,H,Endo,1.63924e+06
81987.1,2,1000,O,Ecto,714607
81987.1,2,10000,O,Ecto,56681.1
81987.1,2,1000,O,Endo,4.15909e+07
81987.1,2,10000,O,Endo,3.3255e+06
81987.1,2,1000,C,Ecto,8.86102e+08
81987.1,2,10000,C,Ecto,8.85345e+08
8727.34,2,100,H,Ecto,47561.5
8727.34,2,1000,H,Ecto,79828.7
8727.34,2,10000,H,Ecto,5539.25
8727.34,2,100,H,Endo,43438.6
8727.34,2,1000,H,Endo,894332
8727.34,2,100,O,Ecto,23283.1
8727.34,2,1000,O,Ecto,59386.7
8727.34,2,10000,O,Ecto,42255.1
8727.34,2,100,O,Endo,18328.1
8727.34,2,1000,O,Endo,167171
8727.34,2,100,C,Ecto,5993.11
8727.34,2,1000,C,Ecto,84026.2
8727.34,2,10000,C,Ecto,241965
4858.37,2,100,H,Ecto,584485
4858.37,2,1000,H,Ecto,306487
4858.37,2,10000,H,Ecto,5387.31
4858.37,2,100,H,Endo,495376
4858.37,2,1000,H,Endo,1.45389e+06
4858.37,2,100,O,Ecto,217899
4858.37,2,1000,O,Ecto,273435
4858.37,2,10000,O,Ecto,66531.2
4858.37,2,100,O,Endo,194186
4858.37,2,1000,O,Endo,581434
4858.37,2,100,C,Ecto,110637
4858.37,2,1000,C,Ecto,440232
4858.37,2,10000,C,Ecto,338410
2374.16,2,10,H,Ecto,4541.42
2374.16,2,100,H,Ecto,99450.7
2374.16,2,1000,H,Ecto,954.957
2374.16,2,100,H,Endo,37164.8
2374.16,2,1000,H,Endo,46164.7
2374.16,2,10,O,Ecto,1608.72
2374.16,2,100,O,Ecto,37813.1
2374.16,2,1000,O,Ecto,3113.34
2374.16,2,100,O,Endo,93171.1
2374.16,2,1000,O,Endo,40050.9
2374.16,2,100,C,Ecto,19487.7
2374.16,2,1000,C,Ecto,839.288
2374.16,2,10000,C,Ecto,216.169
636.763,2,10,H,Ecto,807321
636.763,2,100,H,Ecto,10801.9
636.763,2,100,H,Endo,1085.91
636.763,2,1000,H,Endo,5687.26
636.763,2,10,O,Ecto,7536.54
636.763,2,100,O,Ecto,5399.51
636.763,2,1000,O,Ecto,40.8851
636.763,2,100,O,Endo,276703
636.763,2,1000,O,Endo,818.395
636.763,2,100,C,Ecto,656605
636.763,2,1000,C,Ecto,43657
551.877,2,10,H,Ecto,1.23673e+07
551.877,2,100,H,Ecto,207929
551.877,2,100,H,Endo,672.987
551.877,2,1000,H,Endo,1735.24
551.877,2,10,O,Ecto,136511
551.877,2,100,O,Ecto,109505
551.877,2,1000,O,Ecto,464.464
551.877,2,100,O,Endo,1.22887e+06
551.877,2,1000,O,Endo,2323.5
551.877,2,100,C,Ecto,2.53213e+06
551.877,2,1000,C,Ecto,307011
2411.48,2,10,H,Ecto,9.62218e+06
2411.48,2,100,H,Ecto,2.65104e+06
2411.48,2,1000,H,Ecto,440.667
2411.48,2,100,H,Endo,82443.8
2411.48,2,1000,H,Endo,152029
2411.48,2,10,O,Ecto,350140
2411.48,2,100,O,Ecto,1.24329e+06
2411.48,2,1000,O,Ecto,14599.3
2411.48,2,100,O,Endo,7.73341e+06
2411.48,2,1000,O,Endo,375650
2411.48,2,100,C,Ecto,499019
2411.48,2,1000,C,Ecto,124693
26422.3,2,100,H,Ecto,1.78985e+06
26422.3,2,1000,H,Ecto,2.24446e+09
26422.3,2,10000,H,Ecto,8.88357e+08
26422.3,2,100,H,Endo,15263.7
26422.3,2,1000,H,Endo,4.79389e+09
26422.3,2,10000,H,Endo,5.31132e+06
26422.3,2,100000,H,Endo,252286
26422.3,2,100,O,Ecto,1.23357e+06
26422.3,2,1000,O,Ecto,7.9204e+07
26422.3,2,10000,O,Ecto,3.00549e+08
26422.3,2,100,O,Endo,179176
26422.3,2,1000,O,Endo,1.0425e+10
26422.3,2,100,C,Ecto,15937.1
26422.3,2,1000,C,Ecto,4.23171e+09
26422.3,2,10000,C,Ecto,6.06246e+09
8982.93,2,10,H,Ecto,939656
8982.93,2,100,H,Ecto,2.20854e+08
8982.93,2,1000,H,Ecto,3.36917e+06
8982.93,2,100,H,Endo,1.31941e+08
8982.93,2,1000,H,Endo,1.56507e+08
8982.93,2,10,O,Ecto,1.26244e+06
8982.93,2,100,O,Ecto,7.01049e+07
8982.93,2,1000,O,Ecto,9.07564e+06
8982.93,2,10000,O,Ecto,89775.3
8982.93,2,100,O,Endo,1.74655e+08
8982.93,2,1000,O,Endo,9.55135e+07
8982.93,2,100,C,Ecto,4.05348e+07
8982.93,2,1000,C,Ecto,3.59658e+06
8982.93,2,10000,C,Ecto,1.31298e+06
492.993,2,10,H,Ecto,114850
492.993,2,100,H,Ecto,3718.16
492.993,2,100,H,Endo,121.725
492.993,2,1000,H,Endo,1373.56
492.993,2,10,O,Ecto,1657.99
492.993,2,100,O,Ecto,2029.52
492.993,2,1000,O,Ecto,136.229
492.993,2,100,O,Endo,63562.1
492.993,2,1000,O,Endo,577.192
492.993,2,100,C,Ecto,160238
492.993,2,1000,C,Ecto,6863
4944.33,2,10,H,Ecto,8.35501e+06
4944.33,2,100,H,Ecto,2.13245e+06
4944.33,2,1000,H,Ecto,44.7617
4944.33,2,100,H,Endo,51116.1
4944.33,2,1000,H,Endo,98007.3
4944.33,2,10,O,Ecto,325193
4944.33,2,100,O,Ecto,991929
4944.33,2,1000,O,Ecto,10977.1
4944.33,2,100,O,Endo,6.00353e+06
4944.33,2,1000,O,Endo,205243
4944.33,2,100,C,Ecto,1.14917e+06
4944.33,2,1000,C,Ecto,139998
8962.88,2,10,H,Ecto,808999
8962.88,2,100,H,Ecto,8.75079e+06
8962.88,2,1000,H,Ecto,12285.2
8962.88,2,100,H,Endo,1.8796e+06
8962.88,2,1000,H,Endo,2.97975e+06
8962.88,2,10,O,Ecto,291562
8962.88,2,100,O,Ecto,3.56898e+06
8962.88,2,1000,O,Ecto,73374.2
8962.88,2,100,O,Endo,1.93351e+07
8962.88,2,1000,O,Endo,2.1075e+06
8962.88,2,100,C,Ecto,941496
8962.88,2,1000,C,Ecto,40478.2
8962.88,2,10000,C,Ecto,1464.05
2375.3,2,10,H,Ecto,9.30025e+06
2375.3,2,100,H,Ecto,853.167
2375.3,2,10,O,Ecto,484586
2375.3,2,100,O,Ecto,525.66
2375.3,2,100,O,Endo,15680.9
2375.3,2,100,C,Ecto,1.20734e+07
2375.3,2,1000,C,Ecto,243272
8727.34,2,10,H,Ecto,2.64577e+06
8727.34,2,100,H,Ecto,1.24915e+07
8727.34,2,1000,H,Ecto,2644.04
8727.34,2,100,H,Endo,1.56722e+06
8727.34,2,1000,H,Endo,1.22532e+07
8727.34,2,10,O,Ecto,371161
8727.34,2,100,O,Ecto,3.53355e+06
8727.34,2,1000,O,Ecto,24374
8727.34,2,100,O,Endo,1.53834e+07
8727.34,2,1000,O,Endo,2.57308e+06
8727.34,2,100,C,Ecto,911812
8727.34,2,1000,C,Ecto,166242
678.545,2,10,H,Ecto,111113
678.545,2,1,O,Ecto,259111
678.545,2,10,O,Ecto,3.25243e+06
678.545,2,100,C,Ecto,190704
678.545,2,1000,C,Ecto,252.249
4802.36,2,10,H,Ecto,1.62535e+07
4802.36,2,100,H,Ecto,18678.1
4802.36,2,10,O,Ecto,186224
4802.36,2,100,O,Ecto,10580.5
4802.36,2,1000,O,Ecto,11.6975
4802.36,2,100,O,Endo,296886
4802.36,2,1000,O,Endo,503.481
4802.36,2,100,C,Ecto,1.87275e+07
4802.36,2,1000,C,Ecto,556681
262.009,4,1,O,Ecto,39566.4
262.009,4,10,O,Ecto,35749.9
1196.02,4,10,H,Ecto,59039.6
1196.02,4,1,O,Ecto,813406
1196.02,4,10,O,Ecto,5.04826e+06
1196.02,4,100,C,Ecto,137916
1468.76,4,10,H,Ecto,2.10943e+08
1468.76,4,100,H,Ecto,1.2665e+07
1468.76,4,100,H,Endo,113664
1468.76,4,1000,H,Endo,251569
1468.76,4,10,O,Ecto,3.81737e+06
1468.76,4,100,O,Ecto,6.3467e+06
1468.76,4,1000,O,Ecto,42490.4
1468.76,4,100,O,Endo,5.50236e+07
1468.76,4,1000,O,Endo,564076
1468.76,4,100,C,Ecto,2.01646e+07
1468.76,4,1000,C,Ecto,3.91234e+06
695.943,5,10,H,Ecto,1.76544e+06
695.943,5,100,H,Ecto,1.56851e+06
695.943,5,100,H,Endo,83488.6
695.943,5,1000,H,Endo,862640
695.943,5,10,O,Ecto,75830.9
695.943,5,100,O,Ecto,456422
695.943,5,1000,O,Ecto,1258.08
695.943,5,100,O,Endo,3.83517e+06
695.943,5,1000,O,Endo,57442.5
695.943,5,100,C,Ecto,923806
695.943,5,1000,C,Ecto,109753
976.62,5,10,H,Ecto,2.73779e+06
976.62,5,100,H,Ecto,3.58552e+06
976.62,5,1000,H,Ecto,301.947
976.62,5,100,H,Endo,1.56482e+06
976.62,5,1000,H,Endo,5.72027e+06
976.62,5,10,O,Ecto,216387
976.62,5,100,O,Ecto,1.60111e+06
976.62,5,1000,O,Ecto,6494.25
976.62,5,100,O,Endo,9.80105e+06
976.62,5,1000,O,Endo,346330
976.62,5,100,C,Ecto,1.09609e+06
976.62,5,1000,C,Ecto,174976
90.4862,5,10,H,Ecto,18347.3
90.4862,5,1,O,Ecto,3222.12
90.4862,5,10,O,Ecto,117882
90.4862,5,100,C,Ecto,35635.1
90.4862,5,1000,C,Ecto,84.0792
10.5111,5,1,O,Ecto,943.817
10.5111,5,10,O,Ecto,146.603
3.42109,5,1,O,Ecto,0.00271139
43.8894,5,1,O,Ecto,29.4654
15238.4,7,100,H,Ecto,240751
15238.4,7,1000,H,Ecto,1.73736e+07
15238.4,7,10000,H,Ecto,4.30287e+06
15238.4,7,100,H,Endo,97003.2
15238.4,7,1000,H,Endo,1.6796e+08
15238.4,7,10000,H,Endo,2746.6
15238.4,7,100000,H,Endo,753.077
15238.4,7,100,O,Ecto,447897
15238.4,7,1000,O,Ecto,3.63643e+06
15238.4,7,10000,O,Ecto,2.34864e+06
15238.4,7,100,O,Endo,71614.6
15238.4,7,1000,O,Endo,3.49238e+07
15238.4,7,100,C,Ecto,5799.98
15238.4,7,1000,C,Ecto,2.12176e+07
15238.4,7,10000,C,Ecto,2.93131e+07
10582.5,7,100,H,Ecto,1.59608e+06
10582.5,7,1000,H,Ecto,1.73677e+07
10582.5,7,10000,H,Ecto,559021
10582.5,7,100,H,Endo,1.32478e+06
10582.5,7,1000,H,Endo,2.94675e+08
10582.5,7,100,O,Ecto,2.67442e+06
10582.5,7,1000,O,Ecto,1.44756e+07
10582.5,7,10000,O,Ecto,3.25089e+06
10582.5,7,100,O,Endo,674668
10582.5,7,1000,O,Endo,2.97144e+07
10582.5,7,100,C,Ecto,48554.9
10582.5,7,1000,C,Ecto,2.4116e+07
10582.5,7,10000,C,Ecto,3.51444e+07
42193.6,7,100,H,Ecto,1600.94
42193.6,7,1000,H,Ecto,1.86621e+07
42193.6,7,10000,H,Ecto,4.21265e+06
42193.6,7,1000,H,Endo,3.00288e+07
42193.6,7,10000,H,Endo,5.61944e+06
42193.6,7,100000,H,Endo,1.70585e+06
42193.6,7,100,O,Ecto,604.353
42193.6,7,1000,O,Ecto,2.50435e+06
42193.6,7,10000,O,Ecto,1.85132e+06
42193.6,7,1000,O,Endo,2.53905e+08
42193.6,7,10000,O,Endo,105836
42193.6,7,100,C,Ecto,32.6114
42193.6,7,1000,C,Ecto,1.16433e+09
42193.6,7,10000,C,Ecto,1.65156e+09
938.953,7,10,H,Ecto,1.17642e+06
938.953,7,100,H,Ecto,126184
938.953,7,100,H,Endo,583.817
938.953,7,1000,H,Endo,2031.34
938.953,7,10,O,Ecto,36808.6
938.953,7,100,O,Ecto,62323.5
938.953,7,1000,O,Ecto,242.24
938.953,7,100,O,Endo,837976
938.953,7,1000,O,Endo,10813.3
938.953,7,100,C,Ecto,628406
938.953,7,1000,C,Ecto,62259.1
10339.5,7,100,H,Ecto,1.15352e+09
10339.5,7,1000,H,Ecto,5.27054e+09
10339.5,7,10000,H,Ecto,1.49027e+08
10339.5,7,100,H,Endo,1.55947e+09
10339.5,7,1000,H,Endo,2.30633e+10
10339.5,7,100,O,Ecto,5.92962e+08
10339.5,7,1000,O,Ecto,1.53411e+09
10339.5,7,10000,O,Ecto,1.18189e+09
10339.5,7,100,O,Endo,4.5661e+08
10339.5,7,1000,O,Endo,8.15431e+09
10339.5,7,100,C,Ecto,1.0704e+08
10339.5,7,1000,C,Ecto,9.43906e+09
10339.5,7,10000,C,Ecto,7.4845e+09
268.42,7,10,H,Ecto,1.72082e+08
268.42,7,100,H,Ecto,369243
268.42,7,100,H,Endo,64608.4
268.42,7,1000,H,Endo,477995
268.42,7,10,O,Ecto,2.6127e+06
268.42,7,100,O,Ecto,715101
268.42,7,1000,O,Ecto,436.92
268.42,7,100,O,Endo,2.3552e+07
268.42,7,1000,O,Endo,7525.88
268.42,7,100,C,Ecto,2.24997e+08
268.42,7,1000,C,Ecto,5.86372e+06
50542.7,7,100,H,Ecto,1.78351e+07
50542.7,7,1000,H,Ecto,1.96779e+09
50542.7,7,10000,H,Ecto,5.16493e+08
50542.7,7,100,H,Endo,2.31439e+06
50542.7,7,1000,H,Endo,1.83284e+10
50542.7,7,10000,H,Endo,600893
