FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,5.54767e+08,3.93542e+07
0,1,10,1.13571e+09,4.9128e+08
0,10,100,3.26826e+06,2.60483e+07
0,100,1000,239816,1.09107e+08
0,1000,10000,74359.5,6.78056e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.62509e+06,2.56865e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.77014e+08,9.22005e+07
2,1,10,1.02876e+09,2.39974e+08
2,10,100,1.20684e+06,2.21248e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,4.78606e+08,4.51551e+06
3,0.1,1,8.97589e+07,1.44393e+07
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,1.57255e+06,5904.53
4,0.1,1,2.62241e+08,1.22641e+07
4,1,10,8.22734e+06,1.10129e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.02065e+08,185281
5,0.01,0.1,1.13545e+07,476460
5,0.1,1,1.59457e+08,2.882e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.62011e+06,157769
6,0.1,1,7.39802e+07,1.52164e+07
6,1,10,5.13172e+07,3.223e+07
6,10,100,2.25179e+06,1.49266e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,2.52156e+08,4.39853e+07
7,1,10,7.85059e+07,6.00012e+07
7,10,100,1.01121e+08,1.65423e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,7.76419e+07,1.1329e+07
8,1,10,4.0187e+07,1.46869e+07
8,10,100,1.25743e+06,6.24925e+06
8,100,1000,0,0
8,1000,10000,0,0
