Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
89428.7,1,10000,H,Ecto,3.04333e+08
89428.7,1,10000,H,Endo,5.78928e+09
89428.7,1,100000,H,Endo,169539
89428.7,1,10000,O,Ecto,9.52105e+07
89428.7,1,10000,O,Endo,3.65941e+08
89428.7,1,10000,C,Ecto,5.18477e+09
81987.1,2,1000,H,Ecto,8435.13
81987.1,2,10000,H,Ecto,253831
81987.1,2,1000,H,Endo,163157
81987.1,2,10000,H,Endo,5.52232e+06
81987.1,2,100000,H,Endo,520634
81987.1,2,1000,O,Ecto,454007
81987.1,2,10000,O,Ecto,24943.5
81987.1,2,1000,O,Endo,1.26985e+06
81987.1,2,10000,O,Endo,91036.4
81987.1,2,1000,C,Ecto,7.25618e+07
81987.1,2,10000,C,Ecto,2.03322e+08
81987.1,2,10000,C,Endo,1295.49
4895.17,2,100,H,Ecto,11855.3
4895.17,2,1000,H,Ecto,148974
4895.17,2,10000,H,Ecto,526.459
4895.17,2,100,H,Endo,2119.26
4895.17,2,1000,H,Endo,203564
4895.17,2,10000,H,Endo,110099
4895.17,2,100,O,Ecto,10814.5
4895.17,2,1000,O,Ecto,3842.92
4895.17,2,10000,O,Ecto,193.974
4895.17,2,100,O,Endo,16746
4895.17,2,1000,O,Endo,5.19694e+06
4895.17,2,10000,O,Endo,21321
4895.17,2,100,C,Ecto,3311.41
4895.17,2,1000,C,Ecto,5.32611e+06
4895.17,2,10000,C,Ecto,3.53069e+06
26501.5,2,100,H,Ecto,6878.72
26501.5,2,1000,H,Ecto,721538
26501.5,2,10000,H,Ecto,39363.7
26501.5,2,100,H,Endo,192.021
26501.5,2,1000,H,Endo,763847
26501.5,2,10000,H,Endo,885981
26501.5,2,100000,H,Endo,1.5517e+06
26501.5,2,100,O,Ecto,2175.44
26501.5,2,1000,O,Ecto,246854
26501.5,2,10000,O,Ecto,58870.1
26501.5,2,100,O,Endo,5341.76
26501.5,2,1000,O,Endo,8.51527e+06
26501.5,2,10000,O,Endo,2.15196e+06
26501.5,2,100,C,Ecto,752.291
26501.5,2,1000,C,Ecto,1.24962e+07
26501.5,2,10000,C,Ecto,2.17822e+08
8872.96,2,100,H,Ecto,271934
8872.96,2,1000,H,Ecto,1.02493e+06
8872.96,2,10000,H,Ecto,4552.91
8872.96,2,100,H,Endo,78033.5
8872.96,2,1000,H,Endo,1.0682e+07
8872.96,2,10000,H,Endo,2.43342e+06
8872.96,2,100000,H,Endo,11136.4
8872.96,2,100,O,Ecto,257128
8872.96,2,1000,O,Ecto,245115
8872.96,2,10000,O,Ecto,29941.2
8872.96,2,100,O,Endo,8.5936e+06
8872.96,2,1000,O,Endo,1.79978e+08
8872.96,2,10000,O,Endo,5.84986e+06
8872.96,2,100,C,Ecto,56144.5
8872.96,2,1000,C,Ecto,2.57913e+08
8872.96,2,10000,C,Ecto,1.32092e+08
2772.35,2,10,H,Ecto,10963.8
2772.35,2,100,H,Ecto,88871.3
2772.35,2,1000,H,Ecto,5.33769e+06
2772.35,2,100,H,Endo,1909.57
2772.35,2,1000,H,Endo,33852.3
2772.35,2,10000,H,Endo,1.2529e+06
2772.35,2,10,O,Ecto,211089
2772.35,2,100,O,Ecto,413599
2772.35,2,1000,O,Ecto,25039.4
2772.35,2,100,O,Endo,575711
2772.35,2,1000,O,Endo,2.38174e+07
2772.35,2,100,C,Ecto,1.27905e+06
2772.35,2,1000,C,Ecto,1.46452e+07
