GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.36501e+10,0,0,0
0,0,406028,1.1641e+10,0,0,0
0,0,1.45505e+06,1.17788e+10,0,0,0
0,0,2189.77,6.26387e+07,0,0,0
0,0,1209.73,4.2529e+11,0,0,0
0,0,10838.5,4.06689e+09,0,0,0
0,0,27946.2,8.08879e+09,0,0,0
0,0,27581.5,7.96744e+08,0,0,0
0,0,4266.56,6.9002e+10,0,0,0
0,0,1104.69,3.08754e+08,0,0,0
0,0,2377.35,5.59764e+09,0,0,0
0,0,4856.41,5.55729e+10,0,0,0
0,0,2220.22,5.88468e+06,0,0,0
0,0,455.269,1.35592e+09,0,0,0
0,0,10699.3,0,0,0,0
0,0,469.92,0,0,0,0
0,1,94353.6,0,6.9278e+08,4.39754e+09,7.2839e+07
0,2,81987.1,1.16073e+09,1.75132e+07,1.10845e+07,483638
0,2,4895.17,8.32569e+08,1.44101e+09,8.34949e+08,1.3462e+08
0,2,2644.5,4.05403e+08,3.5456e+07,5.22151e+07,8.47717e+06
0,2,587.735,8.22566e+09,4.8968e+06,2.58348e+06,2.29328e+06
0,2,4583.41,1.86609e+11,1.90468e+10,5.55104e+09,1.13931e+09
0,2,26501.5,2.98108e+09,1.72414e+10,3.36077e+09,1.37949e+09
0,2,8492.78,2.96892e+10,5.47055e+09,9.4548e+09,1.03324e+09
0,2,2463.51,4.07139e+10,1.94307e+07,6.02793e+06,1.96408e+07
0,2,579.925,7.04083e+09,1.15083e+09,9.59007e+07,1.30713e+07
0,2,907.867,1.61085e+09,1.26739e+07,3.75552e+06,2.31859e+06
0,2,2529.11,2.62406e+09,3.96839e+07,3.13169e+06,1.52714e+06
0,2,4895.17,2.8189e+10,1.09898e+09,3.85567e+08,7.01146e+07
0,2,563.134,4.03523e+07,6460.57,687.906,1442.62
0,2,8428.68,2.84122e+08,108039,35591.6,173712
0,2,587.735,7.05288e+08,27867.7,474.874,504.057
0,2,5425.61,0,0,0,0
0,2,2644.5,0,0,0,0
0,3,267.168,9.83105e+08,0,0,0
0,3,154.251,8.01641e+06,0,0,0
0,3,9.38402,8.00778e+07,0,0,0
0,3,17.2051,290415,0,0,0
0,3,406.753,1.47534e+08,0,0,0
0,3,73.9049,0,0,0,0
0,3,31.0938,0,0,0,0
0,3,9.90181,0,0,0,0
0,4,1533.38,0,6.73837e+08,2.33275e+09,2.01798e+09
0,4,36.1935,0,0,95.4642,0
0,4,628.512,0,943.654,567.535,7.39702e-05
0,4,234.285,0,70304.8,551.188,90.8609
0,5,691.871,6.1895e+08,2.84947e+06,960197,721733
0,5,25.5844,1.41348e+08,29.6707,12.8286,2.13069e-06
0,5,3.04204,3.38177e+06,0,2288.83,0
0,5,2.44835,1.69156e+08,0,0,0
0,5,1663.9,0,0,0,0
0,6,866.046,3.64709e+08,0,0,0
0,6,8001.09,8.36354e+06,0,0,0
0,6,59564.8,9.03414e+08,0,0,0
0,6,11991.1,9.78978e+07,0,0,0
0,6,1477.66,2.02645e+08,0,0,0
0,6,70.4784,3.69571e+06,0,0,0
0,6,439.729,4.60147e+07,0,0,0
0,6,2459.61,6.7667e+09,0,0,0
0,6,8234.28,1.18224e+08,0,0,0
0,6,2478.17,1.43598e+06,0,0,0
0,6,12021.6,9.52167e+08,0,0,0
0,6,3087.88,5.92391e+08,0,0,0
0,6,866.046,2.41184e+08,0,0,0
0,6,2195.6,9.35506e+06,0,0,0
0,6,492.055,1.38223e+09,0,0,0
0,6,1497.56,3.96519e+08,0,0,0
0,6,7930.22,1.90415e+07,0,0,0
0,6,69.265,0,0,0,0
0,6,12791,0,0,0,0
0,6,446.395,0,0,0,0
0,7,15238.4,0,7.79563e+08,1.74702e+08,3.95304e+07
0,7,7498.23,0,8.68636e+07,3.52264e+07,5.36749e+06
0,7,10582.5,0,4.16802e+08,1.29097e+08,2.6886e+07
0,7,842.489,0,4.18955e+08,4.02034e+08,2.99171e+08
0,7,245.886,0,1.53681e+07,5.68785e+06,2.11501e+07
0,7,361.813,0,3.08481e+08,1.13831e+08,1.0488e+07
0,7,1779.77,0,6.31588e+07,3.31105e+08,4.30871e+07
0,7,830.116,0,5.85614e+09,2.86588e+09,5.89933e+08
0,7,10221.1,0,3.81138e+09,1.55322e+10,3.46508e+09
0,7,7896.12,0,7.74058e+09,1.57647e+10,5.21271e+09
0,7,258.656,0,58084.7,677.376,63.1471
0,7,1812.48,0,6.98114e+07,2.44145e+07,1.08263e+08
0,7,10770.7,0,1.35607e+07,4.14571e+06,1.82144e+07
0,7,1806.16,0,6.09288e+06,1.24003e+06,5.46539e+06
0,7,355.025,0,0,0,0
0,7,839.156,0,0,0,0
0,8,3645,2.12403e+07,6.73824e+06,8.59889e+06,997479
0,8,21648.8,1.55307e+08,3.48955e+08,4.59149e+07,3.13404e+07
0,8,33305.8,1.99964e+08,2.03744e+08,1.39479e+07,8.35253e+06
0,8,6847.92,4.99656e+07,9.86283e+07,6.19102e+07,8.6967e+06
0,8,758.265,9.74893e+08,773855,1.43985e+06,358163
0,8,6812.39,6.63301e+08,1.40075e+07,5.54269e+07,2.11781e+07
