FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.68579e+06,2.89264e+06
0,1,10,7.84768e+07,2.88388e+08
0,10,100,2.96521e+07,1.54577e+08
0,100,1000,114228,8.87871e+07
0,1000,10000,55084.1,8.03752e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,743359,4.65256e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,3.23712e+06,959531
2,1,10,5.27972e+07,1.16238e+08
2,10,100,1.10245e+06,5.17849e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,2.95425e+06,166055
3,0.01,0.1,7.49799e+06,622627
3,0.1,1,1.09949e+07,5.1245e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,0,0
4,0.1,1,4.6493e+06,573156
4,1,10,1.19897e+07,1.14636e+06
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,6.51586e+08,5.86326e+06
5,0.01,0.1,1.58013e+06,70811.1
5,0.1,1,3.84679e+06,3.00134e+06
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.52e+06,342459
6,0.1,1,5.47236e+06,5.16911e+06
6,1,10,1.59715e+07,4.29956e+07
6,10,100,2.13791e+06,2.2302e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,8.94168e+06,1.45192e+06
7,1,10,3.43749e+07,2.01056e+08
7,10,100,5.01664e+07,5.32699e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,0,0
8,1,10,2.30985e+07,4.76984e+07
8,10,100,1.38922e+06,7.29676e+06
8,100,1000,0,0
8,1000,10000,0,0
