Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377678,170863,268264,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62648e+08,1.10065e+09,9.08917e+07,616564,129898,510544,2.55404e+07,3.74855e+07,3.81565e+07
6, 1,1.38341e+08,7.0407e+08,6.89111e+07,782832,55681.2,868816,2.96825e+07,4.87574e+07,4.19723e+07
7, 1,8.75674e+07,5.35883e+08,4.98029e+07,1.36209e+06,42635.6,2.79071e+06,3.40459e+07,4.73346e+07,4.62358e+07
8, 1,7.67034e+07,3.92509e+08,2.76424e+07,2.00455e+06,67359.3,6.61673e+06,3.21526e+07,3.69126e+07,4.64038e+07
9, 1,7.43915e+07,1.61538e+08,2.67151e+07,2.58684e+06,99525.2,1.18665e+07,2.66538e+07,2.74085e+07,4.04664e+07
10, 1,7.61254e+07,1.04145e+08,2.83523e+07,2.99235e+06,101432,1.65155e+07,2.80375e+07,2.46254e+07,4.21623e+07
11, 1,8.08181e+07,8.12736e+07,3.17817e+07,3.32356e+06,91947.6,2.03012e+07,3.05673e+07,2.27206e+07,4.55598e+07
12, 1,8.84408e+07,5.12582e+07,2.83271e+07,8.86737e+06,161840,6.45416e+07,2.90115e+07,1.64861e+07,3.49251e+07
13, 2,1.07096e+08,4.62775e+07,2.64318e+07,1.9731e+07,343528,1.64105e+08,2.55418e+07,1.31246e+07,2.53562e+07
14, 2,1.34368e+08,4.01981e+07,2.70243e+07,3.53632e+07,763365,2.58555e+08,2.14101e+07,1.30411e+07,1.84554e+07
15, 2,1.50306e+08,4.19434e+07,2.92266e+07,5.06582e+07,1.48938e+06,6.60916e+08,2.24385e+07,1.39359e+07,1.75315e+07
16, 2,1.71842e+08,4.28844e+07,3.20515e+07,1.19347e+08,4.40154e+06,1.29341e+09,2.41996e+07,1.33173e+07,1.63271e+07
17, 2,2.26521e+08,1.61191e+07,4.03715e+07,2.84543e+08,1.26422e+07,1.9008e+09,2.56032e+07,1.45377e+07,1.57833e+07
18, 2,3.26807e+08,7.00563e+06,6.14261e+07,5.89775e+08,4.15474e+07,2.04544e+09,2.96301e+07,2.15088e+07,1.74648e+07
19, 2,4.58934e+08,8.14186e+06,1.30599e+08,1.10836e+09,1.2128e+08,2.00941e+09,3.48561e+07,3.58079e+07,2.13501e+07
20, 2,5.92357e+08,1.07603e+07,3.08319e+08,8.58498e+08,2.13661e+08,1.69789e+09,3.91569e+07,5.31569e+07,2.6586e+07
21, 2,6.96787e+08,1.48506e+07,4.64327e+08,6.56494e+08,2.87374e+08,1.20766e+09,4.3272e+07,7.78903e+07,3.2488e+07
22, 2,7.57423e+08,1.80372e+07,6.49995e+08,3.85655e+08,2.91184e+08,5.87755e+08,4.76531e+07,1.08795e+08,3.98402e+07
23, 2,9.23345e+08,1.76542e+07,7.56297e+08,3.24265e+08,1.92992e+08,4.73767e+08,5.35936e+07,1.53867e+08,4.2963e+07
24, 2,9.44802e+08,1.96005e+07,5.47911e+08,3.1656e+07,8.7738e+07,4.35387e+07,5.59106e+07,2.43788e+08,6.32941e+07
25, 3,7.14147e+08,2.36861e+07,5.504e+08,1.04587e+07,4.0506e+07,3.58759e+07,6.39722e+07,1.93105e+08,5.56601e+07
26, 3,5.91845e+08,2.26476e+07,5.09138e+08,8.71046e+06,1.41129e+07,2.50582e+07,7.13303e+07,2.08117e+08,4.83142e+07
27, 3,5.40275e+08,3.08013e+07,4.66619e+08,1.15235e+07,1.54992e+07,2.53587e+07,7.61369e+07,2.21578e+08,3.79835e+07
28, 3,6.20804e+08,2.85458e+07,4.30223e+08,1.406e+07,2.03025e+07,2.27225e+07,7.11295e+07,2.30726e+08,4.10879e+07
29, 3,6.73512e+08,2.76148e+07,3.61761e+08,1.74846e+07,2.09194e+07,2.14807e+07,7.73296e+07,2.70439e+08,4.23196e+07
30, 3,7.43154e+08,2.36365e+07,3.39565e+08,2.03551e+07,3.90462e+06,2.05413e+07,8.91477e+07,3.43864e+08,4.5371e+07
31, 3,7.62881e+08,3.29969e+07,3.04678e+08,1.84152e+07,2.87292e+06,2.1144e+07,9.99469e+07,4.48107e+08,5.10461e+07
32, 3,7.34929e+08,4.43193e+07,2.66036e+08,1.50545e+07,2.32494e+06,1.64545e+07,9.82543e+07,5.57212e+08,5.42046e+07
33, 3,6.7e+08,4.76153e+07,2.1836e+08,9.96496e+06,1.9687e+06,1.34761e+07,8.51301e+07,6.56556e+08,5.56188e+07
34, 3,6.1502e+08,4.65256e+07,1.68982e+08,5.91319e+06,1.71951e+06,8.93541e+06,7.08092e+07,7.35207e+08,5.49952e+07
35, 3,5.99119e+08,5.40621e+07,1.21753e+08,5.08574e+06,1.55726e+06,7.73043e+06,6.09692e+07,7.69474e+08,5.30947e+07
