FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,1.24851e+09,9.92502e+07
0,1,10,1.50841e+08,1.22063e+08
0,10,100,4.26418e+07,1.03709e+08
0,100,1000,2.28768e+06,9.80064e+07
0,1000,10000,70003.2,7.32551e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,698069,2.47565e+07
1,100,1000,12.5345,494.888
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,8.24859e+07,6.24883e+06
2,1,10,6.43289e+08,4.18424e+08
2,10,100,2.01103e+06,3.92616e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,31.964,0.205254
3,0.01,0.1,2.38041e+06,79043.6
3,0.1,1,2.36641e+07,4.22731e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,90.0856,0.352753
4,0.1,1,1.49392e+08,6.09921e+06
4,1,10,2.0862e+08,2.02611e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.05809e+08,154662
5,0.01,0.1,1.61195e+06,80104.9
5,0.1,1,3.40308e+07,1.18179e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,4.26219e+07,299864
6,0.1,1,5.22285e+07,1.61062e+07
6,1,10,4.93068e+07,3.02577e+07
6,10,100,5.88182e+06,1.95087e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.14578e+09,7.06747e+07
7,1,10,1.11733e+08,1.11738e+08
7,10,100,6.3001e+07,1.46203e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.36947e+07,3.28245e+06
8,1,10,3.85781e+07,3.07347e+07
8,10,100,260418,8.43473e+06
8,100,1000,0,0
8,1000,10000,0,0
