Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377888,170861,268736,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62832e+08,1.1004e+09,9.10202e+07,616069,130637,512747,2.57502e+07,3.74955e+07,3.84355e+07
6, 1,1.38572e+08,7.04095e+08,6.90329e+07,784623,56100.2,874399,2.99188e+07,4.87643e+07,4.22713e+07
7, 1,8.78001e+07,5.35978e+08,4.99427e+07,1.38629e+06,40777.5,2.83515e+06,3.43063e+07,4.72366e+07,4.65567e+07
8, 1,7.6791e+07,3.91749e+08,2.77734e+07,2.0379e+06,64593.4,6.76619e+06,3.23727e+07,3.70535e+07,4.67159e+07
9, 1,7.44446e+07,1.61682e+08,2.68546e+07,2.61369e+06,94647.7,1.21934e+07,2.68024e+07,2.76485e+07,4.07237e+07
10, 1,7.61337e+07,1.04142e+08,2.84715e+07,2.97345e+06,96687.7,1.69288e+07,2.81588e+07,2.48267e+07,4.24064e+07
11, 1,8.08195e+07,8.13268e+07,3.19186e+07,3.29206e+06,87177.1,2.08345e+07,3.06989e+07,2.29017e+07,4.58236e+07
12, 1,8.846e+07,5.0802e+07,2.84639e+07,8.70906e+06,145846,6.72753e+07,2.9165e+07,1.64773e+07,3.51929e+07
13, 2,1.06232e+08,4.95703e+07,2.7963e+07,1.91648e+07,302616,1.68511e+08,2.43449e+07,1.37973e+07,2.20832e+07
14, 2,1.31669e+08,4.41765e+07,2.81511e+07,2.97355e+07,578404,2.53851e+08,2.03171e+07,1.26343e+07,1.67259e+07
15, 2,1.52743e+08,3.56937e+07,2.95733e+07,6.90833e+07,1.1639e+06,6.97719e+08,2.13235e+07,1.37629e+07,1.55489e+07
16, 2,1.84172e+08,1.73156e+07,3.06519e+07,1.42417e+08,3.62993e+06,1.35056e+09,2.26908e+07,1.58449e+07,1.52406e+07
17, 2,2.30901e+08,1.40378e+07,3.79018e+07,2.35752e+08,1.0902e+07,1.68033e+09,2.53347e+07,2.00424e+07,1.64002e+07
18, 2,3.10884e+08,2.00942e+07,4.16287e+07,6.73197e+08,4.04571e+07,1.84664e+09,2.96412e+07,2.74918e+07,1.92299e+07
19, 2,4.37873e+08,1.81066e+07,6.80807e+07,1.45921e+09,1.91922e+08,1.72886e+09,3.45368e+07,4.03742e+07,2.33625e+07
20, 2,5.68525e+08,1.98958e+07,9.42662e+07,1.73242e+09,3.3838e+08,1.29575e+09,3.8832e+07,5.34186e+07,2.79211e+07
21, 2,6.50286e+08,2.57433e+07,1.26609e+08,1.48665e+09,4.2181e+08,1.42814e+09,4.27349e+07,7.05008e+07,3.55339e+07
22, 2,6.87736e+08,2.61395e+07,1.65912e+08,1.2235e+09,4.99161e+08,1.15551e+09,4.63574e+07,8.63692e+07,4.50974e+07
23, 2,7.78573e+08,2.42263e+07,2.12646e+08,9.52904e+08,5.35927e+08,1.11837e+09,5.07392e+07,1.14717e+08,5.89262e+07
24, 2,7.96836e+08,2.00078e+07,6.18785e+08,1.4038e+08,3.5476e+08,3.71424e+08,4.68011e+07,2.43508e+08,1.06765e+08
25, 3,7.54945e+08,1.68735e+07,5.22918e+08,3.45605e+07,3.36681e+07,6.27563e+07,5.36112e+07,4.15822e+08,6.37405e+07
26, 3,6.88417e+08,7.68971e+06,6.89128e+08,1.37517e+07,1.48202e+07,1.24801e+07,5.72283e+07,2.05161e+08,3.53918e+07
27, 3,6.40122e+08,1.42001e+07,5.81514e+08,2.39623e+06,1.99388e+07,8.52189e+06,6.11696e+07,2.28688e+08,3.85078e+07
28, 3,5.55571e+08,2.04969e+07,5.33268e+08,3.35827e+06,2.59062e+07,1.05541e+07,6.05527e+07,2.89437e+08,3.92348e+07
29, 3,4.96283e+08,2.4757e+07,4.63935e+08,4.30635e+06,2.63603e+07,1.20527e+07,6.61724e+07,3.28615e+08,4.24519e+07
30, 3,5.17141e+08,2.44474e+07,4.20898e+08,5.64876e+06,1.07251e+07,1.60808e+07,7.98582e+07,3.84047e+08,4.90987e+07
31, 3,5.56658e+08,2.58459e+07,2.9887e+08,5.84448e+06,7.41448e+06,1.83165e+07,9.19576e+07,4.71844e+08,5.72252e+07
32, 3,5.94024e+08,3.71456e+07,2.19023e+08,6.21612e+06,4.14403e+06,1.71436e+07,9.69228e+07,5.23663e+08,6.05229e+07
33, 3,6.25207e+08,4.6442e+07,1.75642e+08,4.76718e+06,2.1958e+06,1.11113e+07,8.94883e+07,5.56726e+08,5.9131e+07
34, 3,6.68793e+08,4.6301e+07,1.36902e+08,2.9193e+06,1.32621e+06,4.04782e+06,6.72684e+07,5.79338e+08,5.81187e+07
35, 3,6.96237e+08,5.07883e+07,1.17838e+08,2.00646e+06,874708,1.8593e+06,6.06354e+07,5.61108e+08,5.73926e+07
