Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	805	161	1	0	2500	0	2500
0	1	0	836	159	0.987578	0	2500	0	2500
0	2	0	801	156	0.968944	0	2500	0	2500
0	3	0	768	153	0.950311	0	2500	0	2500
0	4	0	831	155	0.962733	0	2500	0	2500
0	5	0	859	150	0.931677	0	2500	0	2500
0	6	0	805	151	0.937888	0	2500	0	2500
0	7	0	768	148	0.919255	0	2500	0	2500
0	8	0	724	142	0.881988	0	2500	0	2500
0	9	0	736	141	0.875776	0	2500	0	2500
0	10	0	690	130	0.807453	0	2500	0	2500
0	11	0	661	127	0.78882	0	2500	0	2500
