Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	1560	312	1	0	2500	0	2500
0	1	0	1689	312	1	0	2500	0	2500
0	2	0	1696	309	0.990385	0	2500	0	2500
0	3	0	1665	306	0.980769	0	2500	0	2500
0	4	0	1681	302	0.967949	0	2500	0	2500
0	5	0	1626	302	0.967949	0	2500	0	2500
0	6	0	1605	299	0.958333	0	2500	0	2500
0	7	0	1621	292	0.935897	0	2500	0	2500
0	8	0	1588	294	0.942308	0	2500	0	2500
0	9	0	1569	295	0.945513	0	2500	0	2500
0	10	0	1592	298	0.955128	0	2500	0	2500
0	11	0	1636	295	0.945513	0	2500	0	2500
