GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.47209e+10,0,0,0
0,0,25792.9,5.7761e+09,0,0,0
0,0,60014.4,2.85611e+10,0,0,0
0,0,16325,2.08046e+10,0,0,0
0,0,64826.3,2.3104e+10,0,0,0
0,0,162643,3.74336e+09,0,0,0
0,0,60.0878,1.06586e+07,0,0,0
0,0,234.925,2.88055e+08,0,0,0
0,0,170.512,7.76815e+06,0,0,0
0,0,3.89255e+06,4.50892e+09,0,0,0
0,0,49978.1,1.21431e+10,0,0,0
0,0,18456.9,1.0696e+11,0,0,0
0,0,1352.97,7.15876e+10,0,0,0
0,0,294358,6.14649e+09,0,0,0
0,0,2659.46,1.18987e+11,0,0,0
0,0,436.667,5.78322e+08,0,0,0
0,0,61.4256,2.65108e+07,0,0,0
0,0,61.9714,0,0,0,0
0,0,170.512,0,0,0,0
0,1,2390.06,0,7.85163e+10,1.7312e+11,1.16149e+11
0,1,133550,0,3.28622e+09,8.65487e+08,1.55007e+11
0,1,6891,0,8.40115e+09,4.27508e+09,1.91532e+09
0,1,7796.08,0,2.44465e+10,1.20976e+10,7.18888e+09
0,1,21263.8,0,4.27877e+10,7.7836e+10,2.54377e+11
0,1,48710.5,0,1.37892e+09,8.45645e+08,1.43369e+11
0,1,7796.08,0,0,0,0
0,1,7429.94,0,0,0,0
0,2,1486.88,6.88558e+10,9.85417e+06,9.20777e+06,5.61954e+06
0,2,1240.63,6.5191e+10,899172,520481,338491
0,2,2798.36,4.45757e+10,93470.4,169323,243947
0,2,519.353,1.37852e+08,0.791045,52.1035,20.6215
0,2,604.973,1.20926e+10,10371.8,17586.1,8598.34
0,2,385.163,9.28489e+07,0.688731,35.2395,8.69555
0,2,5146.41,4.05387e+10,2.03938e+07,9.55231e+07,6.97359e+07
0,2,25539.1,4.15764e+10,1.01989e+09,2.28532e+09,1.43174e+09
0,2,5106.18,3.25079e+08,27.5733,129.896,190.992
0,2,28994,1.40383e+10,6.11095e+09,5.304e+09,2.96259e+09
0,2,19993.1,7.45542e+09,413.8,2953.91,3868.96
0,3,245.069,4.88046e+07,0,0,0
0,3,124.417,286574,0,0,0
0,3,447.202,5.40662e+07,0,0,0
0,3,5.48162,2.74764e+07,0,0,0
0,3,3.06003,2.5579e+08,0,0,0
0,3,30.2274,0,0,0,0
0,3,51.7648,0,0,0,0
0,3,38.1756,0,0,0,0
0,4,349.543,0,652600,8.66921,0.828317
0,4,159.014,0,179.209,389.295,178.912
0,4,65.9433,0,0,0,3.5548e-17
0,4,80.4698,0,260808,575.336,45.7526
0,4,302.448,0,2012.46,1296.38,328.681
0,4,34.5932,0,60597.1,0,0.00866438
0,4,14.0563,0,93055.4,0,0.00504111
0,5,425.109,6.47384e+06,0.254963,3.39377,1.50796
0,5,19.4997,1.53518e+07,42.3364,0.141205,0.0626441
0,5,1796.11,1.65496e+09,876.915,1690.41,1068.8
0,5,228.316,2.19179e+07,2.00858,9.82141,5.78889
0,5,770.848,1.15248e+07,2.80885,3.79143,11.1388
0,5,1071.91,2.77519e+07,0.479956,18.98,0.995432
0,5,62.4554,5.65293e+06,0.114173,3.48193,0.11822
0,5,6.15652,6.14325e+06,4337.26,0.0247276,0.0159886
0,5,60.0347,6.58269e+06,0.231022,0.452786,0.119652
0,5,7.24668,0,0,0,0
0,5,6.42057,0,0,0,0
0,5,1.86743,0,0,0,0
0,6,5656.25,1.41547e+10,0,0,0
0,6,25097.9,1.81485e+10,0,0,0
0,6,86.7848,1.78774e+07,0,0,0
0,6,620.706,125914,0,0,0
0,6,60781.2,2.06724e+09,0,0,0
0,6,376.068,3.23603e+07,0,0,0
0,6,5811.83,1.91004e+09,0,0,0
0,6,27455.4,7.24411e+09,0,0,0
0,6,320.259,2.44626e+07,0,0,0
0,6,89120.2,2.11522e+09,0,0,0
0,6,140.656,148453,0,0,0
0,7,1179.2,0,525589,1.04369e+06,1.13757e+06
0,7,10908.4,0,7.60962e+09,1.82056e+10,1.1522e+10
0,7,3296.03,0,3.61391e+06,7.00046e+06,4.36889e+06
0,7,402.924,0,355.552,14135.4,1442.51
0,7,124.191,0,48291.4,4.90514,0.276701
0,7,152.729,0,18239.3,1430.81,73.7318
0,7,2401.32,0,43.8001,1116.91,874.612
0,7,379.933,0,17.1813,2.06467,0.579795
0,7,28752,0,7.22667e+09,3.53949e+09,1.71593e+09
0,7,980.097,0,11.0689,210.995,31.8402
0,7,97.4052,0,28686.9,0,0.000645244
0,7,311.792,0,13318.2,14.4325,7.70544
0,7,6150.46,0,1.19452e+08,2.66711e+08,6.55446e+08
0,8,8640.56,6.17634e+09,1.20067e+06,1.04243e+06,552257
0,8,1058.25,4.93647e+06,0.0312507,1.69838,0.625768
0,8,601.893,3.88609e+07,4.60726,8.96151,28.009
0,8,344.299,2.52937e+07,0.450264,18.0987,0.966645
0,8,208.158,2.90386e+07,2.47121,12.5071,5.93829
0,8,9726.63,4.08014e+09,7001.2,21271.4,18032.3
0,8,32357.4,2.35662e+09,6555.6,11891,18832
0,8,93.177,9.85161e+06,0.243563,3.56005,0.0684385
0,8,75.559,6.50724e+06,0.61236,0.312404,0.0535144
