replicate   	generation  	adlt.nbr    	adlt.nbfem  	adlt.nbmal  	adlt.density	adlt.dvar   	adlt.q1     	adlt.q1.Va  	adlt.q1.Vb  	adlt.q1.Qst 
1           	1           	1000        	500         	nan         	1           	0           	0.0029      	0.0417608   	0.105041    	0.557061    
1           	10          	1000        	500         	nan         	1           	0           	-0.0234     	0.0443659   	0.0147866   	0.14284     
1           	20          	1000        	500         	nan         	1           	0           	-0.0247     	0.0407259   	0.00203401  	0.0243635   
1           	30          	1000        	500         	nan         	1           	0           	-0.0302     	0.0391846   	0.00024336  	0.00309569  
1           	40          	1000        	500         	nan         	1           	0           	-0.0058     	0.0393238   	2.56e-06    	3.25492e-05 
1           	50          	1000        	500         	nan         	1           	0           	-0.0105     	0.0377875   	1.225e-05   	0.000162064 
1           	60          	1000        	500         	nan         	1           	0           	-0.0346     	0.0399484   	1.444e-05   	0.0001807   
1           	70          	1000        	500         	nan         	1           	0           	-0.0447     	0.0365055   	0.00014641  	0.0020013   
1           	80          	1000        	500         	nan         	1           	0           	-0.041      	0.042995    	0.000144    	0.00167181  
1           	90          	1000        	500         	nan         	1           	0           	-0.0195     	0.0389661   	3.61e-06    	4.63201e-05 
1           	100         	1000        	500         	nan         	1           	0           	-0.0267     	0.0373569   	0.00042025  	0.00559334  
