FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,1.66365e+07,185181
0,0.1,1,8.98988e+07,4.18567e+06
0,1,10,1.26503e+08,3.79559e+08
0,10,100,3.27139e+07,1.82226e+08
0,100,1000,1.16492e+06,3.02635e+07
0,1000,10000,138734,1.72804e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,3.62191e+07,3.01914e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,496440,321238
2,1,10,4.6735e+07,7.03075e+07
2,10,100,3.47178e+07,1.4351e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,1.61697e+10,2.76483e+06
3,0.01,0.1,6.36537e+07,413078
3,0.1,1,228.708,86.8074
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,2.26538e+06,28490.4
4,0.1,1,1.25362e+06,38596.5
4,1,10,0,0
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,8.33157e+08,2.14559e+06
5,0.01,0.1,9.569e+06,162735
5,0.1,1,547834,120650
5,1,10,3.69417e+06,2.84655e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,5.21576e+06,25178.2
6,0.1,1,2.77871e+06,228727
6,1,10,5.20052e+07,1.03221e+08
6,10,100,6.95245e+07,1.54981e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,40.0409,0.094123
7,0.1,1,3.75258e+06,55464.8
7,1,10,3.44139e+07,2.83331e+07
7,10,100,1.9069e+07,1.48384e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,482149,40473.6
8,0.1,1,339936,137083
8,1,10,2.04049e+07,4.45905e+07
8,10,100,6.5886e+07,8.66163e+07
8,100,1000,0,0
8,1000,10000,0,0
