GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,335.905,4266.56,4266.56,2.26688e+07,-2.46243,0,0.5,2,390.415,5,1,6,6,0
0,0,3464.99,406028,18437.9,605029,-2.34468,0,0.5,2,0,4294967295,0,6,6,0
0,0,1630.56,25792.9,11686.9,2.07446e+06,-2.30151,0,0.5,2,0,4294967295,0,6,6,0
0,0,3261.26,64826.3,17850.2,336598,-2.19737,0,0.5,2,0,4294967295,0,6,6,0
0,0,7614.41,162643,31132.5,252374,-2.17287,0,0.5,2,0,4294967295,0,6,6,0
0,0,3.84582,60.0878,60.0878,1.93078e+06,-2.53087,0,0.5,2,0,2,1,6,3,3
0,0,4.99912,170.512,170.512,362977,-2.58894,0,0.5,2,0,3,1,6,4,2
0,0,51025.1,3.89255e+06,124558,138734,-2.89416,0,0.5,2,0,4294967295,0,6,6,0
0,0,328.356,18456.9,4523.65,2.31499e+07,-2.34487,0,0.5,2,0,4294967295,0,6,6,0
0,0,617.181,18975.5,6605.79,7.15299e+06,-2.10968,0,0.5,2,0,4294967295,0,6,6,0
0,0,9751.48,294358,36586.4,307518,-2.07592,0,0.5,2,0,4294967295,0,6,6,0
0,0,32.265,1219.63,1219.63,3.25337e+06,-2.74227,0,0.5,2,487.638,5,1,6,6,0
0,0,138.097,2659.46,2659.46,1.00581e+08,-2.39627,0,0.5,2,9.40387,5,1,6,6,0
0,0,25.3073,436.667,436.667,1.9693e+06,-2.48758,0,0.5,2,0,3,1,6,4,2
0,0,4.99912,170.512,56.0405,1.47246e+06,-2.58894,3,0.5,2,0,4294967295,0,2,2,0
0,0,3.84582,60.0878,15.7079,1.25121e+06,-2.53087,4,0.5,2,0,4294967295,0,1,1,0
0,0,7.65633,247.481,26.8844,1.92128e+07,-2.2328,4,0.5,2,0,4294967295,0,1,1,0
0,0,25.9591,449.847,71.1899,2.48362e+07,-2.48758,4,0.5,2,0,4294967295,0,1,1,0
0,0,4.87818,186.377,18.8927,2.27826e+06,-2.58894,4,0.5,2,0,4294967295,0,1,1,0
0,0,25.3073,436.667,25.3073,3.10716e+07,-2.48758,5,0.5,2,0,4294967295,0,0,0,0
0,0,4.99912,170.512,4.99912,1.81856e+06,-2.58894,5,0.5,2,0,4294967295,0,0,0,0
0,0,3.67982,63.2121,3.67982,1.34545e+07,-2.53087,5,0.5,2,0,4294967295,0,0,0,0
0,0,8.47193,228.605,8.47193,6.87679e+06,-2.2328,5,0.5,2,0,4294967295,0,0,0,0
0,1,382.962,21263.8,21263.8,227164,-0.00892403,0,0.5,3.9493,0,4,1,6,5,1
0,1,900.757,48710.5,48710.5,369864,0.00447293,0,0.5,3.99682,0,4,1,6,5,1
0,1,2192.01,96319,34541.7,7.52781e+06,0.0079097,0,0.5,3.57867,0,4294967295,0,6,6,0
0,1,936.462,44691.9,936.462,1.49677e+07,0.00447293,5,0.5,3,0,4294967295,0,0,0,0
0,1,382.962,21263.8,382.962,1.31265e+07,-0.00892403,5,0.5,3,0,4294967295,0,0,0,0
0,2,132.72,1486.88,1486.88,4.67296e+07,-2.46243,0,0.5,2.00029,17.6083,5,1,6,6,0
0,2,85.4503,3340.41,614.183,5353.72,-2.71651,0,0.5,2.00012,0,4294967295,0,6,6,0
0,2,2815.68,48055,17422.7,773918,-2.30151,0,0.5,2.29472,0,4294967295,0,6,6,0
0,2,9.46833,519.353,275.679,157535,-2.56896,0,0.5,2.0001,0,4294967295,0,6,6,0
0,2,47.062,604.973,604.973,318408,-2.03654,0,0.5,2.00038,249.639,4,1,6,5,1
0,2,15.8249,385.163,277.753,20497.2,-2.18019,0,0.5,2.00038,0,4294967295,0,6,6,0
0,2,532.024,25539.1,6700.88,4.55714e+06,-2.41866,0,0.5,2.05422,0,4294967295,0,6,6,0
0,2,358.532,10195.9,3368.07,1.75092e+07,-2.10968,0,0.5,2.00776,0,4294967295,0,6,6,0
0,2,1326.79,28994,11823.6,2.1135e+06,-2.13563,0,0.5,2.19337,0,4294967295,0,6,6,0
0,2,339.856,19993.1,1590.33,9.76411e+06,-3.69659,0,0.5,2.00037,0,4294967295,0,6,6,0
0,3,22.5747,457.601,382.578,223.573,-2.32502,0,0.128299,2,0,4294967295,0,6,6,0
0,3,8.75923,271.298,247.969,5.13508,-2.58603,0,0.128299,2,0,4294967295,0,6,6,0
0,3,0.67142,14.5355,7.29783,2.74508e+07,-1.956,3,0.128299,2,0,4294967295,0,2,2,0
0,3,4.20012,35.7691,24.0921,1.95622e+06,-2.07427,3,0.128299,2,0,4294967295,0,2,2,0
0,3,1.7276,15.6393,13.341,8.30237e+06,-2.98906,3,0.128299,2,0,4294967295,0,2,2,0
0,3,0.170988,3.06003,0.170988,1.61697e+10,-2.74227,5,0.128299,2,0,4294967295,0,0,0,0
0,3,2.11435,61.2304,2.11435,2.59443e+07,-2.01164,5,0.128299,2,0,4294967295,0,0,0,0
0,4,18.3894,159.014,32.921,330617,-2.30151,0,0.128299,3.4992,0,4294967295,0,6,6,0
0,4,2.11834,59.5515,16.5925,6335.08,-2.06045,0,0.128299,3.49999,0,4294967295,0,6,6,0
0,4,4.22651,34.1292,15.8094,457408,-2.19737,0,0.128299,3.49999,0,4294967295,0,6,6,0
0,4,37.15,709.806,102.504,111003,-2.78442,0,0.128299,3.49931,0,4294967295,0,6,6,0
0,4,8.43209,80.4698,52.9116,254322,-2.07427,0,0.128299,3.49905,0,4294967295,0,6,6,0
0,4,3.27221,79.9641,2.79359,144993,-2.2328,0,0.128299,3.49992,0,4294967295,0,6,6,0
0,4,1.31644,12.6006,6.12652,1.07063e+06,-2.29829,0,0.128299,3.5,0,4294967295,0,6,6,0
0,4,3.55351,30.7896,2.93715,108430,-2.40027,0,0.128299,3.5,0,4294967295,0,6,6,0
0,4,0.61738,14.0563,1.85695,223262,-2.26013,0,0.128299,3.5,0,4294967295,0,6,6,0
0,4,10.7083,159.679,20.1158,811998,-2.62388,0,0.128299,3.5,0,4294967295,0,6,6,0
0,5,43.9594,425.109,328.639,248723,-2.46243,0,0.128299,2.00013,0,4294967295,0,6,6,0
0,5,133.28,1796.11,771.157,3.69008e+06,-2.20265,0,0.128299,2.00002,0,4294967295,0,6,6,0
0,5,23.9312,1503.66,225.669,4091.38,-2.56896,0,0.128299,2.00017,0,4294967295,0,6,6,0
0,5,7.43178,250.27,125.311,133868,-2.06045,0,0.128299,2.00038,0,4294967295,0,6,6,0
0,5,22.7,228.316,228.316,2508.04,-2.19737,0,0.128299,2.00013,53.3042,5,1,6,6,0
0,5,2.27193,60.0252,60.0252,1.32495e+06,-2.39563,0,0.128299,2.00973,12.0505,5,1,6,6,0
0,5,4.57162,128.97,128.97,162735,-2.58603,0,0.128299,2.00247,2.70545,5,1,6,6,0
0,5,0.250673,6.00624,2.56589,7.09972e+08,-2.05085,3,0.128299,2,0,4294967295,0,2,2,0
0,5,0.101377,1.97178,1.46571,8.08124e+07,-2.24328,3,0.128299,2,0,4294967295,0,2,2,0
0,5,0.675394,8.29275,4.85899,4.22743e+07,-2.22617,3,0.128299,2.00001,0,4294967295,0,2,2,0
0,5,3.58947,28.6768,8.15607,8.24406e+06,-2.17287,4,0.128299,2.00002,0,4294967295,0,1,1,0
0,5,0.248996,5.88315,0.248996,98102.6,-2.05085,5,0.128299,2.5,0,4294967295,0,0,0,0
0,6,430.507,5656.25,2006.14,5.10689e+07,-2.46243,0,0.128299,2,0,4294967295,0,6,6,0
0,6,306.429,25097.9,1615.31,5.04625e+07,-2.34468,0,0.128299,2,0,4294967295,0,6,6,0
0,6,1.987,86.7848,86.7848,177250,-2.56896,0,0.128299,2,0,5,1,6,6,0
0,6,54.8537,620.706,599.795,198944,-2.19737,0,0.128299,2,0,4294967295,0,6,6,0
0,6,108.875,5811.83,874.455,816329,-2.58894,0,0.128299,2,0,4294967295,0,6,6,0
0,6,85.1603,2558.37,759.84,103.164,-2.89416,0,0.128299,2,0,4294967295,0,6,6,0
0,6,985.571,27455.4,3511.55,1.67981e+07,-2.26888,0,0.128299,2,0,4294967295,0,6,6,0
0,6,9.82333,320.259,260.77,221204,-2.39563,0,0.128299,2,0,4294967295,0,6,6,0
0,6,2271.11,89120.2,6396.49,2.26394e+06,-2.32502,0,0.128299,2,0,4294967295,0,6,6,0
0,6,11.9185,140.656,140.656,74751.4,-2.07592,0,0.128299,2,0,4,1,6,5,1
0,6,33.8213,1135,467.5,119815,-2.25873,0,0.128299,2,0,4294967295,0,6,6,0
0,6,23.5694,244.554,23.5694,1.28829e+06,-2.26478,5,0.128299,2,0,4294967295,0,0,0,0
0,6,1.94415,85.5196,1.94415,5.03851e+06,-2.56896,5,0.128299,2,0,4294967295,0,0,0,0
0,6,10.8884,143.884,10.8884,995518,-2.07592,5,0.128299,2,0,4294967295,0,0,0,0
0,7,3.59473,153.525,44.1984,24010.6,-2.34468,0,0.128299,3.49993,0,4294967295,0,6,6,0
0,7,93.2451,1179.2,220.758,254411,-2.30426,0,0.128299,3.0027,0,4294967295,0,6,6,0
0,7,7.94095,193.474,12.9169,3.31156e+06,-2.20756,0,0.128299,3.5,0,4294967295,0,6,6,0
0,7,13.1255,108.648,27.3364,412953,-2.30151,0,0.128299,3.49997,0,4294967295,0,6,6,0
0,7,586.668,10908.4,6997.63,1.63417e+07,-2.35496,0,0.128299,3.42874,0,4294967295,0,6,6,0
0,7,35.6639,402.924,83.5112,3970.12,-2.26478,0,0.128299,3.48903,0,4294967295,0,6,6,0
0,7,1463.39,28752,12477.8,2.72733e+06,-2.40027,0,0.128299,3.22239,0,4294967295,0,6,6,0
0,7,25.2624,980.097,98.4696,84.3503,-2.26013,0,0.128299,3.39801,0,4294967295,0,6,6,0
0,7,3.54268,97.4052,2.35067,40.0409,-2.74227,0,0.128299,3.36105,0,4294967295,0,6,6,0
0,7,257.069,6150.46,827.791,3.41595e+07,-2.48758,0,0.128299,3.00425,0,4294967295,0,6,6,0
0,8,624.953,8640.56,2197.69,2.02741e+07,-2.46243,0,0.128299,2.00007,0,4294967295,0,6,6,0
0,8,19.3796,1058.25,263.768,130875,-2.34468,0,0.128299,2.00009,0,4294967295,0,6,6,0
0,8,51.5702,601.893,412.441,326719,-2.30426,0,0.128299,2.00012,0,4294967295,0,6,6,0
0,8,23.3374,208.158,208.158,7.64279,-2.30151,0,0.128299,2.0001,82.8906,4,1,6,5,1
0,8,15.0799,562.535,176.303,13209.8,-2.06045,0,0.128299,2.00011,0,4294967295,0,6,6,0
0,8,464.819,32357.4,1770.77,9.29817e+06,-2.42434,0,0.128299,2.00002,0,4294967295,0,6,6,0
0,8,280.559,14884.8,1239.69,5.65878e+07,-2.39563,0,0.128299,2.00001,0,4294967295,0,6,6,0
0,8,9.45839,93.177,93.177,37323,-2.40027,0,0.128299,2.00089,45.3808,4,1,6,5,1
0,8,2.8369,75.559,75.559,444826,-2.74227,0,0.128299,2.01328,3.80297,5,1,6,6,0
