GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,4266.56,6.75365e+10,0,0,0
0,0,406028,1.51722e+10,0,0,0
0,0,25792.9,7.29131e+09,0,0,0
0,0,64826.3,7.45426e+09,0,0,0
0,0,162643,7.78561e+09,0,0,0
0,0,60.0878,1.14181e+07,0,0,0
0,0,234.925,2.32304e+08,0,0,0
0,0,170.512,2.63592e+07,0,0,0
0,0,3.89255e+06,4.84153e+09,0,0,0
0,0,49978.1,6.37434e+09,0,0,0
0,0,18456.9,6.08775e+10,0,0,0
0,0,18975.5,2.59378e+10,0,0,0
0,0,294358,2.07272e+10,0,0,0
0,0,1219.63,3.83884e+09,0,0,0
0,0,2659.46,1.89878e+11,0,0,0
0,0,436.667,3.43328e+09,0,0,0
0,0,62.0373,8.83232e+07,0,0,0
0,0,60.3755,4.15768e+07,0,0,0
0,0,170.512,5.21022e+07,0,0,0
0,0,60.0878,0,0,0,0
0,0,247.481,0,0,0,0
0,0,449.847,0,0,0,0
0,0,186.377,0,0,0,0
0,1,21263.8,0,2.07065e+10,7.91026e+09,6.73631e+10
0,1,48710.5,0,2.4857e+09,1.83636e+08,7.18068e+10
0,1,96319,0,3.061e+10,6.01263e+09,1.11111e+11
0,2,1486.88,6.56298e+10,48838.9,29186.8,3919.14
0,2,3340.41,2.73079e+06,0.693136,3.77854,0.263326
0,2,48055,9.60046e+09,2.64583e+09,7.65199e+08,1.90807e+09
0,2,519.353,5.85829e+07,12.1299,4.96747,20.3325
0,2,604.973,2.65607e+08,192.142,131.113,6.64253
0,2,385.163,7.64629e+06,1.44336,4.93064,1.41042
0,2,25539.1,1.60802e+10,5.36123e+08,6.35698e+08,3.60754e+08
0,2,10195.9,3.47162e+10,1.12942e+08,3.02271e+08,1.31985e+08
0,2,28994,1.26165e+10,1.87247e+09,1.04969e+09,1.72197e+08
0,2,19993.1,1.26666e+10,9394.55,18020.6,1830.75
0,3,457.601,21134.2,0,0,0
0,3,271.298,332.049,0,0,0
0,3,64.7188,3.63477e+07,0,0,0
0,3,3.06003,8.85094e+08,0,0,0
0,3,14.5355,5.30787e+07,0,0,0
0,3,35.7691,1.36695e+07,0,0,0
0,3,15.6393,3.11137e+07,0,0,0
0,4,159.014,0,904156,6244.19,11.6238
0,4,59.5515,0,15938.7,354.254,0.0382317
0,4,34.1292,0,681201,2.16613e+06,0.13358
0,4,709.806,0,53618.1,159.264,234.437
0,4,80.4698,0,96422.6,370105,82.3351
0,4,79.9641,0,13314.4,160438,7.08173e-05
0,4,12.6006,0,1.32857e+06,723250,0.10977
0,4,30.7896,0,7511.36,151744,9.65431e-05
0,4,14.0563,0,3159,221394,2.17791e-11
0,4,159.679,0,1.54791e+06,5.40453e+06,0.217934
0,5,425.109,2.42723e+07,7.56817,17.1741,6.54369
0,5,1796.11,5.95261e+08,487.654,484.949,13.6173
0,5,1503.66,212745,0.520806,0.0662306,0.100786
0,5,250.27,4.31572e+06,16.7817,3.1942,1.38176
0,5,228.316,266437,0.0873483,0.251237,0.0604467
0,5,6.15652,10463.1,4.06376,7.50799,2.94242e-07
0,5,60.0252,3.13041e+07,2636.1,10974.3,0.796282
0,5,128.97,7.80688e+06,22.1078,0.0123063,1.86199
0,5,6.00624,5.17938e+08,0,0,0
0,5,1.97178,3.00383e+07,0,0,0
0,5,8.29275,5.90743e+07,0,2.17575,2.0435e-15
0,5,28.6768,0,0,0,0
0,6,5656.25,2.08985e+10,0,0,0
0,6,25097.9,1.96222e+10,0,0,0
0,6,86.7848,9.23574e+06,0,0,0
0,6,620.706,2.85279e+07,0,0,0
0,6,60781.2,2.16968e+09,0,0,0
0,6,5811.83,1.59602e+08,0,0,0
0,6,2558.37,17789.5,0,0,0
0,6,242.699,2.90216e+07,0,0,0
0,6,27455.4,7.76811e+09,0,0,0
0,6,320.259,3.86896e+06,0,0,0
0,6,89120.2,2.11496e+09,0,0,0
0,6,140.656,8.86978e+06,0,0,0
0,6,1135,1.42451e+07,0,0,0
0,7,153.525,0,56684.2,214841,0.147013
0,7,1179.2,0,14597.2,46295.8,5309.15
0,7,193.474,0,4.45951e+06,283146,3.10777
0,7,108.648,0,1.32229e+06,15328.9,7.62481
0,7,10908.4,0,6.32416e+09,2.17046e+10,1.05051e+10
0,7,402.924,0,209.639,1.46871,32.1997
0,7,254.218,0,1.67556e+06,12567.3,17.0478
0,7,28752,0,5.24797e+09,4.25155e+09,1.32923e+09
0,7,980.097,0,0.639177,0.45582,1.06692
0,7,97.4052,0,3184.11,8273.85,2.46228e-11
0,7,6150.46,0,1.5402e+07,9.56394e+06,585972
0,8,8640.56,6.59162e+09,24524.5,391206,177560
0,8,1058.25,7.715e+06,9.5718,1.59585,3.76015
0,8,601.893,3.36137e+07,14.3546,47.6519,4.61433
0,8,208.158,596.809,0.000185298,0.000437771,0.000151932
0,8,562.535,786887,0.181969,0.186242,0.219709
0,8,32357.4,2.65483e+09,4135.38,31881.7,15076.2
0,8,14884.8,1.38374e+10,6587.91,3294.1,266.198
0,8,93.177,1.65744e+06,0.444612,0.0165549,0.444589
0,8,75.559,1.19312e+07,2233.87,10.9902,0.278205
