Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
21263.8,1,10000,H,Ecto,5.38176e+07
21263.8,1,1000,H,Endo,1.10705e+07
21263.8,1,10000,H,Endo,1.14612e+09
21263.8,1,100000,H,Endo,627368
21263.8,1,10000,O,Endo,1.67209e+08
21263.8,1,10000,C,Ecto,2.38559e+08
21263.8,1,10000,C,Endo,1.11888e+09
48710.5,1,10000,H,Ecto,3091.05
48710.5,1,10000,H,Endo,139239
48710.5,1,100000,H,Endo,16413.3
48710.5,1,1e+06,H,Endo,622.244
48710.5,1,10000,O,Endo,45688.7
48710.5,1,10000,C,Ecto,39936.7
48710.5,1,10000,C,Endo,2.86479e+07
96319,1,10000,H,Ecto,1.07502e+08
96319,1,10000,H,Endo,3.66967e+10
96319,1,100000,H,Endo,3.39605e+09
96319,1,1e+06,H,Endo,8.28202e+07
96319,1,10000,O,Endo,2.13445e+09
96319,1,10000,C,Ecto,4.02449e+09
96319,1,10000,C,Endo,1.2719e+11
44691.9,1,1000,H,Ecto,1.07299e+09
44691.9,1,10000,H,Ecto,1.03569e+10
44691.9,1,1000,H,Endo,1.44962e+09
44691.9,1,10000,H,Endo,4.034e+10
44691.9,1,100000,H,Endo,1.11887e+07
44691.9,1,1000,O,Ecto,2.02025e+08
44691.9,1,10000,O,Endo,1.3757e+10
44691.9,1,10000,C,Ecto,1.47856e+10
44691.9,1,10000,C,Endo,1.87705e+10
21263.8,1,1000,H,Ecto,2.00223e+10
21263.8,1,10000,H,Ecto,2.44086e+10
21263.8,1,1000,H,Endo,1.69181e+10
21263.8,1,10000,H,Endo,4.40047e+09
21263.8,1,100000,H,Endo,72858.4
21263.8,1,1000,O,Ecto,3.15071e+09
21263.8,1,10000,O,Ecto,5.15196e+08
21263.8,1,1000,O,Endo,2.1341e+07
21263.8,1,10000,O,Endo,1.54406e+10
21263.8,1,10000,C,Ecto,4.51596e+09
21263.8,1,10000,C,Endo,6.51834e+08
1486.88,2,10,H,Ecto,470736
1486.88,2,100,H,Ecto,54266
1486.88,2,10,H,Endo,531876
1486.88,2,100,H,Endo,6.40703e+06
1486.88,2,10,O,Ecto,14669.4
1486.88,2,100,O,Ecto,1165.9
1486.88,2,1000,O,Ecto,23.3166
1486.88,2,100,O,Endo,172.231
1486.88,2,10,C,Ecto,4041.03
1486.88,2,100,C,Ecto,286211
1486.88,2,1000,C,Ecto,6275.23
3340.41,2,10,H,Ecto,69.2598
3340.41,2,100,H,Ecto,12.4747
3340.41,2,10,H,Endo,362.929
3340.41,2,100,H,Endo,622.255
3340.41,2,10,O,Ecto,25.8682
3340.41,2,100,O,Ecto,0.211215
3340.41,2,1000,O,Ecto,0.001717
3340.41,2,100,O,Endo,0.00464661
3340.41,2,10,C,Ecto,2.60133
3340.41,2,100,C,Ecto,47.6155
3340.41,2,1000,C,Ecto,0.0481415
48055,2,100,H,Ecto,6.83034
48055,2,1000,H,Ecto,6.25081e+07
48055,2,10000,H,Ecto,6.82417e+07
48055,2,1000,H,Endo,1.40796e+08
48055,2,10000,H,Endo,180636
48055,2,100,O,Ecto,20.3215
48055,2,1000,O,Ecto,2.80401e+07
48055,2,10000,O,Ecto,3.14126e+07
48055,2,100,O,Endo,24.6972
48055,2,1000,O,Endo,5.65169e+06
48055,2,10000,O,Endo,1.11456e+07
48055,2,1000,C,Ecto,250598
48055,2,10000,C,Ecto,190278
48055,2,10000,C,Endo,1.03685e+06
519.353,2,10,H,Ecto,14177.8
519.353,2,100,H,Ecto,35.1809
519.353,2,10,H,Endo,5355.02
519.353,2,100,H,Endo,158.774
519.353,2,1,O,Ecto,117.565
519.353,2,10,O,Ecto,2468.1
519.353,2,100,O,Ecto,0.220535
519.353,2,10,C,Ecto,49.197
519.353,2,100,C,Ecto,23.9713
519.353,2,1000,C,Ecto,0.00412197
604.973,2,10,H,Ecto,2520.51
604.973,2,100,H,Ecto,213.426
604.973,2,10,H,Endo,14772.7
604.973,2,100,H,Endo,9509.53
604.973,2,10,O,Ecto,781.155
604.973,2,100,O,Ecto,4.03981
604.973,2,1000,O,Ecto,0.0233636
604.973,2,100,O,Endo,0.0382932
604.973,2,10,C,Ecto,63.1892
604.973,2,100,C,Ecto,774.301
604.973,2,1000,C,Ecto,0.715304
385.163,2,10,H,Ecto,2345.75
385.163,2,100,H,Ecto,2.24612
385.163,2,10,H,Endo,608.451
385.163,2,100,H,Endo,26.6865
385.163,2,1,O,Ecto,6.35909
385.163,2,10,O,Ecto,213.107
385.163,2,100,O,Ecto,0.0328035
385.163,2,10,C,Ecto,5.50704
385.163,2,100,C,Ecto,4.32577
385.163,2,1000,C,Ecto,0.000821369
25539.1,2,100,H,Ecto,4191.22
25539.1,2,1000,H,Ecto,1.04983e+07
25539.1,2,10000,H,Ecto,2.43443e+07
25539.1,2,100,H,Endo,2.54154e+06
25539.1,2,1000,H,Endo,7.42142e+07
25539.1,2,100,O,Ecto,12652.5
25539.1,2,1000,O,Ecto,8.2085e+06
25539.1,2,10000,O,Ecto,5.34417e+07
25539.1,2,100,O,Endo,17136.2
25539.1,2,1000,O,Endo,4.73495e+07
25539.1,2,10000,O,Endo,2.21945e+06
25539.1,2,100,C,Ecto,3884.15
25539.1,2,1000,C,Ecto,2.08402e+07
10195.9,2,100,H,Ecto,13416.5
10195.9,2,1000,H,Ecto,2.8574e+06
10195.9,2,10000,H,Ecto,8.35315e+06
10195.9,2,100,H,Endo,1.41741e+07
10195.9,2,1000,H,Endo,3.07999e+07
10195.9,2,100,O,Ecto,40550.9
10195.9,2,1000,O,Ecto,3.73256e+06
10195.9,2,10000,O,Ecto,3.04155e+07
10195.9,2,100,O,Endo,53564.2
10195.9,2,1000,O,Endo,4.14637e+07
10195.9,2,10000,O,Endo,776682
10195.9,2,100,C,Ecto,51260.5
10195.9,2,1000,C,Ecto,3.65816e+07
28994,2,100,H,Ecto,60.1963
28994,2,1000,H,Ecto,4.63527e+07
28994,2,10000,H,Ecto,6.607e+07
28994,2,100,H,Endo,7253.94
28994,2,1000,H,Endo,2.62481e+08
28994,2,10000,H,Endo,84855.3
28994,2,100,O,Ecto,173.286
28994,2,1000,O,Ecto,3.24204e+07
28994,2,10000,O,Ecto,5.97893e+07
28994,2,100,O,Endo,134.14
28994,2,1000,O,Endo,1.88022e+07
28994,2,10000,O,Endo,1.47959e+07
28994,2,100,C,Ecto,2.53897
28994,2,1000,C,Ecto,1.31068e+06
28994,2,10000,C,Ecto,105797
28994,2,10000,C,Endo,728239
19993.1,2,10,H,Ecto,2.99588e+06
19993.1,2,100,H,Ecto,20065.2
19993.1,2,10,H,Endo,1.67017e+06
19993.1,2,100,H,Endo,567671
19993.1,2,10,O,Ecto,126525
19993.1,2,100,O,Ecto,266.151
19993.1,2,1000,O,Ecto,0.00764468
19993.1,2,100,O,Endo,0.674057
19993.1,2,10,C,Ecto,8502.17
19993.1,2,100,C,Ecto,63983.6
19993.1,2,1000,C,Ecto,38.7302
159.014,4,1,H,Ecto,6.66809e+07
159.014,4,10,H,Ecto,665829
159.014,4,100,H,Ecto,13.7191
159.014,4,10,H,Endo,4482.32
159.014,4,1,O,Ecto,8.29168e+06
159.014,4,10,O,Ecto,29085.8
159.014,4,100,O,Ecto,0.00936078
159.014,4,10,C,Ecto,2056.95
159.014,4,100,C,Ecto,0.526938
59.5515,4,1,H,Ecto,1.02895e+06
59.5515,4,10,H,Ecto,36.0471
59.5515,4,10,H,Endo,7.76419e-05
59.5515,4,1,O,Ecto,16602.9
59.5515,4,10,O,Ecto,0.509806
59.5515,4,10,C,Ecto,0.404248
34.1292,4,1,H,Ecto,5.13369e+07
34.1292,4,10,H,Ecto,21.3496
34.1292,4,1,O,Ecto,122827
34.1292,4,10,O,Ecto,0.0450429
34.1292,4,10,C,Ecto,0.349083
709.806,4,10,H,Ecto,1.74634e+06
709.806,4,100,H,Ecto,817.802
709.806,4,10,H,Endo,155469
709.806,4,100,H,Endo,677.059
709.806,4,1,O,Ecto,1.48042e+06
709.806,4,10,O,Ecto,209178
709.806,4,100,O,Ecto,2.44958
709.806,4,10,C,Ecto,4950.74
709.806,4,100,C,Ecto,220.982
