Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.02064e+08,1.32635e+09,9.72158e+08,8.67221e+07,2.18927e+08,2.38366e+08,3.98456e+08,6.15863e+08,5.04482e+08
2, 1,4.14521e+08,1.45832e+09,5.15776e+08,2.58112e+06,633328,1.91541e+07,2.70227e+08,3.40095e+08,2.52831e+08
3, 1,3.69474e+08,8.9702e+08,2.77212e+08,145327,62138.7,9.78643e+06,1.85357e+08,1.73927e+08,2.56235e+08
4, 1,4.44274e+08,6.93584e+08,2.08614e+08,456181,37696.2,2.68923e+06,1.94831e+08,1.57988e+08,1.40427e+08
5, 1,5.41177e+08,3.57143e+08,2.20101e+08,1.3403e+06,43301.5,3.39751e+06,2.24287e+08,1.54735e+08,1.22589e+08
6, 1,6.13699e+08,3.01914e+08,2.14139e+08,3.17799e+06,67086.8,5.27553e+06,2.58457e+08,1.76773e+08,1.31384e+08
7, 1,6.73962e+08,3.10634e+08,1.977e+08,1.32181e+07,159487,8.19651e+06,2.71814e+08,1.76555e+08,1.24186e+08
8, 1,6.1027e+08,4.35665e+08,1.8415e+08,3.78253e+07,324914,1.10129e+07,2.44051e+08,1.14827e+08,1.08799e+08
9, 1,4.50542e+08,5.66984e+08,1.61576e+08,7.45516e+07,660683,1.26868e+07,1.93886e+08,9.31305e+07,1.00502e+08
10, 1,3.66616e+08,5.78971e+08,1.3905e+08,9.87925e+07,966958,1.33823e+07,1.55501e+08,7.26106e+07,9.87382e+07
11, 1,3.69129e+08,4.4517e+08,1.34202e+08,1.23196e+08,1.46256e+06,1.43478e+07,1.59018e+08,6.71367e+07,1.02409e+08
