GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,4266.56,6.51511e+10,0,0,0
0,0,406028,8.96784e+08,0,0,0
0,0,25792.9,3.78807e+08,0,0,0
0,0,64826.3,4.24742e+07,0,0,0
0,0,162643,1.1585e+09,0,0,0
0,0,216.019,1.7452e+07,0,0,0
0,0,3.89255e+06,6.1744e+09,0,0,0
0,0,49978.1,2.95565e+08,0,0,0
0,0,1352.97,3.03588e+08,0,0,0
0,0,18975.5,3.67352e+09,0,0,0
0,0,2659.46,7.20052e+08,0,0,0
0,0,131.93,1.11544e+07,0,0,0
0,0,58.684,2.26051e+08,0,0,0
0,0,217.303,6.37804e+08,0,0,0
0,0,133.352,6.87241e+08,0,0,0
0,0,61.2531,1.11477e+08,0,0,0
0,0,131.93,1.21029e+09,0,0,0
0,0,242.681,4.37544e+08,0,0,0
0,0,230.678,3.80396e+08,0,0,0
0,0,1233.5,1.06225e+09,0,0,0
0,0,62.6912,2.30584e+09,0,0,0
0,1,85773.3,0,4.86367e+10,4.33077e+10,2.59139e+09
0,1,48710.5,0,764933,125388,1.12836e+09
0,2,1240.63,8.9817e+08,149251,803.952,3230.52
0,2,48055,1.21419e+09,4.49981e+06,790928,1.63461e+06
0,2,519.353,1.25287e+08,23012.4,1629.2,6708.88
0,2,25539.1,8.90786e+09,250719,61838.7,572518
0,2,11259.1,9.82193e+09,291958,52079.8,834946
0,2,393.522,1.45517e+07,2309.44,831.625,763.271
0,2,28994,2.91263e+09,1.65284e+06,545281,4.0119e+06
0,2,19993.1,4.81102e+08,112910,408.254,12847.1
0,2,388.93,2.63253e+07,9.60633e+08,23676.6,76.3527
0,3,447.202,7.52055e+07,0,0,0
0,3,195.916,8.22664e+06,0,0,0
0,3,31.1787,9.87503e+06,0,0,0
0,3,57.3435,1.94725e+07,0,0,0
0,3,64.7968,2.72089e+07,0,0,0
0,3,3.14699,3.4254e+11,0,0,0
0,4,1675.82,0,7.35275e+07,54683,1146.01
0,4,159.014,0,2.87297e+07,11878.5,47.8073
0,4,65.9433,0,4.41672e+07,85.1151,0.000322942
0,4,34.1292,0,1.97185e+07,54.9903,0.000752823
0,4,80.4698,0,1.80694e+07,3640.65,7.22077
0,4,26.619,0,1.2377e+07,21.1362,0.000128941
0,4,302.448,0,3.57978e+07,3789.98,3.83456
0,4,14.0563,0,3.90708e+07,109.477,0
0,4,1224,0,752498,149562,382993
0,4,159.679,0,1.80383e+07,1196.69,0.790401
0,4,20.3558,0,9.99206e+07,270.212,1.13657e-05
0,4,33.6503,0,5.48619e+08,1395.39,0.0117516
0,5,425.109,6.49433e+06,1111.13,369.98,358.313
0,5,1796.11,2.94955e+07,2890.57,26.0705,123.604
0,5,1503.66,5.37543e+06,504.514,786.135,282.595
0,5,250.27,8.98129e+06,717.684,1244.7,473.697
0,5,228.316,1.29923e+07,966.953,3761.6,631.823
0,5,1122.14,5.13182e+06,686.766,9.89359,185.015
0,5,128.97,402750,1.37231e+07,379.23,1.38925
0,5,10.0028,1.78468e+07,6.81009e+08,3616.32,0
0,5,5.98193,4.00669e+07,3.19035e+08,2748.52,0
0,5,1.99528,1.59195e+08,0,0,0
0,5,28.047,7726.02,1.87254e+06,3.22079,2.02266e-05
0,5,6.15652,10127.8,0,0.00402337,0
0,5,21.4973,3.31398e+08,8.09895e+07,1490.97,0
0,5,66.3447,4.85966e+06,2.71136e+08,1257.17,0
0,6,5656.25,3.7843e+08,0,0,0
0,6,25097.9,581948,0,0,0
0,6,86.7848,1.24979e+07,0,0,0
0,6,113.496,1.36036e+07,0,0,0
0,6,60781.2,1.98085e+09,0,0,0
0,6,376.068,1.31034e+07,0,0,0
0,6,2558.37,3.8439e+07,0,0,0
0,6,27455.4,7.64547e+09,0,0,0
0,6,89120.2,9.87327e+08,0,0,0
0,6,124.038,1.30002e+08,0,0,0
0,6,88.4067,1.22605e+08,0,0,0
0,7,1179.2,0,116921,1.34055e+06,131032
0,7,193.474,0,6.34215e+07,19360.1,53.7284
0,7,108.648,0,2.37629e+07,6584.97,15.4591
0,7,20664.8,0,3.3673e+08,2.2761e+06,1.28264e+07
0,7,10908.4,0,1.96231e+08,2.69429e+06,4.63815e+06
0,7,6031.57,0,1.0921e+07,689895,1.42897e+06
0,7,3296.03,0,1.46771e+06,604638,505974
0,7,402.924,0,5.44302e+07,934.095,0.720302
0,7,2401.32,0,665433,2.80958e+06,439573
0,7,28752,0,6.76224e+07,1.05409e+07,1.77675e+08
0,7,97.4052,0,8.85884e+07,1923.36,0.456757
0,8,8640.56,2.2147e+09,125385,2115.36,3636.44
0,8,601.893,1.07676e+07,1712.44,9.48779,333.318
0,8,344.299,2.20672e+07,3327.38,1744.42,1123.6
0,8,208.158,8.15487e+06,381.552,4677.51,306.683
0,8,9726.63,9.80258e+06,977.462,26.1329,26.0711
0,8,32357.4,2.53708e+08,25363.6,255.441,676.012
0,8,2524.39,1.44703e+07,4112,10.7652,188.112
0,8,93.177,506963,3.14231e+07,1039.26,0.908789
0,8,4452.14,6.86157e+07,5841.94,62.9935,63.8888
0,8,75.559,170960,2.32489e+07,94.7155,0.0130544
