FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,884778,9033.91
0,0.1,1,3.43444e+06,82807.7
0,1,10,7.14669e+07,2.90166e+08
0,10,100,1.52702e+07,1.07738e+08
0,100,1000,786876,2.07575e+07
0,1000,10000,295193,2.89003e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,9.07988e+07,5.6499e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,287036,84288.3
2,1,10,2.60029e+07,4.98318e+07
2,10,100,4.81673e+07,1.78421e+08
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,3.5463e+10,8.22815e+06
3,0.01,0.1,8.35041e+06,130351
3,0.1,1,354721,82887.8
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,490367,29904.6
4,0.1,1,654285,64983.4
4,1,10,146835,22068.2
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,7.51389e+08,1.84615e+06
5,0.01,0.1,1.05224e+08,72727.2
5,0.1,1,461092,79815.4
5,1,10,572498,322604
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,943381,4460.3
6,0.1,1,3.06409e+06,100344
6,1,10,3.41078e+07,6.82016e+07
6,10,100,2.95685e+07,1.00889e+08
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.17656e+06,119271
7,1,10,1.05617e+08,1.96312e+08
7,10,100,2.27828e+06,2.66671e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,439409,55580.8
8,0.1,1,484542,96008.9
8,1,10,2.19715e+07,5.13357e+07
8,10,100,9.1543e+06,1.56135e+07
8,100,1000,0,0
8,1000,10000,0,0
