Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
48710.5,1,10000,H,Ecto,8.63183e+06
48710.5,1,10000,H,Endo,6.23232e+08
48710.5,1,100000,H,Endo,1.00141e+09
48710.5,1,1e+06,H,Endo,8.87434e+07
48710.5,1,10000,O,Endo,1.13177e+07
48710.5,1,10000,C,Ecto,5.44956e+08
48710.5,1,10000,C,Endo,2.52489e+10
50533.3,1,100,H,Ecto,47313.6
50533.3,1,1000,H,Ecto,1.90615e+08
50533.3,1,10000,H,Ecto,2.69875e+08
50533.3,1,100,H,Endo,4.45394e+06
50533.3,1,1000,H,Endo,1.55491e+10
50533.3,1,100,O,Ecto,907344
50533.3,1,1000,O,Ecto,5.37756e+08
50533.3,1,10000,O,Ecto,9.00464e+08
50533.3,1,100,O,Endo,1.94841e+06
50533.3,1,1000,O,Endo,5.12062e+08
50533.3,1,10000,O,Endo,3.31414e+08
50533.3,1,100,C,Ecto,6.41751e+06
50533.3,1,1000,C,Ecto,1.94768e+10
50533.3,1,10000,C,Endo,6.6187e+08
53479.3,1,100,H,Ecto,0.0241116
53479.3,1,1000,H,Ecto,1.70148e+09
53479.3,1,10000,H,Ecto,1.30193e+09
53479.3,1,1000,H,Endo,3.60169e+08
53479.3,1,10000,H,Endo,6855.57
53479.3,1,100,O,Ecto,0.0579509
53479.3,1,1000,O,Ecto,3.37068e+09
53479.3,1,10000,O,Ecto,3.30521e+09
53479.3,1,100,O,Endo,1231.13
53479.3,1,1000,O,Endo,3.95891e+09
53479.3,1,10000,O,Endo,1.79169e+09
53479.3,1,1000,C,Ecto,1.18754e+10
53479.3,1,10000,C,Endo,4.63547e+10
1240.63,2,10,H,Ecto,46.084
1240.63,2,100,H,Ecto,1362.26
1240.63,2,1000,H,Ecto,0.00301451
1240.63,2,10,H,Endo,16.0857
1240.63,2,100,H,Endo,626.669
1240.63,2,1000,H,Endo,1.76662e+06
1240.63,2,10,O,Ecto,3.2143
1240.63,2,100,O,Ecto,6.45801
1240.63,2,1000,O,Ecto,0.237952
1240.63,2,100,O,Endo,0.499097
1240.63,2,1000,O,Endo,1453.4
1240.63,2,100,C,Ecto,77.088
1240.63,2,1000,C,Ecto,3.24691
1240.63,2,10000,C,Endo,24107.2
48055,2,100,H,Ecto,0.0162806
48055,2,1000,H,Ecto,75264.6
48055,2,10000,H,Ecto,70624
48055,2,100,H,Endo,0.102804
48055,2,1000,H,Endo,41758.8
48055,2,100,O,Ecto,0.269952
48055,2,1000,O,Ecto,153998
48055,2,10000,O,Ecto,179243
48055,2,100,O,Endo,1.70966
48055,2,1000,O,Endo,174339
48055,2,10000,O,Endo,89572.7
48055,2,100,C,Ecto,2.1289
48055,2,1000,C,Ecto,1.37592e+06
48055,2,10000,C,Endo,1.38896e+07
519.353,2,10,H,Ecto,17.823
519.353,2,100,H,Ecto,25.9119
519.353,2,10,H,Endo,25.4159
519.353,2,100,H,Endo,437.368
519.353,2,1000,H,Endo,20721.7
519.353,2,10,O,Ecto,40970.1
519.353,2,100,O,Ecto,18.0314
519.353,2,100,O,Endo,24.2738
519.353,2,1000,O,Endo,179.93
519.353,2,10,C,Ecto,11.5213
519.353,2,100,C,Ecto,2950.38
7412.8,2,10,H,Ecto,17.5136
7412.8,2,100,H,Ecto,3497.4
7412.8,2,1000,H,Ecto,148.828
7412.8,2,100,H,Endo,11578.5
7412.8,2,1000,H,Endo,7.71598e+07
7412.8,2,10,O,Ecto,0.446169
7412.8,2,100,O,Ecto,1374.48
7412.8,2,1000,O,Ecto,1969.19
7412.8,2,10000,O,Ecto,3116.56
7412.8,2,100,O,Endo,967.778
7412.8,2,1000,O,Endo,7840.44
7412.8,2,100,C,Ecto,9055.94
7412.8,2,1000,C,Ecto,3931.98
7412.8,2,10000,C,Endo,0.00768524
10195.9,2,100,H,Ecto,1.87735
10195.9,2,1000,H,Ecto,9444.97
10195.9,2,10000,H,Ecto,13814.1
10195.9,2,100,H,Endo,65.8654
10195.9,2,1000,H,Endo,896297
10195.9,2,100,O,Ecto,29.0684
10195.9,2,1000,O,Ecto,19131.8
10195.9,2,10000,O,Ecto,50153.2
10195.9,2,100,O,Endo,78.9275
10195.9,2,1000,O,Endo,23822.5
10195.9,2,10000,O,Endo,13730.1
10195.9,2,100,C,Ecto,326.083
10195.9,2,1000,C,Ecto,15993.5
10195.9,2,10000,C,Endo,22454.3
19993.1,2,10,H,Ecto,2061.91
19993.1,2,100,H,Ecto,26225.7
19993.1,2,10,H,Endo,1013.27
19993.1,2,100,H,Endo,4181.87
19993.1,2,1000,H,Endo,2.83292e+07
19993.1,2,10,O,Ecto,34342.4
19993.1,2,100,O,Ecto,1931.13
19993.1,2,1000,O,Ecto,0.545143
19993.1,2,100,O,Endo,1.76522
19993.1,2,1000,O,Endo,59005.4
19993.1,2,100,C,Ecto,199902
19993.1,2,1000,C,Ecto,11.9164
19993.1,2,10000,C,Endo,7.94115e-06
519.353,2,1,H,Ecto,6.26729e+08
519.353,2,10,H,Ecto,0.199132
519.353,2,10,H,Endo,0.0276391
519.353,2,1,O,Ecto,1.23523e+06
519.353,2,10,C,Ecto,8.3348e-12
519.353,2,100,C,Ecto,0.00218915
1160.5,2,10,H,Ecto,75882
1160.5,2,100,H,Ecto,8529.73
1160.5,2,10,H,Endo,4326.73
1160.5,2,100,H,Endo,413591
1160.5,2,1000,H,Endo,1.27251
1160.5,2,10,O,Ecto,319560
1160.5,2,100,O,Ecto,8807.73
1160.5,2,100,O,Endo,1881.61
1160.5,2,10,C,Ecto,30787.8
1160.5,2,100,C,Ecto,55708.8
1675.82,4,10,H,Ecto,1322.71
1675.82,4,100,H,Ecto,56020.6
1675.82,4,10,H,Endo,2127.18
1675.82,4,100,H,Endo,81832
1675.82,4,1000,H,Endo,1.15982e+06
1675.82,4,10,O,Ecto,5.30821e+06
1675.82,4,100,O,Ecto,4718.33
1675.82,4,100,O,Endo,3630.78
1675.82,4,1000,O,Endo,12114.5
1675.82,4,10,C,Ecto,2154.88
1675.82,4,100,C,Ecto,354951
23.3143,4,1,H,Ecto,9.6299e+07
23.3143,4,1,O,Ecto,112526
80.8773,4,1,H,Ecto,9.31743e+07
80.8773,4,10,H,Ecto,0.00493995
80.8773,4,1,O,Ecto,69513.8
34.2854,4,1,H,Ecto,1205.44
34.2854,4,1,O,Ecto,0.977105
14.2001,4,1,H,Ecto,3326.75
14.2001,4,1,O,Ecto,2.9323
80.4698,4,1,H,Ecto,4.42512e+08
80.4698,4,10,H,Ecto,1.24361
80.4698,4,10,H,Endo,0.217278
80.4698,4,100,H,Endo,0.0134455
80.4698,4,1,O,Ecto,1.3958e+06
80.4698,4,100,O,Ecto,0.0107418
80.4698,4,10,C,Ecto,0.000562824
80.4698,4,100,C,Ecto,0.0121066
356.035,4,1,H,Ecto,446032
356.035,4,10,H,Ecto,1.63868e-05
356.035,4,10,H,Endo,7.70243e-05
356.035,4,1,O,Ecto,1138.26
233.909,4,1,H,Ecto,9.11121e+08
233.909,4,10,H,Ecto,319.052
233.909,4,100,H,Ecto,0.0449336
233.909,4,10,H,Endo,36.8568
233.909,4,100,H,Endo,22.0434
233.909,4,1,O,Ecto,6.88483e+06
233.909,4,10,O,Ecto,0.248078
233.909,4,100,O,Ecto,0.0214823
233.909,4,100,O,Endo,0.0268293
233.909,4,10,C,Ecto,0.355864
233.909,4,100,C,Ecto,1.0803
1796.11,5,10,H,Ecto,14.493
1796.11,5,100,H,Ecto,457.283
1796.11,5,1000,H,Ecto,0.00889032
1796.11,5,10,H,Endo,0.531684
1796.11,5,100,H,Endo,249.594
1796.11,5,1000,H,Endo,790117
1796.11,5,10,O,Ecto,0.428565
1796.11,5,100,O,Ecto,8.02505
1796.11,5,1000,O,Ecto,0.268505
1796.11,5,100,O,Endo,722.014
1796.11,5,1000,O,Endo,988.907
1796.11,5,100,C,Ecto,2206.87
1796.11,5,1000,C,Ecto,4.00688
1796.11,5,10000,C,Endo,5.96594e-06
1503.66,5,10,H,Ecto,10.8126
1503.66,5,100,H,Ecto,80.894
1503.66,5,10,H,Endo,4.35108
1503.66,5,100,H,Endo,57.0151
1503.66,5,1000,H,Endo,1103.17
1503.66,5,10,O,Ecto,348.435
1503.66,5,100,O,Ecto,199.749
1503.66,5,100,O,Endo,2.3652
1503.66,5,1000,O,Endo,54.232
1503.66,5,10,C,Ecto,4.12233
1503.66,5,100,C,Ecto,6776.96
1503.66,5,1000,C,Ecto,0.000225878
236.379,5,10,H,Ecto,6052.76
236.379,5,100,H,Ecto,209.877
236.379,5,10,H,Endo,570.989
236.379,5,100,H,Endo,647.5
236.379,5,1,O,Ecto,449.472
236.379,5,10,O,Ecto,387.392
236.379,5,100,O,Ecto,68.612
236.379,5,100,O,Endo,0.882634
236.379,5,10,C,Ecto,49.935
236.379,5,100,C,Ecto,40.0519
130.142,5,1,H,Ecto,2.70433e+08
130.142,5,10,H,Ecto,3.50865e-05
130.142,5,1,O,Ecto,230509
29.4738,5,1,H,Ecto,4.55768e+08
29.4738,5,10,H,Ecto,0.154913
29.4738,5,1,O,Ecto,1.21676e+06
29.4738,5,10,O,Ecto,0.000156593
29.4738,5,10,C,Ecto,0.000249633
29.4738,5,100,C,Ecto,0.000134094
390.66,5,10,H,Ecto,2197.03
390.66,5,100,H,Ecto,2.73486
390.66,5,10,H,Endo,198.62
390.66,5,100,H,Endo,808.953
390.66,5,1,O,Ecto,18.9411
390.66,5,10,O,Ecto,43.8202
390.66,5,100,O,Ecto,32.2288
390.66,5,100,O,Endo,1.42938
390.66,5,10,C,Ecto,67.804
390.66,5,100,C,Ecto,48.3208
7.95728,5,1,H,Ecto,1.61719e+08
7.95728,5,1,O,Ecto,385080
6.33139,5,1,H,Ecto,2.20871e+10
1179.2,7,10,H,Ecto,3341.18
1179.2,7,100,H,Ecto,2195.05
1179.2,7,10,H,Endo,131.97
1179.2,7,100,H,Endo,2457.7
1179.2,7,1000,H,Endo,50635
1179.2,7,10,O,Ecto,8165.82
1179.2,7,100,O,Ecto,6155.85
1179.2,7,100,O,Endo,15919.1
1179.2,7,1000,O,Endo,2203.79
1179.2,7,10,C,Ecto,28801.9
1179.2,7,100,C,Ecto,282421
1179.2,7,1000,C,Ecto,0.0130184
254.531,7,10,H,Ecto,10.2852
254.531,7,100,H,Ecto,725.938
254.531,7,10,H,Endo,17.8901
254.531,7,100,H,Endo,1217.62
254.531,7,1000,H,Endo,7335.83
254.531,7,10,O,Ecto,62126.4
254.531,7,100,O,Ecto,545.289
254.531,7,100,O,Endo,46.2049
254.531,7,1000,O,Endo,15.0044
254.531,7,10,C,Ecto,44.7847
254.531,7,100,C,Ecto,3883.11
3296.03,7,10,H,Ecto,4681.45
3296.03,7,100,H,Ecto,94556.8
3296.03,7,10,H,Endo,2439.48
3296.03,7,100,H,Endo,73690.5
3296.03,7,1000,H,Endo,133072
3296.03,7,10,O,Ecto,434227
3296.03,7,100,O,Ecto,215469
3296.03,7,100,O,Endo,4564.67
3296.03,7,1000,O,Endo,12776
3296.03,7,10,C,Ecto,13473.4
3296.03,7,100,C,Ecto,5.69402e+06
124.191,7,10,H,Ecto,6944.44
124.191,7,100,H,Ecto,9765.93
124.191,7,10,H,Endo,331.878
124.191,7,100,H,Endo,146053
124.191,7,1000,H,Endo,15.2567
124.191,7,10,O,Ecto,617982
124.191,7,100,O,Ecto,2312.22
124.191,7,100,O,Endo,1361.5
124.191,7,10,C,Ecto,10615.1
124.191,7,100,C,Ecto,49233.4
152.729,7,10,H,Ecto,260587
152.729,7,100,H,Ecto,136650
152.729,7,10,H,Endo,4904.3
152.729,7,100,H,Endo,2.10994e+06
152.729,7,1000,H,Endo,0.791849
152.729,7,10,O,Ecto,715812
152.729,7,100,O,Ecto,257140
152.729,7,100,O,Endo,13501.1
152.729,7,10,C,Ecto,227271
152.729,7,100,C,Ecto,443121
379.933,7,10,H,Ecto,662271
379.933,7,100,H,Ecto,104476
379.933,7,10,H,Endo,849.44
379.933,7,100,H,Endo,2.06048e+07
379.933,7,1000,H,Endo,218.076
379.933,7,10,O,Ecto,422005
379.933,7,100,O,Ecto,449595
379.933,7,100,O,Endo,44970.6
379.933,7,1000,O,Endo,1968.13
379.933,7,10,C,Ecto,611860
