Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.02064e+08,1.32635e+09,9.72158e+08,8.67221e+07,2.18927e+08,2.38366e+08,3.98456e+08,6.15863e+08,5.04482e+08
2, 1,4.62763e+08,1.22219e+09,6.85759e+08,6.76568e+06,231004,1.79222e+07,2.86267e+08,4.42956e+08,3.12951e+08
3, 1,4.06243e+08,1.2351e+09,4.39186e+08,360695,160548,1.14133e+06,1.44946e+08,3.11608e+08,8.47462e+07
4, 1,4.19844e+08,7.46488e+08,2.19311e+08,1.3331e+06,58193.4,521961,1.22872e+08,2.87878e+08,5.28101e+07
5, 1,4.6592e+08,6.05796e+08,2.10683e+08,3.97603e+06,59091.6,1.04305e+06,1.41543e+08,2.49568e+08,5.86754e+07
6, 1,4.47654e+08,5.6499e+08,2.28337e+08,8.44139e+06,116956,2.3213e+06,1.69195e+08,2.23098e+08,6.71007e+07
7, 1,3.84869e+08,5.95231e+08,2.12508e+08,2.99343e+07,141376,5.24782e+06,1.67514e+08,9.42602e+07,6.24219e+07
8, 1,1.97397e+08,6.19526e+08,1.48271e+08,6.95442e+07,252672,9.28215e+06,1.30797e+08,7.33196e+07,5.11152e+07
9, 1,1.2581e+08,5.67417e+08,8.46852e+07,1.37484e+08,417645,1.04586e+07,6.16636e+07,5.96625e+07,4.24342e+07
10, 1,1.14205e+08,4.24214e+08,6.07734e+07,1.89566e+08,612059,1.09289e+07,4.92397e+07,4.85055e+07,4.02271e+07
11, 1,1.18559e+08,3.60553e+08,4.64368e+07,2.37401e+08,577595,1.22295e+07,3.75668e+07,4.25287e+07,3.85685e+07
