GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,9.94773e+09,0,0,0
0,0,406028,6.16454e+09,0,0,0
0,0,1.45505e+06,1.28032e+10,0,0,0
0,0,4266.56,2.99421e+08,0,0,0
0,0,2183.4,4.85002e+08,0,0,0
0,0,10935,9.45727e+08,0,0,0
0,0,448.145,2.18054e+09,0,0,0
0,0,26332.4,3.59202e+09,0,0,0
0,0,1116.7,8.76562e+10,0,0,0
0,0,11143.2,3.04534e+10,0,0,0
0,0,25776.4,1.245e+10,0,0,0
0,0,1160.36,3.89185e+09,0,0,0
0,0,4306.18,1.85524e+11,0,0,0
0,0,476.604,1.81487e+08,0,0,0
0,0,2101.1,3.13865e+09,0,0,0
0,0,428.496,2.17252e+09,0,0,0
0,0,11627.6,3.20688e+09,0,0,0
0,0,27470.1,5.38689e+09,0,0,0
0,2,26501.5,1.54064e+09,2.77771e+09,7.04753e+09,3.84805e+08
0,2,81987.1,1.5269e+09,5.43016e+07,1.48447e+08,7.42492e+08
0,2,4895.17,1.49472e+10,5.08606e+09,2.00905e+09,3.27808e+07
0,2,2654.21,1.47515e+11,2.29189e+08,1.11532e+08,1.13401e+08
0,2,4843.82,1.78276e+11,3.20366e+09,7.94983e+08,8.32165e+08
0,2,7730.15,4.06046e+09,1.01096e+08,2.66016e+07,3.62848e+06
0,2,576.337,2.68298e+08,484878,254003,32715.2
0,2,2560.48,3.16626e+08,1.05822e+06,700939,45141.8
0,2,5173.91,6.30666e+09,4.90766e+06,1.48725e+06,1.34194e+06
0,2,2590.7,7.48134e+08,1.23878e+06,1.3568e+06,28035.3
0,2,559.882,7.13402e+08,952732,959732,6451.65
0,2,27426.2,1.75654e+10,8.44404e+07,3.05309e+07,1.50246e+07
0,2,5119.66,1.34463e+09,2.71638e+06,1.46138e+06,181240
0,3,309.302,5.20493e+08,0,0,0
0,3,141.773,9.77958e+07,0,0,0
0,3,419.666,4.81498e+08,0,0,0
0,3,60.2918,2.04165e+08,0,0,0
0,3,9.42728,193876,0,0,0
0,3,31.9531,7.46208e+07,0,0,0
0,3,8.84971,2.95216e+08,0,0,0
