GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,650091,105132,-2.35147,0,0.5,2,36716.1,29,1,30,30,0
0,0,4843.4,341538,341538,65821.6,-2.71651,0,0.5,2,165186,25,1,30,26,4
0,0,47894.7,1.45505e+06,1.12783e+06,68488.8,-2.30426,0,0.5,2,0,4294967295,0,30,30,0
0,0,34.9748,1244.13,1244.13,2.44772e+07,-2.20756,11,0.5,2,-1.13687e-13,17,1,18,6,12
0,0,311.815,11091.5,11091.5,674080,-2.50065,16,0.5,2,0,25,1,13,9,4
0,0,1639.09,27531.8,27531.8,200074,-2.30151,17,0.5,2,0,27,1,12,10,2
0,0,1622.54,26021,14810.9,1.21807e+06,-2.30151,22,0.5,2,0,4294967295,0,7,7,0
0,0,34.9748,1244.13,383.67,3.12513e+06,-2.20756,26,0.5,2,0,4294967295,0,3,3,0
0,0,356.991,4582.57,1618.13,5.55117e+07,-2.46243,26,0.5,2,0,4294967295,0,3,3,0
0,0,44.7141,454.929,402.422,2.061e+07,-2.20265,26,0.5,2,0,4294967295,0,3,3,0
0,0,311.815,11091.5,950.066,1.36197e+07,-2.50065,27,0.5,2,0,4294967295,0,2,2,0
0,0,34.3113,1190.21,195.358,5.36031e+06,-2.20756,27,0.5,2,0,4294967295,0,2,2,0
0,0,335.905,4266.56,607.472,622030,-2.46243,28,0.5,2,0,4294967295,0,1,1,0
0,0,1639.09,27531.8,1639.09,2.24979e+06,-2.30151,29,0.5,2,0,4294967295,0,0,0,0
0,0,311.815,11091.5,311.815,1.59541e+07,-2.50065,29,0.5,2,0,4294967295,0,0,0,0
0,0,34.9748,1244.13,34.9748,1.44881e+09,-2.20756,29,0.5,2,0,4294967295,0,0,0,0
0,1,3983.37,88845.1,34377.1,228.661,-0.000167489,10,0.5,3.47268,0,4294967295,0,19,19,0
0,2,1012.88,81987.1,81987.1,54131.3,-2.24328,0,0.5,2.47573,2465.67,29,1,30,30,0
0,2,25.4953,542.267,542.267,310276,-2.35147,12,0.5,2.00179,0,17,1,17,5,12
0,2,41.4166,2477.3,1411.72,7.3784e+07,-2.34468,22,0.5,2.00861,0,4294967295,0,7,7,0
0,2,257.878,8727.34,8727.34,5.75996e+06,-2.50065,22,0.5,2.45226,4062.57,27,1,7,5,2
0,2,1557.62,23118.1,15560.3,1.47208e+06,-2.46243,23,0.5,2.45248,192.032,4294967295,0,6,6,0
0,2,142.185,4873.67,2033.63,2.12118e+08,-2.20756,23,0.5,2.02584,181.728,4294967295,0,6,6,0
0,2,141.946,4685.81,539.186,1.34157e+07,-2.20756,25,0.5,2.00064,0,4294967295,0,4,4,0
0,2,28.7421,543.915,185.571,4.56563e+06,-2.35147,25,0.5,2.00008,0,4294967295,0,4,4,0
0,2,26.8905,525.704,77.7078,5.47895e+06,-2.35147,27,0.5,2.00025,0,4294967295,0,2,2,0
