Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377480,170860,269018,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62535e+08,1.10023e+09,9.0854e+07,617953,129943,514229,2.55602e+07,3.74851e+07,3.81831e+07
6, 1,1.38355e+08,7.03835e+08,6.88901e+07,791249,55929,878843,2.97032e+07,4.87578e+07,4.19984e+07
7, 1,9.271e+07,5.3146e+08,4.4914e+07,1.42972e+06,46850.5,2.76334e+06,3.42538e+07,4.18483e+07,4.58672e+07
8, 1,8.00796e+07,3.76542e+08,2.57589e+07,2.11235e+06,83681.6,6.44104e+06,3.14194e+07,3.61557e+07,4.63957e+07
9, 1,7.73352e+07,1.4937e+08,2.40957e+07,2.72861e+06,109325,1.14565e+07,2.55543e+07,3.00732e+07,3.94141e+07
10, 1,7.94639e+07,1.03e+08,2.66921e+07,3.13165e+06,138131,1.5894e+07,2.74787e+07,2.73984e+07,4.1663e+07
11, 1,8.42375e+07,8.25351e+07,2.99212e+07,3.46482e+06,138990,1.94787e+07,2.99516e+07,2.51373e+07,4.50326e+07
12, 1,9.25432e+07,5.66241e+07,2.75068e+07,9.20354e+06,258087,6.11259e+07,2.87915e+07,1.88517e+07,3.37055e+07
13, 2,1.10713e+08,4.62653e+07,2.5555e+07,2.00964e+07,573743,1.53988e+08,2.33201e+07,1.27268e+07,2.56047e+07
14, 2,1.32542e+08,4.14158e+07,2.60748e+07,3.62611e+07,1.46386e+06,2.8385e+08,2.03562e+07,1.34767e+07,2.08972e+07
15, 2,1.48525e+08,4.31234e+07,2.76074e+07,5.0242e+07,3.34898e+06,3.93216e+08,2.10163e+07,1.31621e+07,1.95032e+07
16, 2,1.78737e+08,2.85002e+07,2.94253e+07,9.80284e+07,7.6246e+06,9.07137e+08,2.15318e+07,1.47173e+07,1.60899e+07
17, 2,2.15047e+08,3.07983e+07,3.42556e+07,2.33565e+08,2.70745e+07,1.54107e+09,2.40702e+07,1.87524e+07,1.62953e+07
18, 2,2.67607e+08,3.68876e+07,4.33999e+07,3.9313e+08,7.65598e+07,1.79271e+09,2.75195e+07,2.72214e+07,1.71158e+07
19, 2,3.55512e+08,3.60851e+07,6.33275e+07,5.41969e+08,2.41191e+08,1.68512e+09,3.14064e+07,4.29136e+07,1.78621e+07
20, 2,4.66014e+08,2.63036e+07,9.83575e+07,7.36268e+08,4.42175e+08,1.03213e+09,3.40998e+07,6.02223e+07,1.99015e+07
21, 2,5.40984e+08,3.37443e+07,1.28572e+08,8.24584e+08,6.44521e+08,4.63384e+08,3.64189e+07,7.78312e+07,2.352e+07
22, 2,5.89435e+08,3.20044e+07,1.48833e+08,6.74855e+08,6.28856e+08,2.56699e+08,3.79548e+07,9.73193e+07,2.83512e+07
23, 2,6.50784e+08,2.06193e+07,1.56135e+08,7.32942e+08,5.38719e+08,2.4182e+08,3.95032e+07,1.22214e+08,3.02605e+07
24, 2,7.77943e+08,6125.7,3.90173e+08,1.36447e+08,2.06018e+08,3.08997e+08,4.30862e+07,2.3135e+08,4.13797e+07
25, 3,7.65066e+08,2195.3,2.61396e+08,1.56213e+07,1.19228e+08,5.28594e+07,4.38522e+07,2.33598e+08,4.22842e+07
26, 3,7.37048e+08,1826.79,3.90501e+08,1.48789e+07,1.21413e+08,3.77291e+07,4.73972e+07,2.16372e+08,3.85404e+07
27, 3,6.24748e+08,3961.06,5.34023e+08,8.40844e+06,1.01231e+08,3.18144e+07,5.35553e+07,2.05436e+08,3.4322e+07
28, 3,5.11932e+08,6750.37,6.42388e+08,1.02134e+07,1.06464e+08,2.74112e+07,5.69427e+07,2.50078e+08,3.58881e+07
29, 3,4.386e+08,9017.59,6.98587e+08,8.22763e+06,7.54911e+07,1.51784e+07,4.36576e+07,2.85692e+08,3.21185e+07
30, 3,4.17298e+08,7860.7,6.86847e+08,6.69559e+06,4.99184e+07,9.57764e+06,4.59934e+07,3.31006e+08,3.10144e+07
31, 3,4.01405e+08,7951.13,6.55851e+08,4.44136e+06,3.82642e+07,1.05378e+07,5.02618e+07,3.44385e+08,3.29742e+07
32, 3,4.40428e+08,8695.6,5.93871e+08,3.81047e+06,2.89612e+07,1.06074e+07,5.13976e+07,3.5918e+08,3.28105e+07
33, 3,4.89209e+08,10421.8,5.28202e+08,3.16904e+06,2.34265e+07,1.14309e+07,5.34911e+07,3.56974e+08,3.3358e+07
34, 3,5.18721e+08,10595,4.64678e+08,2.64947e+06,1.70806e+07,1.1275e+07,5.6094e+07,3.4772e+08,3.4051e+07
35, 3,5.53529e+08,9873.63,4.21215e+08,2.45317e+06,1.14942e+07,1.16335e+07,6.07072e+07,3.59182e+08,3.57252e+07
