Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377722,170860,269019,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62779e+08,1.10111e+09,9.09351e+07,620048,129809,514279,2.55182e+07,3.74861e+07,3.81267e+07
6, 1,1.38465e+08,7.04799e+08,6.90153e+07,942702,54604.1,879677,2.96773e+07,4.86428e+07,4.19686e+07
7, 1,8.75989e+07,5.36143e+08,4.99268e+07,1.64287e+06,40846.7,2.80736e+06,3.40525e+07,4.72665e+07,4.62451e+07
8, 1,7.67231e+07,3.91905e+08,2.7678e+07,2.46745e+06,65283.2,6.61216e+06,3.22048e+07,3.68043e+07,4.64474e+07
9, 1,7.43837e+07,1.61295e+08,2.67448e+07,3.21245e+06,100434,1.18034e+07,2.67437e+07,2.72764e+07,4.05525e+07
10, 1,7.60954e+07,1.03951e+08,2.8373e+07,3.66373e+06,105067,1.62954e+07,2.81101e+07,2.44657e+07,4.22376e+07
11, 1,8.07844e+07,8.10831e+07,3.18059e+07,4.0784e+06,95889.8,2.00153e+07,3.06455e+07,2.25419e+07,4.56402e+07
12, 1,8.87216e+07,5.05071e+07,2.79484e+07,1.093e+07,170234,6.3552e+07,2.90813e+07,1.6228e+07,3.49999e+07
13, 2,1.07603e+08,4.82899e+07,2.72009e+07,2.44271e+07,371586,1.58734e+08,2.39517e+07,1.32148e+07,2.37261e+07
14, 2,1.34838e+08,4.03035e+07,2.80844e+07,4.17078e+07,853453,2.99595e+08,2.06765e+07,1.41898e+07,1.6534e+07
15, 2,1.55631e+08,4.09657e+07,3.04259e+07,6.95367e+07,1.48936e+06,4.17339e+08,2.179e+07,1.57808e+07,1.58516e+07
16, 2,1.88853e+08,4.18312e+07,3.48456e+07,1.45336e+08,3.64424e+06,9.73858e+08,2.36498e+07,1.64816e+07,1.48158e+07
17, 2,2.39077e+08,2.57691e+07,4.22772e+07,3.08236e+08,1.1521e+07,1.61611e+09,2.5657e+07,1.92056e+07,1.47238e+07
18, 2,2.9243e+08,2.74505e+07,6.90582e+07,6.64279e+08,3.36422e+07,1.94418e+09,3.07887e+07,2.94106e+07,1.66358e+07
19, 2,3.13201e+08,1.38643e+07,2.22542e+08,1.05309e+09,1.00513e+08,1.81214e+09,3.70721e+07,4.53733e+07,1.96713e+07
20, 2,3.30838e+08,1.64102e+07,5.31661e+08,7.75241e+08,1.96121e+08,1.10452e+09,4.26764e+07,6.66738e+07,2.45544e+07
21, 2,3.3951e+08,2.61923e+07,9.4054e+08,2.68644e+08,1.03194e+08,4.62395e+08,4.74111e+07,1.0021e+08,2.7421e+07
22, 2,3.36934e+08,2.73211e+07,8.97316e+08,1.29954e+08,1.02922e+08,1.27209e+08,5.15811e+07,1.36245e+08,2.84496e+07
23, 2,3.54438e+08,3.34015e+07,8.64874e+08,1.23809e+08,1.03952e+08,1.10924e+08,5.69422e+07,1.45489e+08,2.90107e+07
24, 2,3.49104e+08,2.71149e+07,3.19003e+08,1.84271e+07,9.02473e+06,1.23455e+07,6.38611e+07,1.43046e+08,3.15412e+07
25, 3,3.87819e+08,7.15914e+06,2.80548e+08,1.98358e+07,7.97317e+06,1.08963e+07,8.73143e+07,1.68394e+08,3.37662e+07
26, 3,4.65447e+08,331925,2.76592e+08,1.59102e+07,9.55738e+06,7.36986e+06,8.35951e+07,2.10226e+08,3.37396e+07
27, 3,5.55797e+08,1625.18,2.82456e+08,7.21031e+06,1.34608e+07,4.49551e+06,7.9445e+07,2.64316e+08,3.44145e+07
28, 3,5.96726e+08,2599.93,3.05244e+08,6.75536e+06,1.80486e+07,4.38506e+06,7.9431e+07,3.18722e+08,3.35042e+07
29, 3,5.89213e+08,2434.37,3.53227e+08,5.9841e+06,1.86654e+07,4.73483e+06,8.88698e+07,3.91693e+08,3.45403e+07
30, 3,6.47929e+08,2715.56,4.01192e+08,5.19725e+06,1.58894e+06,5.05021e+06,5.22387e+07,4.33575e+08,3.81646e+07
31, 3,7.0231e+08,4123.35,4.13058e+08,5.51362e+06,769769,5.61202e+06,4.54993e+07,4.80917e+08,4.06618e+07
32, 3,7.453e+08,5170.13,4.38563e+08,5.46925e+06,574611,6.26969e+06,4.39267e+07,5.13601e+08,3.87741e+07
33, 3,7.75216e+08,7269.12,4.54651e+08,5.3516e+06,571843,7.43439e+06,4.34621e+07,5.28654e+08,3.91346e+07
34, 3,7.90152e+08,7565.77,4.6208e+08,4.31714e+06,650034,8.02268e+06,4.20109e+07,5.44404e+08,4.01078e+07
35, 3,8.55506e+08,8806.63,4.47131e+08,3.75629e+06,587793,8.1368e+06,4.38267e+07,5.36478e+08,4.22762e+07
