FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,2.03544e+07,3.18679e+07
0,1,10,3.70441e+08,6.58154e+08
0,10,100,1.92832e+07,9.03632e+07
0,100,1000,1.20694e+06,8.53276e+07
0,1000,10000,55069.8,8.04112e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.61215e+06,5.07041e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,596942,175115
2,1,10,1.9391e+07,5.24779e+07
2,10,100,744996,4.71159e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,6.99146e+06,484123
3,0.1,1,1.26198e+07,9.34896e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,16958.5,3483.25
4,0.1,1,764537,116396
4,1,10,448450,57260.1
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,2.3835e+09,1.30019e+07
5,0.01,0.1,3.9002e+07,1.26503e+06
5,0.1,1,4.73932e+07,3.76514e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.21193e+06,131495
6,0.1,1,984542,679546
6,1,10,4.7381e+07,6.60814e+07
6,10,100,2.20918e+06,2.40399e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,1.43072e+06,314237
7,1,10,1.30954e+08,1.61574e+08
7,10,100,1.92712e+08,3.33465e+08
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,1.25231e+07,7.43743e+06
8,1,10,2.53881e+07,1.7073e+07
8,10,100,1.29157e+06,7.76691e+06
8,100,1000,0,0
8,1000,10000,0,0
