FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,0,0
0,0.1,1,5.67731e+08,9.39966e+07
0,1,10,1.12231e+09,1.79509e+08
0,10,100,7.6922e+07,8.67696e+07
0,100,1000,264555,1.18502e+08
0,1000,10000,74910.3,6.8326e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,0,0
1,10,100,1.27629e+06,2.28911e+07
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,0,0
2,0.1,1,5.01644e+07,3.91095e+06
2,1,10,4.65628e+08,5.70777e+08
2,10,100,5.96057e+06,1.36555e+07
2,100,1000,0,0
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,0,0
3,0.01,0.1,1.08156e+08,8.09056e+06
3,0.1,1,1.23353e+08,9.83929e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,27553,120.019
4,0.1,1,1.95861e+08,7.76631e+06
4,1,10,1.22954e+07,1.69386e+07
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,1.94709e+07,24832.6
5,0.01,0.1,2.92611e+06,121974
5,0.1,1,1.51178e+08,2.06751e+07
5,1,10,0,0
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,1.20778e+07,298782
6,0.1,1,2.76093e+08,2.37721e+07
6,1,10,1.29508e+07,3.26519e+07
6,10,100,2.70657e+06,1.76201e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,0,0
7,0.1,1,3.72026e+08,9.02292e+07
7,1,10,3.13674e+08,1.27483e+08
7,10,100,4.41599e+07,7.52341e+07
7,100,1000,0,0
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,0,0
8,0.1,1,0,0
8,1,10,2.28245e+08,4.13224e+07
8,10,100,301993,7.70113e+06
8,100,1000,0,0
8,1000,10000,0,0
