GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.32996e+10,0,0,0
0,0,1.45505e+06,1.15951e+10,0,0,0
0,0,2189.77,145809,0,0,0
0,0,288821,6.73319e+09,0,0,0
0,0,1145.78,3.48322e+10,0,0,0
0,0,4220.88,1.60807e+10,0,0,0
0,0,11569.4,2.36184e+10,0,0,0
0,0,24147.8,1.13072e+10,0,0,0
0,0,25327.3,6.72653e+08,0,0,0
0,0,494.724,3.89309e+11,0,0,0
0,0,4031.22,5.51837e+10,0,0,0
0,0,1222.54,0,0,0,0
0,0,3859.9,0,0,0,0
0,0,2189.77,0,0,0,0
0,1,93995,0,5.90501e+09,2.08875e+08,6.48355e+07
0,1,118120,0,6.75743e+06,234498,1.03267e+06
0,2,2556.96,5.77362e+08,1.60355e+09,6.75974e+08,1.377e+08
0,2,81987.1,1.12135e+09,2.85886e+07,2.52156e+06,1.0599e+06
0,2,4895.17,6.32614e+09,1.79334e+09,1.46579e+09,4.45348e+08
0,2,32453.1,5.12654e+08,9.7874e+07,1.97457e+07,2.44156e+07
0,2,8727.34,3.00928e+08,5.79074e+07,2.78369e+07,3.58285e+07
0,2,667.971,1.73637e+10,1.07828e+10,3.51643e+10,6.64644e+08
0,2,2787.23,2.44528e+10,5.60759e+08,5.03514e+09,2.48054e+08
0,2,32467.5,2.84817e+09,9.12478e+08,3.06433e+08,3.17493e+08
0,2,8458.8,9.68257e+09,7.02943e+10,1.03376e+10,1.64753e+09
0,2,8850.17,9.75093e+08,1.782e+08,3.94551e+08,1.83232e+07
0,2,5113.23,1.30556e+11,4.49474e+09,1.12017e+09,4.99768e+08
0,2,650.755,1.51009e+11,1.98899e+07,1.3856e+07,2943.19
0,2,2617.43,3.33762e+09,1.30736e+06,6.02229e+06,93066
0,2,968.3,2.09096e+08,33497.5,16417.2,936.513
0,2,4895.17,0,0,0,0
0,2,2719.61,0,0,0,0
0,3,78.0637,1.83544e+09,0,0,0
0,3,270.058,2.49982e+09,0,0,0
0,3,34.7668,3.39907e+06,0,0,0
0,3,10.1832,40.8264,0,0,0
0,3,134.231,167165,0,0,0
0,3,10.5579,3819.09,0,0,0
0,3,17.5973,3.62934e+08,0,0,0
0,3,422.172,5.87036e+09,0,0,0
0,4,253.046,0,1.21826e+07,1.39732e+06,1.47368e+06
0,4,37.6244,0,159819,2.76973e+06,0
0,4,1490.56,0,3.39086e+09,4.72589e+08,1.50078e+08
0,4,637.969,0,18527.9,2.552e+06,237.433
0,5,746.122,2.09494e+09,6.46526e+06,6.20654e+07,5.9568e+06
0,5,1053.01,1.78942e+09,1.59354e+06,4.13954e+06,290487
0,5,79.3274,1.77782e+08,9.61632e-07,39923.6,0
0,5,3.27486,1.51024e+08,0,0,0
0,5,2.27067,0,0,0,0
0,5,13.0006,0,0,0,0
0,6,8001.09,8.28425e+06,0,0,0
0,6,2843.29,6.62055e+09,0,0,0
0,6,59564.8,9.17711e+08,0,0,0
0,6,11991.1,1.36792e+08,0,0,0
0,6,441.725,1.53611e+07,0,0,0
0,6,866.046,3.35836e+09,0,0,0
0,6,2459.61,1.53193e+07,0,0,0
0,6,1391.96,7.20288e+07,0,0,0
0,6,2402.83,1.19383e+06,0,0,0
0,6,1352.5,3.84329e+07,0,0,0
0,6,12637.6,9.57943e+08,0,0,0
0,6,8001.09,8.08087e+07,0,0,0
0,6,436.4,2.58663e+08,0,0,0
0,6,71.3728,2.81457e+07,0,0,0
0,6,3111.4,1.29195e+10,0,0,0
0,6,2459.87,1.85356e+07,0,0,0
0,6,489.73,3.13719e+07,0,0,0
0,6,840.315,0,0,0,0
0,6,8188.68,0,0,0,0
0,7,7498.23,0,2.72051e+08,9.88824e+07,1.10056e+08
0,7,10582.5,0,6.98972e+08,6.11421e+07,2.78818e+08
0,7,1779.77,0,6.2329e+08,1.15552e+08,9.67757e+06
0,7,29259.5,0,8.97524e+08,2.16062e+08,1.16583e+08
0,7,46430.1,0,1.01196e+09,2.95706e+08,2.2538e+08
0,7,247.583,0,3.23523e+08,9.92732e+08,2.65412e+07
0,7,885.697,0,1.43481e+09,2.7449e+08,7.01067e+07
0,7,389.559,0,1.37885e+08,1.16656e+08,8.18336e+06
