GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,650091,62956.8,-2.35147,0,0.5,2,245257,29,1,34,30,4
0,0,3464.99,406028,406028,62749.4,-2.34468,0,0.5,2,226295,28,1,34,29,5
0,0,47894.7,1.45505e+06,1.45505e+06,55506,-2.30426,0,0.5,2,796.598,33,1,34,34,0
0,0,41.1811,475.637,475.637,3404.88,-2.20265,15,0.5,2,1374.75,19,1,18,4,14
0,0,296.35,11608.2,11608.2,1.7143e+06,-2.50065,16,0.5,2,15601.6,26,1,17,10,7
0,0,354.691,3893.87,3893.87,1.05229e+06,-2.46243,16,0.5,2,7364.22,22,1,17,6,11
0,0,1666.32,25331.7,25331.7,1.53486e+06,-2.30151,22,0.5,2,8255.65,32,1,11,10,1
0,0,37.6379,1145.78,1145.78,3.33213e+06,-2.20756,22,0.5,2,2493.09,28,1,11,6,5
0,0,40.4666,2107.61,2107.61,387.592,-2.24328,26,0.5,2,638.535,33,1,7,7,0
0,0,40.5932,2176.34,1192.58,8.70797,-2.24328,28,0.5,2,0,4294967295,0,5,5,0
0,0,361.06,4052.18,2841.34,3.34193e+07,-2.46243,28,0.5,2,0,4294967295,0,5,5,0
0,0,41.1811,475.637,475.637,1.19459e+06,-2.20265,28,0.5,2,596.309,32,1,5,4,1
0,0,37.2225,1204.62,690.276,702336,-2.20756,29,0.5,2,0,4294967295,0,4,4,0
0,0,1771.22,27052.1,6616.95,1.16644e+07,-2.30151,29,0.5,2,0,4294967295,0,4,4,0
0,0,39.35,500.941,500.941,861716,-2.20265,29,0.5,2,208.813,33,1,4,4,0
0,1,4444.08,95444.3,73455.7,3877.17,-0.000167489,10,0.5,3.65029,0,4294967295,0,23,23,0
0,2,1012.88,81987.1,81987.1,28657.4,-2.24328,0,0.5,2.25228,36690,28,1,34,29,5
0,2,41.8346,2556.96,2556.96,11156.6,-2.34468,13,0.5,2.00134,3209.25,19,1,20,6,14
0,2,1673.33,26501.5,26501.5,905448,-2.46243,22,0.5,2.87366,34007.1,29,1,11,7,4
0,2,273.889,8563.75,8563.75,5.86547e+06,-2.50065,22,0.5,2.1403,8080.62,29,1,11,7,4
0,2,41.8385,2539.87,2059.93,2.69333e+07,-2.34468,22,0.5,2.00096,0,4294967295,0,11,11,0
0,2,127.154,5408.27,2780.55,5.51785e+07,-2.20756,22,0.5,2.00372,0,4294967295,0,11,11,0
0,2,40.7251,2705.74,948.494,807000,-2.34468,24,0.5,2.00169,0,4294967295,0,9,9,0
0,2,1469.72,27111.5,8847.17,973617,-2.46243,25,0.5,2.11723,0,4294967295,0,8,8,0
0,2,25.9362,560.05,459.999,819328,-2.35147,26,0.5,2.00671,0,4294967295,0,7,7,0
0,2,122.143,5148.91,970.884,2.3924e+06,-2.20756,26,0.5,2.00209,0,4294967295,0,7,7,0
0,2,255.775,8260.56,1636.96,4.49013e+06,-2.50065,26,0.5,2.00163,0,4294967295,0,7,7,0
0,2,41.8346,2556.96,447.652,220492,-2.34468,27,0.5,2.00651,0,4294967295,0,6,6,0
0,2,115.515,5307.55,615.606,1.28293e+06,-2.20756,28,0.5,2.00599,0,4294967295,0,5,5,0
0,2,23.9648,542.686,237.223,1.00152e+06,-2.35147,28,0.5,2.00828,0,4294967295,0,5,5,0
0,3,13.2471,315.091,315.091,854911,-2.50065,22,0.093576,2,558.767,29,1,11,7,4
0,3,39.7731,449.201,449.201,1.54679e+06,-2.30426,22,0.093576,2,809.708,28,1,11,6,5
0,3,0.712759,11.6615,11.6615,9.0102e+06,-2.35147,26,0.093576,2,51.6896,29,1,7,3,4
0,3,8.2483,71.2261,71.2261,533780,-2.46243,27,0.093576,2,115.108,30,1,6,3,3
0,3,3.10806,19.8399,19.8399,1.55451e+07,-2.30151,28,0.093576,2,48.0574,30,1,5,2,3
0,3,5.14845,144.463,70.7942,1.31969e+07,-2.20756,29,0.093576,2,0,4294967295,0,4,4,0
0,4,3.2236,97.4939,60.0841,587665,-2.24328,22,0.093576,3.48354,0,4294967295,0,11,11,0
0,4,18.0015,654.016,102.076,1.61828e+06,-2.71651,22,0.093576,3.48038,0,4294967295,0,11,11,0
0,4,24.857,248.994,163.135,372647,-2.30151,22,0.093576,3.41109,0,4294967295,0,11,11,0
0,4,5.61705,37.7581,37.7581,178511,-2.46243,22,0.093576,3.49977,42.3159,31,1,11,9,2
0,4,100.008,1503.11,284.158,829761,-2.20265,27,0.093576,3.39552,0,4294967295,0,6,6,0
0,5,4.05075,88.4014,88.4014,531030,-2.50065,22,0.093576,2.00801,166.458,29,1,11,7,4
0,5,21.7852,717.169,717.169,2.71318e+06,-2.20756,22,0.093576,2.00436,98.504,33,1,11,11,0
0,5,1.53487,10.8892,10.8892,6.48969e+06,-2.20265,26,0.093576,2.02315,36.1257,29,1,7,3,4
0,5,0.165848,2.02969,2.02969,2.0012e+06,-2.71651,27,0.093576,2,9.42093,30,1,6,3,3
0,5,0.153858,2.2296,2.2296,2.30371e+08,-2.71651,28,0.093576,2,6.63607,31,1,5,3,2
0,5,1.45737,26.8298,20.9254,6.2781e+07,-2.35147,29,0.093576,2.02474,0,4294967295,0,4,4,0
0,6,1083.88,16165.1,16165.1,19197.1,-2.46243,0,0.093576,2,11246.5,16,1,34,17,17
0,6,113.119,8001.09,8001.09,1565.43,-2.34468,0,0.093576,2,8063.58,17,1,34,18,16
0,6,1178.32,59102.4,59102.4,140817,-2.20756,0,0.093576,2,12587.3,30,1,34,31,3
0,6,36.2719,920.112,920.112,2.60272e+06,-2.35147,16,0.093576,2,1291.84,25,1,17,9,8
0,6,66.0602,2326.3,2067.54,192887,-2.71651,22,0.093576,2,0.354708,4294967295,0,11,11,0
0,6,20.6238,479.552,479.552,744391,-2.50065,22,0.093576,2,642.081,29,1,11,7,4
0,6,202.254,2843.29,2843.29,9.90274e+06,-2.30426,22,0.093576,2,778.903,32,1,11,10,1
0,6,28.9615,1391.96,1391.96,154991,-2.24328,22,0.093576,2,131.456,33,1,11,11,0
0,6,6.27586,76.7934,76.7934,93955.3,-2.20265,24,0.093576,2,175.961,28,1,9,4,5
0,6,34.1196,983.253,608.545,1.03716e+06,-2.35147,26,0.093576,2,0,4294967295,0,7,7,0
0,6,119.095,8891.54,1146.46,883153,-2.34468,26,0.093576,2,0,4294967295,0,7,7,0
0,6,22.0011,413.964,413.964,112186,-2.50065,26,0.093576,2,83.1565,33,1,7,7,0
0,6,1118.58,15893.8,3783.27,4.81638e+06,-2.46243,27,0.093576,2,0,4294967295,0,6,6,0
0,6,6.43182,76.888,76.888,1.35669e+06,-2.20265,27,0.093576,2,99.4345,31,1,6,4,2
0,6,36.4525,935.399,335.774,849638,-2.35147,28,0.093576,2,0,4294967295,0,5,5,0
0,6,202.254,2843.29,956.253,2.03278e+06,-2.30426,28,0.093576,2,0,4294967295,0,5,5,0
0,6,6.05157,76.5142,76.5142,5.25234e+06,-2.20265,29,0.093576,2,1.01627,33,1,4,4,0
0,7,551.678,7498.23,7498.23,2.57347e+06,-2.46243,0,0.093576,3.58755,12707.9,18,1,34,19,15
0,7,144.347,10582.5,10582.5,81093.7,-2.34468,0,0.093576,3.48667,17055.5,21,1,34,22,12
0,7,633.422,29259.5,29259.5,82031.6,-2.18799,0,0.093576,3.49354,26801.7,21,1,34,22,12
0,7,1110.39,46430.1,46430.1,73489.4,-2.50065,0,0.093576,3.48911,47643.3,22,1,34,23,11
0,7,28.7018,958.171,958.171,75478.1,-2.71651,17,0.093576,3.01751,279.426,22,1,16,5,11
0,7,22.5003,248.164,248.164,354944,-2.30426,22,0.093576,3.25132,178.055,26,1,11,4,7
0,7,27.2772,928.035,332.8,341361,-2.71651,22,0.093576,3.36545,0,4294967295,0,11,11,0
0,7,631.221,31509.6,21539.1,7.75408e+06,-2.18799,23,0.093576,3.46343,0,4294967295,0,10,10,0
0,7,122.678,1966.88,1966.88,1.31806e+07,-2.20265,23,0.093576,3.30335,1349.68,29,1,10,6,4
0,7,148.498,10787,2040.24,2.3212e+07,-2.34468,24,0.093576,3.30505,0,4294967295,0,9,9,0
