Pred_AdlBM,Pred_FunctionalGroupIndex,Prey_LowerBodyMassBin,Prey_Diet,Prey_Thermoregulation,Prey_BiomassConsumed
98695,1,1000,H,Ecto,5.19769
98695,1,10000,H,Ecto,38804.9
98695,1,1000,H,Endo,33646.1
98695,1,10000,H,Endo,1.16119e+06
98695,1,1000,O,Ecto,7492.56
98695,1,10000,O,Ecto,160582
98695,1,1000,O,Endo,50027.3
98695,1,10000,O,Endo,33044.5
98695,1,1000,C,Ecto,1072.57
98695,1,10000,C,Ecto,186968
26501.5,2,100,H,Ecto,0.88697
26501.5,2,1000,H,Ecto,2.57735e+07
26501.5,2,10000,H,Ecto,101513
26501.5,2,100,H,Endo,1.23969e+07
26501.5,2,1000,H,Endo,3.54639e+08
26501.5,2,10000,H,Endo,120106
26501.5,2,100,O,Ecto,5636.18
26501.5,2,1000,O,Ecto,1.64696e+06
26501.5,2,100,O,Endo,9.50494e+06
26501.5,2,1000,O,Endo,7.53309e+06
26501.5,2,10000,O,Endo,259274
26501.5,2,100,C,Ecto,262556
26501.5,2,1000,C,Ecto,3.48345e+06
26501.5,2,10000,C,Ecto,566190
2556.96,2,10,H,Ecto,4.94264
2556.96,2,100,H,Ecto,1.05989e+06
2556.96,2,1000,H,Ecto,524137
2556.96,2,10000,H,Ecto,565.533
2556.96,2,100,H,Endo,1.59491e+09
2556.96,2,1000,H,Endo,4.56061e+08
2556.96,2,10000,H,Endo,897.552
2556.96,2,100,O,Ecto,1.1191e+06
2556.96,2,1000,O,Ecto,2.20814e+06
2556.96,2,100,O,Endo,1.80538e+07
2556.96,2,1000,O,Endo,1.37537e+09
2556.96,2,100,C,Ecto,3.69229e+07
2556.96,2,1000,C,Ecto,5.65016e+06
2556.96,2,10000,C,Ecto,8.76158e+06
81987.1,2,1000,H,Ecto,4.77333e+06
81987.1,2,10000,H,Ecto,37734
81987.1,2,1000,H,Endo,2.12619e+07
81987.1,2,10000,H,Endo,1.39493e+06
81987.1,2,1000,O,Ecto,338197
81987.1,2,10000,O,Ecto,6111.23
81987.1,2,1000,O,Endo,6.21005e+06
81987.1,2,10000,O,Endo,2.29661e+06
81987.1,2,1000,C,Ecto,112136
81987.1,2,10000,C,Ecto,426641
81987.1,2,10000,C,Endo,0.000352333
8727.34,2,100,H,Ecto,1047.04
8727.34,2,1000,H,Ecto,6.71956e+06
8727.34,2,10000,H,Ecto,58831.3
8727.34,2,100,H,Endo,3.72217e+08
8727.34,2,1000,H,Endo,3.04179e+08
8727.34,2,10000,H,Endo,1.07673e+06
8727.34,2,100,O,Ecto,8850.31
8727.34,2,1000,O,Ecto,854068
8727.34,2,100,O,Endo,2.48189e+07
8727.34,2,1000,O,Endo,7.3767e+06
8727.34,2,10000,O,Endo,213.664
8727.34,2,100,C,Ecto,1.52366e+06
8727.34,2,1000,C,Ecto,5.1203e+06
8727.34,2,10000,C,Ecto,2.26981e+06
627.31,2,10,H,Ecto,1.96416e+07
627.31,2,100,H,Ecto,3.09748e+07
627.31,2,1000,H,Ecto,847.786
627.31,2,100,H,Endo,1.05139e+11
627.31,2,1000,H,Endo,1.2992e+09
627.31,2,10,O,Ecto,1.41617e+07
