Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377621,170859,269259,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62982e+08,1.10084e+09,9.10776e+07,614857,130615,515184,2.57506e+07,3.74961e+07,3.84359e+07
6, 1,1.38814e+08,7.04538e+08,6.92247e+07,798674,55834.6,889664,2.99119e+07,4.87474e+07,4.22547e+07
7, 1,8.7864e+07,5.36322e+08,5.01183e+07,1.37229e+06,42478.2,2.84343e+06,3.43116e+07,4.72687e+07,4.65515e+07
8, 1,7.70156e+07,3.9219e+08,2.78136e+07,2.0076e+06,67424.8,6.69592e+06,3.24265e+07,3.71011e+07,4.67475e+07
9, 1,7.47796e+07,1.62225e+08,2.68788e+07,2.57989e+06,107198,1.1944e+07,2.68887e+07,2.77032e+07,4.07978e+07
10, 1,7.65005e+07,1.04062e+08,2.84724e+07,2.93362e+06,109915,1.69744e+07,2.82248e+07,2.48435e+07,4.24627e+07
11, 1,8.1279e+07,8.11661e+07,3.19166e+07,3.2455e+06,100684,2.09085e+07,3.07734e+07,2.29025e+07,4.58835e+07
12, 1,8.59955e+07,5.92932e+07,2.81073e+07,8.51795e+06,168992,6.89033e+07,2.54071e+07,1.98092e+07,3.30684e+07
13, 2,9.82738e+07,4.91855e+07,2.69064e+07,1.8716e+07,374733,1.73058e+08,2.13791e+07,1.34393e+07,2.39109e+07
14, 2,1.1989e+08,4.05332e+07,2.75936e+07,2.92225e+07,865644,3.22174e+08,1.90785e+07,1.35463e+07,1.73701e+07
15, 2,1.40972e+08,1.36618e+07,2.98876e+07,6.33046e+07,1.63822e+06,4.52688e+08,2.03544e+07,1.48091e+07,1.58323e+07
16, 2,1.7528e+08,515172,3.63494e+07,1.17492e+08,5.46154e+06,9.75911e+08,2.2413e+07,1.75922e+07,1.63276e+07
17, 2,2.31121e+08,843.586,4.3835e+07,2.15936e+08,1.55173e+07,1.6346e+09,2.61886e+07,2.38846e+07,1.74916e+07
18, 2,3.27074e+08,1608.4,6.33099e+07,4.17125e+08,5.21785e+07,1.96567e+09,3.16855e+07,3.53257e+07,1.93158e+07
19, 2,4.55839e+08,2610.5,1.64114e+08,8.72394e+08,1.67408e+08,1.61585e+09,3.80284e+07,5.7202e+07,2.22773e+07
20, 2,5.80219e+08,2891.71,3.8806e+08,7.28778e+08,2.7051e+08,9.83407e+08,4.40563e+07,9.28672e+07,2.51824e+07
21, 2,6.87952e+08,2919,6.13782e+08,3.06739e+08,2.13621e+08,5.41804e+08,5.00168e+07,1.27932e+08,2.90568e+07
22, 2,7.23883e+08,3224.02,7.84527e+08,9.23991e+07,1.16073e+08,1.24474e+08,5.58762e+07,1.60026e+08,3.13506e+07
23, 2,7.83207e+08,3255.32,7.8692e+08,8.5965e+07,1.23638e+08,9.60794e+07,6.20717e+07,1.86523e+08,3.39513e+07
24, 2,8.88633e+08,3026.82,3.31184e+08,5.96213e+06,6.61639e+06,1.74409e+07,7.27011e+07,1.52874e+08,4.02736e+07
25, 3,9.60032e+08,3318.18,3.01459e+08,9.57902e+06,5.88749e+06,1.91863e+07,8.40966e+07,1.77293e+08,4.5834e+07
26, 3,1.09359e+09,3307.73,3.16871e+08,1.29891e+07,6.4877e+06,2.35689e+07,9.65214e+07,2.37703e+08,5.39237e+07
27, 3,1.21351e+09,4007.89,3.18731e+08,1.74052e+07,8.42689e+06,2.62023e+07,1.03883e+08,3.0165e+08,5.45277e+07
28, 3,1.2443e+09,4896.45,4.00076e+08,2.20697e+07,8.72442e+06,2.40623e+07,1.103e+08,4.07118e+08,5.69718e+07
29, 3,1.18575e+09,6359.14,4.41707e+08,1.99495e+07,5.0963e+06,1.53742e+07,1.18206e+08,4.51849e+08,5.42552e+07
30, 3,1.04704e+09,6836.31,4.0102e+08,2.20946e+07,3.30921e+06,8.18354e+06,9.98184e+07,5.7819e+08,4.35978e+07
31, 3,9.80763e+08,6824.56,3.62338e+08,1.50013e+07,1.29812e+06,5.60746e+06,1.09546e+08,6.57999e+08,4.00575e+07
32, 3,9.44267e+08,7857.53,3.10985e+08,9.34377e+06,1.13231e+06,2.31711e+06,1.12013e+08,6.76953e+08,3.96085e+07
33, 3,9.09282e+08,9634.46,2.541e+08,6.66074e+06,947644,1.75615e+06,1.06284e+08,6.8271e+08,3.88705e+07
34, 3,8.75783e+08,11175.2,2.11341e+08,5.83879e+06,844460,1.34693e+06,9.51447e+07,6.73004e+08,3.84841e+07
35, 3,8.53163e+08,10405.8,2.02668e+08,5.89843e+06,725505,1.11831e+06,8.84352e+07,7.01126e+08,3.95865e+07
