Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	795	159	1	0	2500	0	2500
0	1	0	831	158	0.993711	0	2500	0	2500
0	2	0	805	153	0.962264	0	2500	0	2500
0	3	0	785	150	0.943396	0	2500	0	2500
0	4	0	832	148	0.930818	0	2500	0	2500
0	5	0	853	145	0.91195	0	2500	0	2500
0	6	0	812	149	0.937107	0	2500	0	2500
0	7	0	793	144	0.90566	0	2500	0	2500
0	8	0	743	142	0.893082	0	2500	0	2500
0	9	0	736	143	0.899371	0	2500	0	2500
0	10	0	692	140	0.880503	0	2500	0	2500
0	11	0	653	140	0.880503	0	2500	0	2500
