GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.40859e+10,0,0,0
0,0,1.45505e+06,1.21647e+10,0,0,0
0,0,288821,3.74712e+09,0,0,0
0,0,10878.2,2.87627e+09,0,0,0
0,0,1164.51,4.33994e+10,0,0,0
0,0,25792.9,7.9854e+09,0,0,0
0,0,461.189,6.86324e+09,0,0,0
0,0,10752.4,8.72306e+09,0,0,0
0,0,3475.44,3.25829e+10,0,0,0
0,0,1204.76,9.09995e+09,0,0,0
0,0,11692.8,6.10308e+09,0,0,0
0,0,288821,8.33179e+09,0,0,0
0,0,438.927,4.09159e+09,0,0,0
0,0,25792.9,0,0,0,0
0,0,1155.39,0,0,0,0
0,1,93898.5,0,1.15968e+09,2.55024e+09,5.67976e+08
0,2,81987.1,1.46355e+09,5.87272e+07,1.63141e+09,2.22152e+07
0,2,4945.71,4.64324e+09,6.40906e+08,7.07317e+08,1.24844e+08
0,2,2574.73,1.02087e+08,911017,8.03464e+06,3.07048e+06
0,2,26151.7,6.61691e+09,2.07331e+10,1.64054e+08,9.40191e+08
0,2,551.767,2.75684e+10,1.25924e+08,4.61735e+07,7.04105e+07
0,2,9638.93,2.07779e+11,6.52868e+10,1.72225e+10,6.28047e+09
0,2,2552.19,7.2671e+09,1.9979e+07,1.81759e+07,1.06276e+07
0,2,540.731,1.2152e+09,80471.3,764.036,42015.8
0,2,489.186,1.75763e+06,290.878,343.053,533.207
0,2,27013.2,3.94553e+09,3.93735e+08,7.01728e+08,1.17358e+08
0,2,2518.01,3.78045e+09,201873,2469.63,119919
0,2,9628.96,4.91767e+09,8.54477e+06,4.89714e+06,1.93874e+06
0,2,908.079,2.42303e+09,50737.4,160.595,16524.3
0,2,2574.73,7.5646e+08,20752.7,70.8175,888.071
0,2,4945.71,1.21765e+10,8.36673e+06,585411,2.12739e+06
0,2,567.481,0,0,0,0
0,3,284.793,1.14877e+07,0,0,0
0,3,141.17,2.03585e+08,0,0,0
0,3,416.958,3.87518e+08,0,0,0
0,3,66.2961,1.34253e+07,0,0,0
0,3,9.44799,7.02072e+07,0,0,0
0,3,33.4751,4.21343e+07,0,0,0
0,3,17.9596,0,0,0,0
0,4,97.1077,0,1365.96,3.82944,7.80921
0,4,37.2994,0,504.83,2.78721,0
0,4,623.153,0,5.95506e+06,1.5577e+06,1.77838e+07
0,4,247.867,0,548438,2894.54,372.438
0,4,1394.2,0,3.2972e+09,4.35887e+07,2.30811e+08
0,5,667.331,2.1252e+09,3.77954e+06,3.39848e+06,1.48259e+06
0,5,2.09635,284798,0,0,0
0,5,11.1087,4.19531e+06,43.4668,0.0103997,0
0,5,3.33994,2.02095e+06,0,0,0
0,5,50.9967,0,0,0,0
0,5,87.1936,0,0,0,0
0,5,2.13889,0,0,0,0
0,6,8001.09,6.58449e+06,0,0,0
0,6,59102.4,1.46795e+09,0,0,0
0,6,11991.1,1.13034e+08,0,0,0
0,6,2459.61,3.68812e+07,0,0,0
0,6,12095.4,1.94455e+09,0,0,0
0,6,764.356,1.57078e+08,0,0,0
0,6,2937.68,7.95189e+09,0,0,0
0,6,8001.09,1.83346e+08,0,0,0
0,6,2424.8,2.24342e+06,0,0,0
0,6,416.812,4.19749e+07,0,0,0
0,6,8172.9,3.75153e+07,0,0,0
0,6,11764.4,2.67335e+08,0,0,0
0,6,74.3299,6.72446e+07,0,0,0
0,6,420.43,3.93603e+07,0,0,0
0,6,866.191,1.81469e+08,0,0,0
0,6,449.802,0,0,0,0
0,6,67.5175,0,0,0,0
0,7,15238.4,0,3.61163e+08,3.21664e+06,1.13666e+07
0,7,10582.5,0,8.01033e+08,5.50809e+07,4.41871e+07
0,7,42193.6,0,2.96493e+09,1.25564e+09,3.84244e+08
0,7,854.504,0,2.36262e+07,6.58435e+07,2.09608e+08
0,7,1779.77,0,2.19216e+07,1.6195e+08,9.27743e+07
0,7,10582.5,0,3.23303e+09,3.03308e+10,7.64206e+09
0,7,244.632,0,1.00202e+09,5.65505e+07,1.76514e+08
0,7,254.264,0,346176,2374.03,0
0,7,7580.9,0,4.00803e+09,1.941e+10,1.33103e+10
0,7,386.111,0,293243,1355.3,2958.15
0,7,1779.77,0,3.74423e+08,4.36951e+08,2.08649e+08
0,7,42193.6,0,2.64074e+09,1.0693e+10,5.9854e+09
0,7,7886.97,0,1.44679e+08,6.56115e+08,1.6729e+09
0,7,11098.9,0,7.01821e+08,4.45628e+08,9.253e+08
0,7,1779.77,0,8.70204e+07,4.97985e+06,1.31827e+07
0,7,43335.4,0,2.85885e+09,1.39245e+09,4.26193e+09
0,7,7605.39,0,1.79869e+07,2.10972e+07,5.00451e+07
0,7,822.296,0,2.62986e+06,2186.68,276.227
0,7,10582.5,0,5.00281e+07,3.03335e+06,1.45159e+07
0,7,15609.6,0,1.95015e+08,7.70201e+07,1.37128e+08
0,8,3645,1.97979e+07,387459,3.27946e+06,883272
0,8,33305.8,6.04783e+08,1.63669e+09,7.50446e+07,1.09656e+08
0,8,6847.92,2.0296e+08,3.0117e+07,3.29554e+07,5.64562e+06
0,8,756.748,4.41143e+08,8.01801e+06,7.83756e+06,2.13498e+07
0,8,6945.04,3.21878e+09,1.64648e+07,1.33592e+08,1.95843e+08
0,8,3643.73,1.46983e+08,917504,1.04985e+06,2.07842e+06
0,8,6748.15,6.84029e+08,1.10847e+06,746950,1.19442e+06
0,8,1363.13,5.32638e+08,24347.3,407.682,13625.1
0,8,3685.01,1.90904e+08,19696.8,301.158,10485.7
0,8,684.448,5.05076e+08,11111.4,72.5402,389.551
0,8,3645,0,0,0,0
0,8,7530.77,0,0,0,0
