GridcellIndex,FunctionalGroupIndex,JuvenileMass,AdultMass,IndividualBodyMass,CohortAbundance,LogOptimalPreyBodySizeRatio,BirthTimeStep,ProportionTimeActive,TrophicIndex,IndividualReproductivePotentialMass,MaturityTimeStep,IsAdult,AgeMonths,TimeStepsJuviline,TimeStepsAdult
0,0,12155.3,650091,650091,53727,-2.35147,0,0.5,2,300310,29,1,35,30,5
0,0,3464.99,406028,406028,45431.7,-2.34468,0,0.5,2,0,28,1,35,29,6
0,0,47894.7,1.45505e+06,1.45505e+06,48628.6,-2.30426,0,0.5,2,95402.2,33,1,35,34,1
0,0,312.062,10840.2,10840.2,4.90011e+06,-2.50065,22,0.5,2,0,32,1,12,10,2
0,0,1611.73,25754.5,25754.5,946850,-2.30151,22,0.5,2,0,32,1,12,10,2
0,0,38.5071,1227.76,1227.76,786855,-2.20756,22,0.5,2,0,30,1,12,8,4
0,0,335.905,4266.56,4266.56,1.2651e+07,-2.46243,26,0.5,2,547.236,34,1,8,8,0
0,0,321.797,10932.9,5446.57,5.79565e+06,-2.50065,27,0.5,2,0,4294967295,0,7,7,0
0,0,41.833,440.011,440.011,510330,-2.20265,27,0.5,2,0,31,1,7,4,3
0,0,41.0527,2220.1,1805.34,7013.16,-2.24328,28,0.5,2,0,4294967295,0,6,6,0
0,0,1487.46,26400.1,1487.46,1.27633e+07,-2.30151,34,0.5,2,0,4294967295,0,0,0,0
0,0,43.9425,1218.97,43.9425,6.82008e+07,-2.20756,34,0.5,2,0,4294967295,0,0,0,0
0,0,42.905,403.119,42.905,1.90099e+07,-2.20265,34,0.5,2,0,4294967295,0,0,0,0
0,0,3480.88,397192,3480.88,4.02549e+06,-2.34468,34,0.5,2,0,4294967295,0,0,0,0
0,0,295.117,4258.07,295.117,1.74936e+08,-2.46243,34,0.5,2,0,4294967295,0,0,0,0
0,1,4735.24,94112.7,73179.6,3591.9,-0.000167489,10,0.5,3.56316,0,4294967295,0,24,24,0
0,2,25.2529,554.064,554.064,183819,-2.35147,0,0.5,2.00109,179.776,7,1,35,8,27
0,2,1012.88,81987.1,81987.1,53448.8,-2.24328,0,0.5,3.29742,0,30,1,35,31,4
0,2,41.8346,2556.96,2556.96,8902.92,-2.34468,13,0.5,2.00117,0,19,1,21,6,15
0,2,136.585,4825.1,4825.1,19161,-2.20756,15,0.5,2.00287,0,20,1,19,5,14
0,2,257.159,8707.37,8707.37,6.20648e+06,-2.50065,24,0.5,2.0072,0,29,1,10,5,5
0,2,1662.65,27578.2,27578.2,1.1384e+06,-2.46243,25,0.5,2.17188,0,30,1,9,5,4
0,2,42.4135,2515.28,535.859,1.18992e+06,-2.34468,27,0.5,2.00111,0,4294967295,0,7,7,0
0,2,267.499,9430.68,1158.74,613107,-2.50065,28,0.5,2.00134,0,4294967295,0,6,6,0
0,2,134.432,4909.09,716.919,341765,-2.20756,28,0.5,2.00111,0,4294967295,0,6,6,0
0,2,25.6461,552.685,234.486,2.11684e+06,-2.35147,29,0.5,2.00438,0,4294967295,0,5,5,0
0,2,264.458,8868.59,264.458,4.41216e+08,-2.50065,34,0.5,2.5,0,4294967295,0,0,0,0
0,2,128.809,4870.99,128.809,2.69623e+06,-2.20756,34,0.5,2.5,0,4294967295,0,0,0,0
0,2,1028.31,77930.3,1028.31,5.22491e+06,-2.24328,34,0.5,2.5,0,4294967295,0,0,0,0
0,2,42.8745,2530.1,42.8745,1.47555e+06,-2.34468,34,0.5,2.5,0,4294967295,0,0,0,0
0,2,25.2529,554.064,25.2529,1111.81,-2.35147,34,0.5,2.5,0,4294967295,0,0,0,0
0,2,1622.11,29687.6,1622.11,3.00838e+07,-2.46243,34,0.5,2.5,0,4294967295,0,0,0,0
0,3,2.47542,14.0976,2.47542,1.23447e+08,-2.30151,34,0.101114,2,0,4294967295,0,0,0,0
0,3,9.09793,76.9729,9.09793,4.77866e+07,-2.46243,34,0.101114,2,0,4294967295,0,0,0,0
0,3,14.5004,263.756,14.5004,4.23239e+07,-2.50065,34,0.101114,2,0,4294967295,0,0,0,0
0,3,6.23517,127.508,6.23517,6.11219e+07,-2.20756,34,0.101114,2,0,4294967295,0,0,0,0
0,3,39.8922,396.96,39.8922,1.60265e+07,-2.30426,34,0.101114,2,0,4294967295,0,0,0,0
0,3,0.860747,9.90992,0.860747,2.0587e+09,-2.35147,34,0.101114,2,0,4294967295,0,0,0,0
0,3,3.4733,148.723,3.4733,3.33797e+07,-2.24328,34,0.101114,2,0,4294967295,0,0,0,0
0,4,5.61473,32.3151,7.81794,1.40839e+06,-2.46243,22,0.101114,3.5,0,4294967295,0,12,12,0
0,4,3.10343,118.427,40.7335,303723,-2.24328,22,0.101114,3.45923,0,4294967295,0,12,12,0
0,4,20.8589,1131.09,245.37,1.19597e+06,-2.34468,22,0.101114,3.61017,0,4294967295,0,12,12,0
0,4,28.5883,284.424,139.08,2.09679e+06,-2.30151,22,0.101114,3.00748,0,4294967295,0,12,12,0
0,4,18.113,603.802,86.2317,30728.8,-2.71651,22,0.101114,4,0,4294967295,0,12,12,0
