Month,Year,Biomass_FG_0,Biomass_FG_1,Biomass_FG_2,Biomass_FG_3,Biomass_FG_4,Biomass_FG_5,Biomass_FG_6,Biomass_FG_7,Biomass_FG_8
1, 1,5.04352e+08,9.55819e+08,8.80314e+08,8.05159e+07,2.18934e+08,1.04006e+08,4.1704e+08,6.74424e+08,5.74756e+08
2, 1,3.89927e+08,1.39862e+09,5.56924e+08,5.24256e+06,6.56335e+07,1.7584e+06,2.10134e+08,4.65327e+08,3.3653e+08
3, 1,3.09739e+08,1.54786e+09,2.58391e+08,462231,253478,309597,1.17165e+08,2.30715e+08,1.98713e+08
4, 1,2.38128e+08,1.32538e+09,1.30006e+08,377287,170863,268108,7.82585e+07,9.82312e+07,1.07637e+08
5, 1,1.62598e+08,1.10015e+09,9.08978e+07,615464,130205,509631,2.56317e+07,3.7487e+07,3.82781e+07
6, 1,1.38447e+08,7.04261e+08,6.89267e+07,946477,54531.7,869553,2.98035e+07,4.86258e+07,4.21278e+07
7, 1,8.76775e+07,5.35825e+08,4.97757e+07,1.59924e+06,40475.5,2.72491e+06,3.41711e+07,4.71242e+07,4.63957e+07
8, 1,7.68955e+07,3.92645e+08,2.76529e+07,2.35758e+06,65718.5,6.32409e+06,3.22275e+07,3.6722e+07,4.65351e+07
9, 1,7.45805e+07,1.62133e+08,2.67446e+07,3.02426e+06,93467.3,1.119e+07,2.66751e+07,2.72231e+07,4.05489e+07
10, 1,7.64587e+07,1.046e+08,2.8368e+07,3.42628e+06,97087.8,1.49768e+07,2.80385e+07,2.43971e+07,4.22302e+07
11, 1,8.12021e+07,8.18812e+07,3.18031e+07,3.79696e+06,87529.6,1.82504e+07,3.05677e+07,2.24672e+07,4.56341e+07
12, 1,9.11261e+07,5.3711e+07,2.36975e+07,1.01419e+07,158290,5.8828e+07,2.87963e+07,1.63097e+07,3.49369e+07
13, 2,1.10238e+08,4.8374e+07,2.41528e+07,2.25985e+07,342292,1.4665e+08,2.14297e+07,1.33305e+07,2.50937e+07
14, 2,1.38244e+08,2.75536e+07,2.52252e+07,3.5628e+07,616673,2.21496e+08,2.16887e+07,1.24219e+07,1.98634e+07
15, 2,1.5795e+08,3.28038e+07,2.85191e+07,7.90332e+07,1.1162e+06,6.22046e+08,2.36428e+07,1.45463e+07,1.94165e+07
16, 2,1.93664e+08,3.69063e+07,3.3231e+07,1.67104e+08,2.83585e+06,1.22814e+09,2.59432e+07,1.73292e+07,1.86416e+07
17, 2,2.62142e+08,2.69736e+07,5.44913e+07,2.41641e+08,8.32783e+06,1.92044e+09,2.76457e+07,2.1104e+07,1.75616e+07
18, 2,3.62401e+08,6139,7.55258e+07,5.15035e+08,2.43265e+07,2.36589e+09,3.14643e+07,2.73134e+07,1.75523e+07
19, 2,4.7444e+08,11363.5,1.26824e+08,1.14211e+09,6.33734e+07,2.85979e+09,3.67689e+07,4.60917e+07,2.08539e+07
20, 2,5.66075e+08,11386.9,1.84933e+08,1.62247e+09,1.1869e+08,2.36616e+09,4.11961e+07,7.18037e+07,2.42745e+07
21, 2,6.03065e+08,20339.6,2.48785e+08,1.3202e+09,1.7395e+08,2.02664e+09,4.53535e+07,9.94802e+07,2.85389e+07
22, 2,5.31358e+08,21617.8,3.23399e+08,9.73697e+08,2.33022e+08,1.52232e+09,4.95876e+07,1.23424e+08,3.49438e+07
23, 2,4.69446e+08,28226.5,3.82537e+08,8.97746e+08,2.78569e+08,1.23976e+09,5.41095e+07,1.48233e+08,3.77024e+07
24, 2,5.35016e+08,29619.9,8.64329e+08,2.11277e+08,2.80118e+08,2.26152e+08,6.19657e+07,2.8428e+08,5.2647e+07
25, 3,4.07196e+08,30111.2,7.13253e+08,1.72482e+07,7.04138e+07,2.63574e+07,7.09255e+07,4.06513e+08,4.26315e+07
26, 3,4.58792e+08,29468.6,7.10723e+08,1.32439e+07,1.47793e+07,6.78452e+06,7.85574e+07,1.98035e+08,4.22643e+07
27, 3,5.25978e+08,31520.3,5.28171e+08,4.89628e+06,1.52547e+07,4.17604e+06,8.42202e+07,2.0532e+08,4.24752e+07
28, 3,5.3321e+08,37572.6,5.34494e+08,5.48961e+06,2.03319e+07,5.0186e+06,8.26873e+07,2.47221e+08,4.31267e+07
29, 3,5.70102e+08,44445.6,4.36221e+08,6.40669e+06,2.06176e+07,5.95207e+06,8.77181e+07,3.11908e+08,4.50106e+07
30, 3,5.47424e+08,45031.7,3.88221e+08,7.58341e+06,1.18993e+07,7.14187e+06,9.28407e+07,4.09712e+08,4.99973e+07
31, 3,4.8003e+08,42927,3.33841e+08,7.8896e+06,1.02195e+07,8.81095e+06,9.51054e+07,5.26952e+08,5.49217e+07
32, 3,4.55121e+08,44156,2.62605e+08,7.4303e+06,6.60063e+06,8.73933e+06,8.81618e+07,6.13035e+08,5.34799e+07
33, 3,4.06222e+08,47350.1,2.06077e+08,7.3633e+06,4.18655e+06,7.3614e+06,8.24205e+07,6.50753e+08,4.99238e+07
34, 3,3.67464e+08,53936.1,1.66781e+08,7.21173e+06,2.95553e+06,7.62712e+06,6.12112e+07,6.49949e+08,4.3899e+07
35, 3,3.67214e+08,55475.6,1.5172e+08,7.76338e+06,2.21045e+06,8.85621e+06,4.39628e+07,6.36854e+08,3.75934e+07
