GridcellIndex,Cohort_FunctionalGroupIndex,Cohort_AdultMass,Cohort_Consumed_Autotroph,Cohort_Consumed_Herbivore,Cohort_Consumed_Omnivore,Cohort_Consumed_Carnivore
0,0,650091,1.21914e+10,0,0,0
0,0,406028,8.60897e+09,0,0,0
0,0,1.45505e+06,1.09957e+10,0,0,0
0,0,10878.2,2.95723e+10,0,0,0
0,0,1152.48,6.0047e+10,0,0,0
0,0,4182.96,3.06382e+10,0,0,0
0,0,2297.55,3.70105e+09,0,0,0
0,0,466.476,9.24938e+10,0,0,0
0,0,23785,1.14754e+09,0,0,0
0,0,11719.8,1.14026e+09,0,0,0
0,0,504.565,2.22143e+11,0,0,0
0,0,2220.76,4.73324e+07,0,0,0
0,0,3921.7,3.62101e+10,0,0,0
0,0,26468.9,4.82898e+09,0,0,0
0,0,1174.85,9.90302e+10,0,0,0
0,0,4168.2,0,0,0,0
0,0,11822.4,0,0,0,0
0,0,511.972,0,0,0,0
0,0,2297.55,0,0,0,0
0,1,98266.6,0,4.62126e+08,4.99105e+07,6.76951e+07
0,2,26501.5,1.5008e+09,3.60505e+07,1.90747e+07,4.13718e+07
0,2,2556.96,8.14068e+08,6.25279e+09,5.44581e+08,3.65321e+08
0,2,81987.1,1.94158e+09,1.41053e+07,1.02037e+07,2.79571e+06
0,2,8727.34,3.04721e+08,5.74439e+07,5.77782e+08,1.03629e+07
0,2,4487.6,1.23648e+10,1.0065e+10,9.94574e+09,3.39587e+08
0,2,469.869,7.52864e+09,9.52103e+09,2.26307e+09,8.86102e+09
0,2,680.852,2.72137e+10,4.86115e+10,7.68546e+10,4.91702e+10
0,2,27865.2,1.23044e+09,9.43303e+09,7.91525e+08,2.31235e+08
0,2,5087.57,9.08464e+10,6.01414e+10,2.36945e+10,4.58738e+10
0,2,964.931,7.79713e+09,5.93538e+07,6.39342e+08,1.61319e+08
0,2,9413.77,1.91588e+09,4.2343e+09,1.51979e+10,4.39467e+09
0,2,2520.26,9.40067e+08,1276.25,8573.82,75150.8
0,2,755.202,1.517e+10,0.0125727,75151,2352.88
0,2,2506.67,0,0,0,0
0,2,686.106,0,0,0,0
0,2,469.869,0,0,0,0
0,2,4717.03,0,0,0,0
0,2,8339.07,0,0,0,0
0,3,10.5794,226961,0,0,0
0,3,137.961,1.65254e+07,0,0,0
0,3,273.148,4.18826e+09,0,0,0
0,3,421.885,1.57295e+09,0,0,0
0,3,59.0871,5.03246e+09,0,0,0
0,3,21.1625,5.01653e+07,0,0,0
0,3,29.1268,21499.7,0,0,0
0,3,140.391,0,0,0,0
0,4,597.933,0,1.87973e+09,3.95467e+10,1.33293e+08
0,4,1377.58,0,1.38956e+09,2.15009e+08,1.12735e+09
0,4,106.235,0,0.0185957,11747.8,0
0,4,37.6472,0,0,660.242,0
0,4,232.193,0,1.79671e+07,1.10178e+09,5.5033e+06
0,5,90.2218,8.4081e+08,8.86385e+06,4.5567e+08,2.94514e+06
0,5,2.30321,8.99064e+08,0,0,0
0,5,47.3412,1.88645e+07,0,0.827719,0
0,5,11.8289,2.29527e+07,0,0.0520975,0
0,5,757.533,4.19978e+09,1.6487e+07,4.34336e+07,7.38404e+06
0,5,3.14811,2.07958e+07,0,0,0
0,5,1048.29,0,0,0,0
0,6,16165.1,3.1929e+08,0,0,0
0,6,8001.09,1.28729e+07,0,0,0
0,6,59102.4,1.08196e+09,0,0,0
0,6,66.6317,7.48502e+06,0,0,0
0,6,2869.06,5.87929e+09,0,0,0
0,6,894.493,3.11127e+09,0,0,0
0,6,442.778,1.91028e+07,0,0,0
0,6,1391.96,5.26129e+07,0,0,0
0,6,2399.41,3.56904e+06,0,0,0
0,6,7664.24,5.52737e+07,0,0,0
0,6,2447.05,659349,0,0,0
0,6,2769.85,3.24204e+08,0,0,0
0,6,433.943,1.07568e+07,0,0,0
0,6,16364.6,7.8021e+08,0,0,0
0,6,1442.85,1.03164e+07,0,0,0
0,6,65.4394,0,0,0,0
0,6,442.778,0,0,0,0
0,7,15238.4,0,3.36509e+08,4.15924e+08,2.19057e+08
0,7,7498.23,0,1.38879e+08,2.87225e+08,1.79125e+07
0,7,10582.5,0,3.91132e+08,1.01514e+09,1.28296e+08
0,7,29259.5,0,1.10115e+09,5.8496e+08,8.87499e+08
0,7,262.357,0,1.7798e+09,2.07373e+09,1.08839e+09
0,7,818.498,0,1.55595e+09,4.48359e+08,2.84031e+08
0,7,1611.73,0,8.79864e+08,2.95169e+07,5.71983e+07
0,7,262.357,0,1.5925e+09,5.34283e+10,5.38218e+08
0,7,9930.89,0,1.74877e+09,1.13088e+10,1.11952e+09
0,7,837.947,0,1.75624e+08,4.27461e+09,1.08437e+09
0,7,824.965,0,11008.7,1.55717e+06,754793
0,7,1624.86,0,1.40739e+09,2.77974e+08,2.54371e+09
0,7,11496.2,0,0,0,0
0,7,263.419,0,0,0,0
0,7,15238.4,0,0,0,0
0,7,6863.14,0,0,0,0
0,8,41270.4,3.66869e+08,3.68774e+07,3.41182e+07,1.94184e+07
0,8,3645,1.9317e+07,6.32531e+07,1.98362e+07,1.8469e+06
0,8,16203.9,3.49318e+08,1.94857e+07,2.14653e+07,1.53798e+07
0,8,6847.92,3.03208e+08,1.19874e+08,2.08383e+08,9.45698e+06
0,8,784.057,8.78407e+07,3.81881e+08,1.55042e+07,1.56529e+08
0,8,1363.13,3.95065e+08,2.91762e+09,1.53764e+08,1.12449e+09
0,8,6864.31,2.04044e+08,4.45634e+08,3.39187e+09,2.08035e+08
0,8,3609.59,1.55275e+08,2.51253e+06,1.41517e+08,1.07081e+06
0,8,789.096,2.09757e+09,399906,2.41081e+07,180614
